@relation segment

@attribute Vegde-sd numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.162963,0.564153,-1.068968,1
3.733334,0.388363,-1.555549,1
0.207407,0.601852,-1.048222,1
0.32963,0.417046,-1.590164,1
1.911109,0.40212,-1.652768,1
3.2,0.424904,-1.785147,1
2.177777,0.394157,-1.55225,1
0.077778,0.561508,-0.985811,1
2.388888,0.457681,-1.753726,1
0.02963,0.520062,-0.83212,1
0.151852,0.559171,-1.19107,1
0.88889,0.436939,-1.623202,1
0.774073,0.459427,-1.836328,1
0.062963,0.581349,-0.953435,1
0.42963,0.652248,-1.50837,1
0.3,0.430484,-1.650048,1
0.107408,0.401042,-1.477019,1
1.007408,0.390436,-1.567327,1
5.351851,0.368848,-1.345096,1
0.344444,0.556437,-0.914813,1
0.240741,0.524471,-0.985729,1
0.329629,0.410267,-1.457591,1
0.151851,0.462752,-1.842494,1
2.029629,0.420716,-1.630409,1
1.555556,0.422206,-1.646671,1
0.444444,0.558201,-1.077659,1
1.362962,0.441092,-1.755505,1
3.040739,0.462002,-1.563972,1
0.433333,0.378839,-1.169517,1
2.107407,0.421395,-1.72879,1
3.940742,0.415737,-1.68954,1
0.151852,0.59127,-1.041434,1
1.466666,0.374312,-1.333792,1
0.285185,0.398448,-1.670314,1
0.311111,0.421281,-1.74518,1
0.433333,0.574074,-0.843732,1
0.344445,0.399311,-1.131973,1
2.329629,0.4223,-1.776113,1
0.785185,0.588163,-2.009108,1
0.596296,0.38846,-1.425885,1
0.018518,0.600529,-0.57094,1
0.42963,0.389147,-1.528895,1
1.440742,0.375321,-1.440963,1
0.207407,0.647222,-0.807848,1
0.562963,0.543871,-0.862108,1
0.340741,0.410073,-1.507007,1
0.062963,0.545635,-1.121818,1
0.255556,0.382629,-1.574477,1
0.907407,0.391701,-1.58144,1
2.285185,0.422337,-1.453114,1
0.800001,0.415524,-1.740736,1
0.196296,0.537919,-1.0108,1
0.507407,0.450926,-1.807866,1
0.162963,0.564153,-1.068968,1
0.062963,0.545635,-1.121818,1
0.122222,0.571429,-1.258358,1
0.8,0.388756,-1.302133,1
0.251852,0.541887,-0.912766,1
0.118518,0.549603,-0.942559,1
0.151852,0.553571,-1.179692,1
0.062963,0.529762,-0.944272,1
1.822221,0.397362,-1.619549,1
0.251852,0.513889,-0.91962,1
1.007408,0.445652,-1.848523,1
0.951851,0.415301,-1.699326,1
0.107407,0.643678,-1.783388,1
0.166667,0.573633,-0.744272,1
0.211111,0.450309,-0.913675,1
0.666667,0.356724,-1.360437,1
0.118519,0.432819,-1.674318,1
0.251852,0.529982,-0.966318,1
0.996296,0.451359,-0.9757,1
0.162963,0.434743,-1.685074,1
1.485185,0.405022,-1.664008,1
1.288888,0.404792,-1.558599,1
1.840741,0.430399,-1.669752,1
1.574074,0.437042,-1.737293,1
0.151852,0.447187,-1.162844,1
0.444444,0.558201,-1.077659,1
3.174073,0.428167,-1.73537,1
0.018518,0.600529,-0.57094,1
0.166667,0.563492,-1.02473,1
1.674074,0.432047,-1.77166,1
0.72963,0.403224,-1.48458,1
0.596296,0.398903,-1.219211,1
0.433333,0.540123,-0.932783,1
2.074072,0.420486,-1.622331,1
0.107407,0.532628,-0.965946,1
0.107407,0.532628,-0.965946,1
0.518518,0.404138,-1.662177,1
2.388888,0.457681,-1.753726,1
0.4,0.442788,-1.863182,1
0.596297,0.501014,-0.764077,1
0.107407,0.603704,-0.730465,1
0.062963,0.531173,-1.157082,1
4.518517,0.376574,-1.408242,1
0.655556,0.395253,-1.312499,1
1.051853,0.399751,-1.386867,1
0.033333,0.53858,-0.965144,1
3.411111,0.425691,-1.739017,1
0.077778,0.561508,-0.985811,1
1.277777,0.398791,-1.598867,1
0.507407,0.415751,-1.700913,1
0.207407,0.510362,-0.983947,1
0.32963,0.410306,-1.397414,1
0.107407,0.575397,-1.099624,1
3.5,0.445142,-1.680812,1
2.82963,0.404791,-1.634416,1
0.077778,0.563492,-1.175454,1
1.288888,0.404792,-1.558599,1
0.122222,0.595899,-0.752669,1
0.833333,0.405541,-1.60859,1
0.166667,0.563492,-1.02473,1
0.062963,0.60119,-0.796918,1
0.044444,0.593915,-0.688601,1
0.196296,0.535714,-0.896533,1
1.218519,0.424597,-1.650844,1
1.1,0.422651,-1.813886,1
0.118519,0.623016,-0.612886,1
0.240741,0.376024,-1.276562,1
0.462963,0.537017,-0.909267,1
0.177778,0.566799,-1.004936,1
0.211111,0.419233,-1.730306,1
0.8,0.427811,-1.627145,1
2.118519,0.426923,-1.625668,1
5.496297,0.424819,-1.756712,1
0.062963,0.574603,-0.969119,1
0.42963,0.515873,-0.804846,1
0.162963,0.715608,-1.43724,1
3.751853,0.412662,-1.566335,1
1.52963,0.388385,-1.334127,1
1.085185,0.426973,-1.675465,1
0.266667,0.53858,-0.924817,1
5.351851,0.368848,-1.345096,1
2.388889,0.425538,-1.54801,1
1.274074,0.421495,-1.804829,1
0.477778,0.413308,-1.653787,1
0.107407,0.574735,-0.829712,1
1.674073,0.409201,-1.606794,1
0.488889,0.384997,-1.131204,1
1.129629,0.394964,-1.508658,1
2.907407,0.400445,-1.611365,1
0.118518,0.597443,-0.837598,1
1.362964,0.394331,-1.519702,1
0.118519,0.613757,-0.692028,1
0.02963,0.542108,-1.011484,1
0.074074,0.545855,-1.037663,1
1.633333,0.407364,-1.632243,1
0.074074,0.581349,-0.872666,1
0.962963,0.380367,-1.555376,1
0.607408,0.417763,-1.68544,1
0.074074,0.566138,-0.874641,1
3.674073,0.43507,-1.771163,1
0.418519,0.529541,-0.924607,1
0.122222,0.53858,-1.233256,1
0.266666,0.421994,-1.623301,1
0.340741,0.481594,-1.056659,1
0.062963,0.630159,-0.776334,1
0.374074,0.562919,-1.175773,1
0.107407,0.551587,-0.964797,1
1.851852,0.407623,-1.677308,1
3.040741,0.430558,-1.844993,1
0.562963,0.435021,-1.683847,1
0.374074,0.562919,-1.175773,1
0.207407,0.566138,-0.989308,1
0.122222,0.529982,-0.726018,1
1.52963,0.396589,-1.585609,1
0.385185,0.404038,-1.520125,1
1.999999,0.442861,-1.68129,1
0.196296,0.546517,-1.233945,1
0.240741,0.580026,-0.851202,1
1.407408,0.423501,-1.641882,1
0.151852,0.565476,-0.787376,1
0.074074,0.713228,-1.475643,1
1.144445,0.446354,-1.724894,1
1.52963,0.396589,-1.585609,1
0.062963,0.587302,-0.912631,1
1.051853,0.399751,-1.386867,1
0.462963,0.537017,-0.909267,1
0.122222,0.587963,-0.889024,1
0.062963,0.603175,-1.314533,1
1.674073,0.432167,-1.760752,1
0.640741,0.412134,-1.683529,1
1.851851,0.412094,-1.620451,1
2.029629,0.413785,-1.370369,1
1.618517,0.440509,-1.837675,1
0.133333,0.698445,-1.561754,1
0.340741,0.563713,-0.7213,1
2.162962,0.438246,-1.733544,1
3.629631,0.410009,-1.446641,1
