@relation segment

@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
2.277778,21.11111,20.222221,1
3.444444,22.74074,21.555555,1
3.333333,18.62963,19.444445,1
1.88889,25.666666,23.444445,1
3.055556,20.185184,20.222221,1
0.722222,19.11111,19.555555,1
2.722222,24.592592,22.777779,1
0.666667,5.777778,7.444445,1
4.166667,22.037037,21.333334,1
2.38889,18.74074,17.333334,1
1.111111,5.851852,7.777778,1
5.111111,22.62963,22,1
1.777777,23.444445,21.666666,1
0.666667,5.555555,6.888889,1
1.333333,18.62963,19.777779,1
0.722222,21.333334,21.11111,1
2.166667,22.62963,21.222221,1
1,7.074074,8.222222,1
0.666667,5.851852,7.222222,1
0.5,4.962963,6.777778,1
0.833333,23.74074,22.666666,1
2.722222,28.62963,26.11111,1
0.888889,6.962963,7.888889,1
1.277778,4.592593,6.222222,1
1,21.222221,21.11111,1
1.222222,26.481482,24.222221,1
2.222223,16.555555,15.666667,1
0.666667,5.555555,6.888889,1
1.722222,26.037037,24.444445,1
0.611111,3.925926,5.555555,1
1.277778,21.037037,20.555555,1
1.333333,22.703703,22.333334,1
3.666667,21.222221,20.666668,1
1.277778,19.925926,19.333334,1
0.833333,6.111111,7.555555,1
2.166666,22.481482,22,1
0.388889,5.333334,6.888889,1
0.333333,5.62963,6.777778,1
1.833333,23.666666,23,1
0.944444,5.740741,7.444445,1
1.388889,22.222221,21.777779,1
0.722222,6.074074,7.666666,1
1.722222,4.814815,6.777778,1
0.5,5.444445,6.444445,1
0.666667,6.185185,7.333334,1
0.277778,6.148148,7.222222,1
0.888889,5.888889,7.111111,1
1.611111,23.037037,22,1
1.833333,22.25926,22.555555,1
0.388889,5.814815,7.111111,1
0.555555,5.925926,7.111111,1
2.222222,19.037037,19.666668,1
2.055555,21.814816,20.777779,1
2,24.592592,24,1
2.499999,21.11111,21.11111,1
2.111111,26.296297,24.666666,1
0.222222,5.407407,6.555555,1
