@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R7,18-20'

@attribute Vegde-sd numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
1.12963,0.427354,1.984366,7
0.136081,0.241511,-2.387884,2
0.421637,0.622222,-2.068564,5
0.298142,1,-2.175647,3
4.418521,0.774121,-2.329093,3
1.295291,0.407904,2.09922,7
0.207407,0.230455,-1.991445,4
0.421637,0.622222,-2.068564,5
1.885185,0.405118,-1.512555,1
0.844445,0.394863,-1.76489,1
0.507407,0.570106,-0.963048,1
1.229273,0.380483,-2.13694,4
4.018937,0.314278,-2.014434,6
4.744444,0.436895,-1.846158,1
0.444445,0.177191,-2.355244,2
0.133333,0.595238,-0.907416,1
1.555158,0.271572,-2.120131,4
0.444444,0.270638,-1.973025,4
2.059306,0.347692,2.350437,7
0.02963,1,-2.01751,5
3.733333,0.697226,-2.280146,3
0.222222,0.271208,-2.049148,6
1.708367,0.29788,-2.060614,6
0.177778,0.617063,-1.047198,1
0,0,0,5
1.254621,0.500966,1.875362,7
0.975629,0.327385,-2.199825,5
0.088889,1,-2.057287,3
2.375804,0.289997,-2.063864,6
0.443053,0.435185,2.36281,7
0.712325,0.613718,-2.047276,5
0.399996,0.110653,-2.232616,2
0.655462,0.280764,-1.917349,6
1.21106,0.325138,-2.105478,4
1.162692,0.400536,-2.207158,5
0.712326,0.274051,-1.990412,4
0.996296,0.425501,2.707051,7
0.666666,0.242337,-2.395064,2
73.7963,0.575126,-2.378944,3
1.293861,0.281875,-1.910677,6
0.918519,0.723011,-2.520215,3
1.185186,0.092593,-2.094395,3
0.327731,0.284582,-2.11881,4
0.272169,0.257746,-2.306204,2
4.385187,0.248999,-1.908348,4
2.018517,0.393691,-1.176662,1
2.026673,0.635624,-2.268148,3
1.378405,0.402203,-2.005139,5
0.596293,0.10447,-2.264129,2
1.574078,0.254595,-2.036336,4
0.750308,0.409551,2.378846,7
125.8667,0.771517,-2.066916,5
0,0,0,5
6.444444,0.760191,-2.332766,3
0.534027,0.447494,-2.121346,5
1.327767,0.441675,2.284571,7
0.088889,0.581349,-0.621222,1
16.507421,0.37578,-2.380238,3
3.151133,0.317345,-2.020865,6
0.862812,0.300006,-2.053189,6
3.362964,0.429897,-1.670171,1
0.285183,0.103336,-2.146845,2
0.547722,0.375532,-2.150638,5
4.841564,0.320595,-2.094585,6
0.418521,0.197734,-2.085954,2
0.833334,0.419469,-1.650123,1
0.122222,0.708333,-1.539762,1
0.344265,0.258079,-2.377965,2
0.685184,0.174634,-2.31442,2
1.925463,0.275415,-2.045201,6
0.250923,0.224975,-2.360195,2
1.90613,0.860606,-2.208419,5
1.682151,0.305472,-1.997577,6
0.45542,0.931217,-2.366216,3
0.45542,0.349112,2.604013,7
2.196297,0.307814,-2.573635,6
0.501848,0.25541,-2.396894,2
0.62361,0.387412,2.242196,7
1.307408,0.289652,-2.341198,6
1.377778,0.867665,-2.435718,3
0.518519,0.428735,-1.603957,1
0.998145,0.290788,-1.987599,6
0.620633,0.415772,2.221276,7
9.940739,0.420252,-1.66658,1
0.742867,0.514445,1.986748,7
0.455421,0.210174,-2.35936,2
2.948949,0.31901,-2.047053,6
0.344443,0.244021,-2.293933,2
0.829631,0.396433,2.332739,7
1.12963,0.935706,-2.289097,3
3.016621,0.572767,2.069452,7
0.340743,0.284654,-2.232346,2
0.818518,0.84169,-2.216721,3
0.400001,0.271568,-2.022581,4
0.91287,0.249836,-2.143718,6
0.8861,0.329364,-2.126207,4
0.389681,0.378615,-2.20829,5
1.811111,0.762049,-2.467493,3
1.940741,0.394656,-1.357871,1
0.551851,0.172628,-2.412968,2
2.344418,0.517717,2.011228,7
1.047043,0.297689,-2.059262,6
1.254621,0.199351,-1.836777,4
5.618517,0.395955,2.395692,7
0.547723,0.302675,-2.047243,6
0.574134,0.166047,-1.675919,4
0.210818,0.609788,-2.869948,3
0.658281,0.27031,-1.981499,4
0.760117,0.261958,-2.045203,4
1.633332,0.874917,-2.333804,3
0.75031,0.181475,-2.326919,2
0.385185,0.559171,-1.273992,1
1.857916,0.632739,-2.074133,5
0.162962,0.301883,2.587396,7
0.344266,0.262093,-2.344872,2
0.596296,0.435769,2.461599,7
0.088889,0.829233,-2.133095,5
1.851851,0.452229,2.368311,7
0.507407,0.899735,-2.261719,3
0.272165,0.687302,-2.057978,5
0.118518,0.621324,1.83826,7
0.788811,0.408885,1.905303,7
0.544331,0.2956,-1.958014,6
1.135293,0.26644,-2.357338,2
1.396297,0.420823,-1.713134,1
0.928957,0.289362,-2.08957,4
0.196296,0.251852,-2.53095,3
0.854184,0.665344,-3.044175,3
1.14074,0.264986,-1.989475,4
1.186342,0.458364,2.291847,7
0.385186,0.223879,-2.315477,2
1.798145,0.306161,-1.958085,6
0.742868,0.308799,-2.043617,6
0.418519,0.529541,-0.924607,1
0.507408,0.35037,2.545329,7
0.062963,0.56746,-1.151837,1
0.389682,0.299664,-2.058,4
2.21111,0.265053,-1.984308,4
0.329628,0.299583,-2.253408,2
1.003697,0.305755,-1.947472,6
1.629631,0.446118,-1.873032,1
0.646931,0.202708,-2.328661,2
0.785185,0.416299,-1.636863,1
1.143419,0.472826,1.990381,7
0.240741,1,-2.094395,3
2.296298,0.295992,-1.996082,4
0.827759,0.923809,-2.237562,3
1.878731,0.293527,-2.043538,6
2.311111,0.376852,-1.21111,1
