@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,19-20'

@attribute Region-centroid-row numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,-1.998857,6
51,-1.68129,1
115,-2.14867,5
64,-1.755505,1
130,-2.239029,3
64,-2.593825,3
123,-0.985729,1
96,-2.244482,3
184,-1.930196,6
120,-2.046753,4
153,-2.221716,5
144,-1.90427,5
139,-2.094395,3
83,-1.507007,1
57,-2.362514,2
109,-1.276562,1
51,-2.306687,2
78,-1.886072,4
195,-2.037116,6
189,-2.101326,6
191,-2.062286,6
235,2.310758,7
47,-2.271072,2
13,-2.154989,4
242,2.386597,7
68,-1.984308,4
117,-1.233256,1
83,-2.178321,5
133,0,3
45,-1.73537,1
129,-2.094395,3
27,-2.264532,2
188,-2.079095,6
92,-1.653926,1
79,-1.984583,4
192,-2.020234,6
238,2.046683,7
63,-2.04457,5
137,-2.123254,3
134,-2.094395,5
134,-2.094395,5
161,-2.316506,6
187,-2.013524,6
99,-2.207756,2
234,2.193568,7
13,-2.28708,2
184,1.937892,7
34,-2.162383,5
66,-2.235701,2
116,-2.018925,5
79,-1.918888,4
90,-1.425885,1
187,-2.009615,6
103,-2.102607,4
104,-2.150638,5
24,-2.186797,4
119,-2.11372,3
190,-2.020042,6
133,-2.048,5
116,-2.177507,5
67,-1.768356,1
208,2.310932,7
220,2.09315,7
34,-2.162383,5
176,2.340618,7
196,-2.074616,6
128,-2.3163,3
73,-1.675465,1
194,-2.042718,6
17,-2.075161,4
154,-2.142529,4
62,0,5
12,-2.402917,2
123,-2.16176,3
24,-2.307914,2
194,-2.071876,6
175,2.242196,7
137,-0.744272,1
88,-2.396657,3
50,-2.107785,4
121,-2.126943,4
187,-2.03348,6
219,2.358696,7
29,-2.257217,2
121,-2.024268,4
50,-2.337296,2
142,-0.829712,1
96,-2.268209,3
81,-2.388561,3
135,-2.094395,5
90,-2.164323,3
156,2.363581,7
12,-2.057978,5
196,-2.048736,6
184,2.524273,7
73,-2.355641,3
162,-2.391681,6
122,-1.05144,1
25,-2.36518,2
190,-2.112087,6
125,-1.121818,1
194,2.126516,7
15,-2.389025,2
60,-1.709389,1
115,-2.45904,3
121,-2.235355,3
139,-1.702833,3
108,-2.080474,4
108,-1.683529,1
106,-2.094395,3
112,-2.200156,5
141,0,5
51,-2.330465,2
204,2.348728,7
189,-2.101002,6
236,2.32063,7
247,2.55309,7
58,-2.349269,2
34,-2.357272,2
92,-1.408242,1
70,-2.070832,4
81,-2.18233,2
83,-2.150257,5
97,-2.191382,3
192,-2.016578,6
67,-2.109804,4
86,-1.804829,1
71,-2.301203,2
147,-1.584341,4
140,-0.909267,1
198,-2.050575,6
173,-2.04172,6
25,-2.354552,2
39,-2.352961,2
115,-1.210357,1
127,-2.094395,3
197,2.628208,7
195,-2.101377,6
119,-2.587228,3
114,-1.0108,1
235,2.670771,7
104,-1.446641,1
196,1.789167,7
191,-2.040515,6
182,-1.868277,6
159,-2.549349,6
125,-1.9632,4
245,1.756645,7
101,-2.328735,2
31,-2.171949,5
190,-1.987599,6
64,-1.724894,1
154,-2.20265,4
182,-1.919167,6
217,2.006642,7
29,-2.271128,2
131,0,5
47,-2.223218,2
111,-2.202667,5
156,2.864931,7
182,-1.99159,6
116,-2.313013,3
218,2.382684,7
64,-2.355443,2
145,-1.934686,4
33,-2.408019,2
92,-2.096705,5
185,-2.085272,6
196,2.511766,7
149,-1.985703,1
118,-2.14718,5
124,-2.094395,3
55,-2.308179,2
216,2.079295,7
142,-2.094395,5
99,-1.567463,4
240,2.141811,7
135,-1.958546,5
212,1.974495,7
117,-2.094395,3
152,0,5
193,-1.995801,6
110,-1.345096,1
116,-2.038624,4
136,-0.924607,1
61,-2.367396,2
169,2.479064,7
125,-2.112723,4
127,-1.67677,4
103,-2.497929,3
54,-2.33633,2
32,-2.042422,4
65,-2.041901,4
40,-2.270219,2
80,-2.228712,2
91,-2.186723,3
138,-0.862108,1
54,-2.079152,2
75,-2.356754,3
139,-1.803071,5
167,1.971572,7
115,-2.021125,4
109,-2.283787,3
120,-2.177417,5
180,2.453831,7
42,-2.125735,4
99,-2.318885,3
124,-2.127801,4
122,-0.83212,1
59,-2.308637,2
95,-2.348987,3
155,-2.115567,5
82,-2.170632,5
222,2.557309,7
23,-2.37055,2
216,2.447547,7
73,-2.251254,3
87,-1.318373,1
123,-0.853547,1
66,-1.748546,4
116,-1.099624,1
102,-2.102047,4
236,2.267197,7
160,-2.113792,6
201,-1.997736,6
28,-2.144507,4
139,-2.044238,4
138,-2.071242,5
108,-2.117648,5
116,-2.420258,3
102,-1.555097,1
