@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
35,132,7.111111,2.222222,1
151,138,7,2.666667,1
136,139,6.555555,3.333333,1
188,133,8.333334,3.333333,1
85,101,21.222221,16.444445,1
69,74,22.555555,20.88889,1
39,111,7,4.888889,1
26,67,19.555555,17.666666,1
120,136,7.777778,2.888889,1
95,57,24.666666,24.444445,1
80,116,21.222221,17.555555,1
149,77,23.444445,21.222221,1
104,122,8.111112,2.444444,1
5,101,18.333334,8.888889,1
228,114,7,4.666666,1
8,79,17.333334,12.555555,1
60,131,7.222222,0.666667,1
84,51,22.666666,28.11111,1
138,116,7.555555,5.222222,1
64,74,21,17.222221,1
149,64,22.666666,23.444445,1
14,66,18.555555,16,1
140,116,21.333334,18,1
72,118,6.555555,3.555556,1
127,120,22.11111,20.333334,1
156,123,8,2,1
228,143,6.666666,2.777778,1
127,118,21.555555,18.777779,1
34,83,19.555555,15,1
136,70,24.444445,23.88889,1
196,129,7.888889,3,1
121,113,20,15.555555,1
14,110,18.88889,10.555555,1
80,124,6.666666,2.666667,1
188,133,8.333334,3.333333,1
239,143,6.111111,2.777778,1
71,90,22,19.444445,1
146,140,7.888889,3,1
14,138,6.777778,1.444444,1
196,134,7.444445,3.111111,1
120,136,7.777778,2.888889,1
217,145,6.333334,3.777778,1
69,92,20.222221,11.888889,1
95,109,19.222221,8.222222,1
114,121,8,3.111111,1
14,110,18.88889,10.555555,1
145,102,22.11111,20.11111,1
137,66,25.333334,29.444445,1
69,75,22,19.777779,1
108,123,8.222222,3.777778,1
178,128,7.888889,1.555556,1
138,133,7.777778,4.333334,1
69,85,20.444445,20,1
177,131,7.555555,2.111111,1
66,101,19.666668,13.555555,1
105,139,7.555555,3.333333,1
57,117,7.666666,3.333333,1
23,55,21.666666,23,1
121,60,24.666666,25.444445,1
78,108,19,8.333333,1
122,106,22,20.555555,1
26,91,19.777779,14.444445,1
42,59,20.777779,20.88889,1
225,143,6.777778,4,1
75,59,22.333334,27.777779,1
70,71,21.88889,20.666666,1
148,116,7.111111,4.666666,1
32,45,20.555555,20.555555,1
76,64,21.777779,22.777779,1
151,114,7.555555,3.666667,1
75,107,18.777779,8.222222,1
147,111,7,4,1
189,115,8.222222,3.666667,1
177,129,8,3.111111,1
89,89,21.333334,17.666666,1
40,73,19.777779,18.444445,1
37,114,19,8.666667,1
22,116,6.777778,4.111111,1
127,121,21.666666,21,1
80,95,21.333334,15.777778,1
144,118,7.555555,5,1
65,143,6.555555,2.555556,1
89,107,19.88889,12,1
14,117,6.333334,5.333334,1
23,55,21.666666,23,1
26,93,18.88889,19.222221,1
96,84,23.555555,18.444445,1
134,104,20.88889,19.666666,1
77,78,24,19.88889,1
239,122,7,3.333333,1
145,90,23.666666,22.11111,1
194,118,7.555555,4.222222,1
19,55,20.555555,16.88889,1
88,89,21.666666,18.333334,1
18,138,7.333334,2.444444,1
22,60,19.333334,17.555555,1
86,88,21.444445,15.555555,1
23,85,18.88889,11.777778,1
96,115,7.777778,5.333334,1
108,130,8.444445,1.777778,1
75,149,5.555555,13.111111,1
105,139,7.555555,3.333333,1
150,113,7.111111,3.222222,1
2,44,17.333334,19.444445,1
159,111,7.666666,2.888889,1
94,67,22.88889,21.11111,1
23,113,17.11111,6.555555,1
97,86,23.333334,19.222221,1
18,138,7.333334,2.444444,1
80,95,21.333334,15.777778,1
4,40,15.666667,18.444445,1
75,75,23.333334,26.444445,1
33,104,20.222221,14.111111,1
101,72,23.555555,27.88889,1
192,142,6.777778,0.666667,1
201,135,7.111111,2.777778,1
140,103,21.222221,18.444445,1
34,128,7.444445,2.666667,1
79,95,21.11111,15.333333,1
121,123,7.888889,4.444445,1
32,113,7.222222,4.888889,1
123,104,20.555555,20.222221,1
146,140,7.888889,3,1
65,75,21.11111,17.333334,1
145,101,21.555555,20.333334,1
90,111,19.777779,10.777778,1
95,131,6.888889,2.333333,1
5,92,18.777779,15.222222,1
7,34,18.222221,22.666666,1
104,124,7.666666,3.444444,1
151,143,7.555555,2.333333,1
42,63,20.333334,21.88889,1
78,69,22,24.666666,1
98,135,7.444445,2.222222,1
9,92,18.777779,15.111111,1
69,59,22.666666,21.11111,1
39,60,21.333334,22.11111,1
227,116,6.555555,4.111111,1
86,74,21.666666,19.444445,1
62,123,7.555555,2.555556,1
18,145,5.555555,0.222222,1
121,113,20,15.555555,1
149,92,23.11111,20,1
24,65,20.11111,17.88889,1
35,62,20.777779,18,1
89,53,22.777779,33.77778,1
240,145,5.333334,2.777778,1
96,80,24,25.333334,1
1,115,15.666667,15.666667,1
109,126,8.777778,2.777778,1
183,111,6.888889,3.888889,1
88,88,21.333334,18.88889,1
193,142,6.777778,1.222222,1
65,54,22.777779,23.88889,1
29,66,21.222221,21.777779,1
229,124,7.111111,3.666667,1
95,100,21.666666,14.777778,1
142,100,21.777779,18.666666,1
138,116,7.555555,5.222222,1
7,114,16.11111,7.777778,1
14,134,6.777778,2.777778,1
35,96,20.777779,18.11111,1
196,124,7.555555,3.666667,1
29,125,7.222222,3.111111,1
55,128,6.888889,1.222222,1
33,149,4.111111,9.666667,1
34,115,7.333334,4.777778,1
21,53,20.88889,17.666666,1
122,91,22,18.88889,1
59,111,6.444445,4.666666,1
29,100,20.88889,14.777778,1
182,134,7.666666,2.333333,1
85,70,23,19.333334,1
105,110,4.333334,6.333334,1
77,124,6.888889,1.666667,1
91,115,20.555555,12.555555,1
6,90,18.777779,12,1
23,142,6.555555,2.222222,1
216,126,6.444445,2.555556,1
217,145,6.333334,3.777778,1
25,116,17,11.444445,1
17,64,17.555555,18.666666,1
107,129,8.444445,2.666667,1
30,124,7.444445,3.666667,1
88,115,21.333334,17.88889,1
35,42,20,25.555555,1
161,136,7.111111,2.444444,1
38,41,20.777779,21.88889,1
88,71,21.777779,18.666666,1
78,107,18.333334,10.444445,1
97,126,7.666666,4.555555,1
85,101,21.222221,16.444445,1
108,111,4.111111,5.222222,1
176,132,7.444445,1.444444,1
15,123,6,2.333333,1
97,130,7.333334,3.111111,1
31,62,20.555555,18.11111,1
4,87,18.222221,11,1
100,124,8.222222,5.111111,1
100,111,19.777779,14.888889,1
33,117,7.333334,5.333334,1
23,85,18.88889,11.777778,1
34,137,7.777778,1.777778,1
6,51,18.777779,18.222221,1
13,73,19.222221,15.111111,1
133,67,25.11111,26.222221,1
27,68,20.444445,20.555555,1
136,77,24.555555,24.11111,1
73,103,19.222221,12.666667,1
29,111,6.888889,2.777778,1
140,125,7.333334,4.444445,1
37,126,7.444445,3,1
13,103,17.666668,8.888889,1
104,136,8.333334,3.555556,1
151,147,5.666666,9.555555,1
146,124,7.444445,3.888889,1
155,140,6.555555,1.666667,1
115,130,8.555555,4.111111,1
237,135,5.666666,1.888889,1
42,56,21.11111,22.444445,1
117,147,5.444445,12.666667,1
141,62,23.777779,30.88889,1
10,61,18.666668,15.777778,1
29,111,6.888889,2.777778,1
97,75,24,20.444445,1
85,56,23.333334,28.666666,1
8,102,18.555555,11.888889,1
112,114,6.555555,2.555556,1
71,113,7.111111,2.555556,1
2,63,17.222223,16.777779,1
89,68,17.666668,15.888889,1
138,133,7.777778,4.333334,1
139,86,24.222221,25.555555,1
82,109,19.222221,9.666667,1
120,108,21,18.88889,1
97,116,7.555555,5.444445,1
70,60,22.444445,21.666666,1
28,131,6.666666,2.444444,1
98,104,19.222221,13.555555,1
38,112,7,5.666666,1
76,81,22.333334,18.222221,1
147,92,22.777779,19.666666,1
23,88,18.777779,20.222221,1
154,120,7.777778,2.444444,1
177,126,7.666666,0.777778,1
34,137,7.777778,1.777778,1
69,81,20.333334,14.444445,1
97,77,24.11111,21.444445,1
18,145,5.555555,0.222222,1
38,146,5.666666,5,1
26,67,19.555555,17.666666,1
121,60,24.666666,25.444445,1
41,61,20.333334,21.11111,1
38,106,20,15.333333,1
67,61,22.666666,20.777779,1
90,101,20.333334,14.777778,1
30,102,20.333334,14.222222,1
67,118,20.222221,18.666666,1
227,118,7,3.111111,1
146,124,7.444445,3.888889,1
141,68,24.222221,29.11111,1
62,144,6,2.888889,1
231,123,7.111111,3.222222,1
11,108,19,10.333333,1
186,130,6.888889,2.666667,1
101,80,24.333334,20.222221,1
75,67,22.555555,16.88889,1
95,57,24.666666,24.444445,1
229,124,7.111111,3.666667,1
16,128,6.888889,3.333333,1
131,86,23.555555,21.11111,1
222,114,6.111111,5.666666,1
31,106,19.555555,13.666667,1
81,98,21,15,1
98,119,21.333334,17.222221,1
217,122,7.222222,4,1
23,147,4.111111,8.555555,1
11,108,19,10.333333,1
238,118,6.222222,3.666667,1
24,58,20,19.222221,1
33,149,4.111111,9.666667,1
22,116,6.777778,4.111111,1
58,122,7,3.111111,1
27,50,21.666666,20.88889,1
80,116,21.222221,17.555555,1
2,89,18.777779,14.777778,1
140,125,7.333334,4.444445,1
99,107,19.444445,13.111111,1
12,56,19.444445,16.777779,1
29,81,20.11111,16.88889,1
14,60,18.88889,16.333334,1
2,44,17.333334,19.444445,1
13,142,6.222222,1.888889,1
96,84,23.555555,18.444445,1
40,85,20.777779,18,1
23,86,18.555555,14.888889,1
108,113,6.888889,3.444444,1
120,17,118.77778,42,2
207,58,97.666664,53.22222,2
251,24,110.77778,48.444443,2
180,97,126.55556,33.22222,2
155,80,82.44444,69,2
93,46,116,44.88889,2
78,30,99.333336,54.444443,2
75,49,117,47.11111,2
212,81,77.22222,78.77778,2
58,58,112.55556,43.333332,2
36,21,120.666664,38.11111,2
179,101,126.44444,36.88889,2
67,40,95.333336,56.88889,2
147,51,117,41.666668,2
91,54,97.888885,51.333332,2
103,64,96.333336,52.333332,2
179,63,92.666664,52.88889,2
179,101,126.44444,36.88889,2
115,81,91.888885,56.88889,2
84,65,115.333336,48,2
41,93,103.888885,47.11111,2
92,46,93.888885,64.111115,2
234,58,77.333336,76.888885,2
66,41,95.111115,57.555557,2
120,51,113.22222,50.11111,2
92,56,115.888885,44,2
245,18,131.44444,30,2
27,62,115.77778,42.333332,2
159,40,114.22222,49.555557,2
93,29,119,42.88889,2
201,40,113.333336,47.666668,2
190,96,76,74.55556,2
245,47,127.44444,33,2
112,77,93.888885,52.77778,2
76,19,101,54.22222,2
248,13,88.22222,73,2
194,57,129.88889,30.777779,2
79,47,116,45.88889,2
164,45,88.111115,67.888885,2
92,56,115.888885,44,2
155,27,132.55556,27.11111,2
21,90,105.888885,45.22222,2
186,46,129.44444,30.11111,2
222,38,100.44444,53.88889,2
125,46,112.77778,49.333332,2
169,98,77.333336,73.666664,2
48,81,105.666664,47.88889,2
181,15,133.88889,27.777779,2
206,30,112.77778,49,2
184,44,85,67.333336,2
243,41,128.44444,32,2
53,78,93.22222,56.444443,2
97,21,115,48.22222,2
181,87,127.888885,33.11111,2
174,59,110.55556,50.22222,2
50,50,113.111115,50.333332,2
92,62,112.333336,47.555557,2
62,26,98.333336,56,2
183,29,88.77778,69.22222,2
78,60,99.55556,55.333332,2
152,18,97.22222,55,2
247,50,109.22222,53.11111,2
238,55,101,55.666668,2
22,57,115.77778,43,2
231,13,106.55556,51.333332,2
101,42,130.44444,31.11111,2
17,18,114,49.11111,2
235,46,100.888885,54.77778,2
63,13,122.77778,39.555557,2
140,25,117.77778,43,2
216,15,90.888885,73.77778,2
70,44,112,42.88889,2
73,19,116.55556,46.77778,2
