@relation segment

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
125,6.185185,1
61,21.74074,1
111,19.925926,1
124,5.888889,1
68,17.703703,1
88,20.592592,1
116,6.481482,1
111,18.62963,1
64,18.88889,1
123,6.962963,1
130,5.851852,1
147,4.592593,1
70,26.037037,1
149,7.518518,1
56,26.444445,1
100,22.222221,1
145,3.925926,1
124,6.222222,1
60,19.333334,1
91,19.74074,1
118,5.62963,1
92,18.703703,1
108,21.925926,1
128,5.555555,1
135,4.148148,1
51,25.74074,1
64,23.62963,1
59,23.851852,1
71,22.777779,1
104,18.703703,1
116,21.703703,1
116,6.62963,1
102,23.074074,1
62,21.185184,1
123,6.740741,1
136,6.259259,1
64,24.074074,1
122,6,1
118,5,1
62,27.37037,1
84,23.851852,1
55,23.444445,1
142,4.666666,1
117,6.333334,1
111,3.814815,1
80,24.814816,1
126,5.777778,1
123,5.814815,1
103,21.851852,1
138,5.740741,1
116,21.703703,1
113,5.592593,1
101,22.444445,1
86,23.814816,1
130,7.296296,1
115,19.925926,1
118,5.481482,1
111,5.407407,1
61,23.74074,1
124,7.074074,1
107,18.88889,1
42,22.592592,1
80,26,1
114,6.222222,1
113,14.703704,1
89,18.962963,1
137,5.851852,1
136,5.62963,1
60,26.74074,1
136,6.259259,1
95,21.407408,1
122,5.555555,1
67,23.74074,1
108,17.11111,1
114,5.888889,1
133,6.444445,1
135,5.703704,1
108,17.666666,1
45,21.925926,1
126,4.925926,1
40,17.185184,1
116,22.11111,1
133,6.666666,1
124,6.037037,1
108,17.666666,1
143,5.037037,1
90,22.62963,1
102,17.925926,1
147,6.777778,1
67,20,1
86,18.592592,1
110,17.925926,1
131,5.222222,1
144,4.814815,1
111,5.666666,1
143,4.518518,1
118,6.444445,1
60,26.74074,1
69,24.333334,1
136,6.814815,1
95,21.11111,1
124,5.111111,1
56,22.74074,1
118,6.259259,1
133,6.444445,1
65,20.814816,1
114,5.444445,1
139,5.333334,1
122,5.62963,1
129,6.333334,1
63,18.074074,1
41,22.481482,1
57,26.296297,1
57,26.296297,1
128,5.666666,1
142,5.037037,1
124,6.185185,1
83,19.444445,1
110,17.925926,1
145,5.296296,1
118,21.11111,1
124,6.037037,1
101,21.296297,1
129,6.666666,1
114,14.518518,1
104,21.925926,1
115,6.777778,1
128,5.037037,1
143,5.296296,1
106,19.11111,1
68,21.592592,1
122,6.407407,1
81,19.851852,1
124,5.111111,1
116,16.185184,1
125,5.851852,1
53,27.074074,1
113,5.518518,1
149,5.444445,1
92,19.37037,1
67,20,1
59,21.814816,1
55,21.037037,1
72,26.481482,1
143,5.444445,1
109,17.25926,1
109,17.777779,1
77,25.185184,1
58,20.925926,1
130,5.333334,1
93,20.37037,1
75,25.962963,1
111,5.407407,1
71,22.333334,1
112,6.222222,1
81,22.703703,1
120,5.962963,1
59,25.074074,1
134,5.888889,1
54,24.592592,1
85,21.11111,1
34,20.333334,1
106,20,1
137,5.851852,1
142,4.814815,1
114,5.259259,1
95,21.407408,1
103,16.148148,1
115,22.037037,1
116,6.111111,1
73,19.074074,1
133,6.666666,1
61,18.962963,1
85,17.962963,1
113,6.148148,1
117,5.777778,1
110,4.222222,1
101,21.296297,1
118,22.74074,1
130,6.62963,1
60,19.925926,1
66,28.407408,1
115,16.555555,1
51,19.592592,1
139,6.111111,1
81,20.481482,1
101,16.925926,1
