@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10,20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
41,123.03704,2
141,0.037037,5
197,63.22222,6
134,6.185185,3
146,0.037037,3
58,8.851851,5
182,54.185184,6
120,16.851852,3
130,0,5
138,1.407407,3
42,108.92593,2
116,21.962963,5
108,49.814816,3
118,34.333332,4
136,8,3
175,57.851852,6
128,5.296296,3
117,39.037037,4
85,48.88889,4
158,7.962963,4
32,116.77778,2
129,32.037037,4
92,22.88889,1
111,6.037037,1
94,1.185185,5
94,2.259259,3
129,24.703703,4
13,140.25926,2
202,57.333332,6
98,4.666666,3
93,2.444444,5
139,64.666664,4
204,55.88889,6
247,8.111111,7
33,125.888885,2
90,23.518518,5
62,6.444445,5
147,0.296296,5
73,125.51852,2
125,69.333336,4
69,23.814816,3
98,5.518518,3
112,16.185184,5
232,14.703704,7
169,17.11111,7
203,54.51852,6
129,51,4
140,6,1
134,4.740741,1
154,0.740741,5
188,15.740741,7
180,13.592592,7
245,6.407407,7
66,42.11111,4
96,5.222222,3
85,49.148148,4
21,127.296295,2
68,37.962963,4
232,13.555555,7
223,6.666666,7
144,0.962963,3
86,13.407408,3
134,2.111111,5
32,121.44444,2
140,0.407407,5
64,22.481482,1
189,12.925926,7
141,0.074074,5
122,19.88889,3
162,44.074074,6
89,1.814815,5
67,0.740741,5
133,0.37037,5
24,127.62963,2
220,6.62963,7
200,7.703704,7
57,26.814816,1
82,8.481482,3
140,3.222222,5
201,7.777778,7
131,0.740741,3
243,13.333333,7
19,137.77777,2
67,108.85185,2
193,60.11111,6
222,9.333333,7
89,17,5
197,6,7
94,21.222221,1
244,7.740741,7
22,49.666668,4
136,6.185185,5
194,58.814816,6
189,12.888889,7
35,109.111115,2
236,16.074074,7
159,6.62963,4
198,51.666668,6
47,123.85185,2
100,6.074074,3
113,20.851852,5
184,31.185184,6
144,0,5
185,32.555557,6
79,89.44444,2
189,32.11111,6
80,40.51852,4
194,50.11111,6
75,126.07407,2
124,1.148148,3
105,58.62963,4
189,58.407406,6
62,110.03704,2
135,47.37037,4
185,56.25926,6
21,130.14815,2
124,2.814815,3
206,57.62963,6
34,137.03703,2
150,20.74074,4
144,0.703704,5
72,26.222221,1
81,3.481482,3
117,21.222221,1
145,0,5
215,6.925926,7
91,3.888889,3
195,45.074074,6
128,5.962963,1
83,18.74074,1
193,62.703705,6
96,6.296296,3
129,6.333334,1
135,0.740741,3
203,11.259259,7
39,113.37037,2
96,21.88889,1
154,0.259259,5
186,48.22222,6
118,6.074074,1
139,18.074074,3
53,123.44444,2
198,58.333332,6
135,26.444445,5
134,1.777778,3
138,0.259259,3
183,15.37037,7
200,46.11111,6
217,14.555555,7
185,47.962963,6
59,121.703705,2
103,58.185184,4
123,1.37037,3
19,126.666664,2
196,47.185184,6
149,19,7
208,16.851852,7
125,3.925926,3
117,19.88889,1
201,17.88889,7
41,109.703705,2
112,5.925926,1
48,115.77778,2
186,34.962963,6
128,5.555555,1
240,14.148149,7
184,31.703703,6
137,25.333334,5
102,23.074074,1
120,51.074074,4
141,5.407407,1
22,137.96297,2
73,40.185184,4
103,18.962963,1
190,52.555557,6
91,12.148149,5
89,23.88889,1
129,37.88889,4
186,51.77778,6
134,6.962963,5
32,56.37037,4
75,41.11111,4
108,8.666667,3
196,53.333332,6
126,20.11111,4
202,15.111111,7
121,41.037037,4
245,16.37037,7
135,6.222222,5
56,28.62963,1
32,136.2963,2
135,5,1
57,124.703705,2
63,20.925926,1
69,25.666666,1
193,14.444445,7
148,29.074074,4
114,19.851852,1
86,17.148148,5
191,63.074074,6
90,48.22222,4
221,14.074074,7
98,17.481482,1
210,51.296295,6
110,34.11111,4
56,23.703703,1
121,1.148148,3
130,5.777778,1
41,112.111115,2
19,129.92592,2
57,65.703705,4
149,5.518518,1
110,1.666667,3
122,5.851852,1
177,32.444443,6
51,123.18519,2
158,8.444445,4
135,0.148148,5
117,5.888889,1
62,61.037037,4
224,20.25926,7
201,7.777778,7
95,2.148148,5
34,123.22222,2
203,54,6
57,100.44444,2
83,3.703704,3
57,92.92593,2
151,30.481482,4
184,13.62963,7
147,4.148148,1
