@relation segment

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
68,17.703703,17.666668,-15.777778,1
125,6.185185,7.333334,-7.888889,1
67,20,19.555555,-16.333334,1
96,21.74074,20.777779,-15.222222,1
100,22.222221,21.777779,-17.333334,1
59,23.851852,22.666666,-17.555555,1
124,5.888889,7.111111,-7.333334,1
41,22.481482,20.777779,-16.777779,1
124,7.074074,8.222222,-8.555555,1
123,4.555555,6,-6.666666,1
143,5.296296,6.666666,-6.888889,1
103,21.851852,21.222221,-16.555555,1
124,6.037037,7.444445,-8.111111,1
117,5.888889,6.888889,-7.666666,1
56,22.74074,21.11111,-17.555555,1
101,16.925926,18.333334,-13.111111,1
117,6.333334,7.666666,-7.333334,1
130,7.296296,8.555555,-7.888889,1
134,4.740741,6.444445,-6.555555,1
110,4.222222,4.333334,-6.666666,1
124,5.888889,7.111111,-7.333334,1
115,6.666666,8.222222,-8.333333,1
118,6.444445,7.555555,-8.333333,1
108,21.925926,21,-16.11111,1
137,5.851852,7.777778,-7.555555,1
122,5.62963,7,-7.222222,1
108,17.666666,19,-14.333333,1
94,21.222221,20.666668,-16.666666,1
111,19.925926,19.777779,-14.444445,1
149,5.444445,4.111111,-5.666666,1
84,23.851852,23.555555,-17.555555,1
85,17.962963,18.88889,-14.555555,1
68,21.592592,20.444445,-17.11111,1
63,18.074074,17.222223,-14.222222,1
61,21.74074,20.333334,-16.88889,1
111,3.814815,4.111111,-6.111111,1
64,18.88889,17.555555,-14.666667,1
145,5.296296,6.333334,-6.888889,1
61,18.962963,18.666668,-14.888889,1
109,17.777779,19.222221,-14,1
115,22.037037,21.333334,-15.777778,1
77,25.185184,24.11111,-18.222221,1
142,5.037037,6.555555,-6.777778,1
115,6.296296,7.333334,-7.888889,1
113,6.148148,7.222222,-8.111111,1
116,21.703703,21.222221,-16.11111,1
149,5.444445,4.111111,-5.666666,1
92,23.444445,22.777779,-17.666666,1
95,21.407408,21.333334,-15.555555,1
92,23.666666,23.11111,-18.333334,1
136,6.259259,7.777778,-7.444445,1
51,25.74074,22.666666,-18.88889,1
121,6.407407,8,-7.888889,1
133,6.666666,8.333334,-8.333333,1
63,22.37037,20.333334,-15.777778,1
66,28.407408,25.333334,-20.222221,1
136,6.814815,8.333334,-8.111111,1
135,5.703704,7.444445,-7.444445,1
60,19.333334,18.88889,-15,1
78,24.592592,24,-18.11111,1
136,5.62963,7.111111,-6.888889,1
123,6.111111,8,-7.666666,1
62,21.185184,20.555555,-16.222221,1
145,3.925926,5.555555,-5.111111,1
147,4.592593,4.111111,-7.111111,1
140,6.333334,7.888889,-7.666666,1
133,6.444445,7.777778,-8.333333,1
143,4.518518,6.111111,-7.555555,1
118,5.481482,6.555555,-6.777778,1
104,21.925926,20.555555,-16.11111,1
89,22.333334,21.666666,-16.333334,1
81,19.851852,20.333334,-15.888889,1
142,4.592593,6.222222,-6.777778,1
62,21.222221,20.777779,-16.666666,1
123,5.814815,7.555555,-7.777778,1
113,5.481482,7.111111,-7.444445,1
111,5.407407,6.888889,-7.222222,1
75,24.851852,24,-17.88889,1
70,26.037037,24.444445,-19.11111,1
118,6.074074,7.666666,-7.555555,1
104,21.777779,20.88889,-17,1
90,22.62963,22,-17.555555,1
114,17.222221,19,-14,1
133,6.444445,7.777778,-8.333333,1
117,5.777778,6.333334,-7,1
73,19.074074,19.222221,-15.555555,1
69,25.666666,23.444445,-19.666666,1
90,18.11111,18.777779,-14,1
101,20.074074,20.333334,-15.555555,1
101,19.037037,19.666668,-15.444445,1
143,5.037037,6.555555,-7.111111,1
120,5.962963,7.777778,-7.888889,1
77,24.481482,23.444445,-18.11111,1
125,6.185185,7.333334,-7.888889,1
143,5.666666,7.555555,-8,1
59,25.074074,22.333334,-19.555555,1
146,5.111111,5.666666,-6.666666,1
53,21.555555,20.88889,-15.666667,1
34,20.333334,18.222221,-16.333334,1
120,23.666666,22.11111,-15.666667,1
128,5.037037,6.888889,-6.777778,1
118,6.259259,7.555555,-8.111111,1
59,21.814816,20.777779,-17.777779,1
102,20.25926,20.333334,-14.444445,1
72,26.222221,23.777779,-20.333334,1
139,5.333334,6.555555,-7,1
114,6.222222,7.555555,-7.666666,1
122,5.851852,7.333334,-7.555555,1
114,14.518518,16.11111,-12.555555,1
116,5.62963,6.777778,-7.555555,1
50,23.037037,21.666666,-16.777779,1
92,19.074074,18.777779,-14.222222,1
103,18.333334,19.222221,-15.333333,1
113,5.592593,7.111111,-7.777778,1
57,26.296297,24.666666,-19.555555,1
131,5.962963,7.555555,-6.888889,1
147,6.777778,5.444445,-8.666667,1
128,5.555555,6.888889,-7.333334,1
134,6.074074,7.444445,-7.222222,1
85,21.444445,20.444445,-17,1
100,20.62963,20.88889,-15.555555,1
86,18.592592,18.555555,-14.777778,1
123,5.814815,7.111111,-7.111111,1
88,22.148148,21.333334,-16.444445,1
60,26.74074,24.666666,-19.222221,1
64,22.481482,22,-17.777779,1
92,18.703703,18.777779,-15.444445,1
135,5.518518,7.111111,-7.555555,1
74,23.592592,22.555555,-17.777779,1
91,22.481482,22,-17.444445,1
123,6.962963,7.888889,-7.222222,1
57,26.296297,24.666666,-19.555555,1
101,21.296297,21.222221,-16.222221,1
130,6.62963,8.444445,-7.222222,1
138,5.740741,7.333334,-7.222222,1
149,7.518518,5.555555,-7.222222,1
108,17.11111,19,-14,1
71,22.333334,21.777779,-17,1
107,17.185184,18.333334,-13.888889,1
89,21.88889,21.333334,-16,1
129,6.333334,7.888889,-7.666666,1
128,5.925926,7.888889,-7.444445,1
137,5.851852,7.777778,-7.555555,1
64,23.62963,21.777779,-17.222221,1
140,6,7.444445,-7,1
67,23.74074,22.88889,-18.555555,1
96,21.88889,22.11111,-17,1
126,4.925926,6.444445,-7.111111,1
60,23.777779,22.444445,-17.666666,1
116,5.62963,6.777778,-7.555555,1
134,5.888889,7.666666,-7.666666,1
106,20,20,-15.333333,1
116,22.11111,21.333334,-15.666667,1
108,17.666666,19,-14.333333,1
77,26.407408,24.555555,-18.555555,1
111,5.703704,6.888889,-7.444445,1
117,19.88889,20.666668,-15,1
117,21.222221,21.11111,-15,1
141,5.407407,7,-7.222222,1
75,22.74074,22,-17.555555,1
84,23.851852,23.555555,-17.555555,1
149,5.518518,4.111111,-5.555555,1
135,5,6.888889,-7,1
109,17.25926,19.222221,-14.111111,1
126,7.296296,8.777778,-7.222222,1
126,6.481482,7.666666,-8.111111,1
130,5.333334,6.888889,-7.333334,1
102,17.925926,18.555555,-13.777778,1
131,5.185185,6.666666,-6.888889,1
119,21.592592,21.333334,-16.444445,1
53,27.074074,22.777779,-20.88889,1
80,24.814816,24.333334,-18.777779,1
126,5.777778,7.444445,-8,1
116,16.185184,17,-13.888889,1
116,21.703703,21.222221,-16.11111,1
101,21.296297,21.222221,-16.222221,1
114,5.259259,6.555555,-6.444445,1
138,5.444445,7,-7.333334,1
114,19.851852,20,-14.888889,1
115,6.777778,7.777778,-8.333333,1
57,26.814816,24,-19.777779,1
92,19.37037,20.222221,-14.444445,1
65,20.814816,20.11111,-15.777778,1
111,5.407407,6.888889,-7.222222,1
103,18.962963,20.222221,-15.222222,1
45,21.925926,20.555555,-16.444445,1
55,23.444445,21.666666,-17.666666,1
55,21.037037,20.555555,-15.444445,1
114,5.888889,7,-8,1
124,5.111111,6.888889,-7,1
56,26.444445,23.333334,-19.333334,1
86,24.296297,23.555555,-18.88889,1
115,19.925926,20.555555,-14.444445,1
83,18.74074,19.11111,-14.555555,1
126,5.407407,7.666666,-7.555555,1
64,24.074074,22.666666,-19.222221,1
140,5,6.555555,-6.333334,1
106,23.037037,22,-17.444445,1
123,6.740741,8.222222,-8.222222,1
60,22.62963,21.333334,-18.222221,1
114,5.444445,6.111111,-7.666666,1
122,6,7.222222,-7.666666,1
73,20.62963,19.777779,-15.888889,1
63,20.925926,19.666668,-16.777779,1
116,6.481482,7.555555,-8.444445,1
80,26,24,-19.333334,1
56,28.62963,26.11111,-19.555555,1
124,6.185185,7.666666,-7.888889,1
129,6.333334,7.888889,-7.666666,1
69,24.333334,22,-17.666666,1
124,5.111111,6.666666,-7.333334,1
140,6.333334,7.888889,-7.666666,1
117,6.444445,7.333334,-8,1
104,18.703703,19.222221,-15.111111,1
112,5.925926,7.111111,-7.444445,1
93,20.37037,18.88889,-14.777778,1
60,26.74074,24.666666,-19.222221,1
145,3.925926,5.555555,-5.111111,1
142,4.666666,6.777778,-7,1
118,5.62963,7,-7.222222,1
116,6.111111,7.111111,-7.666666,1
122,6.407407,8.111112,-7.555555,1
110,17.925926,18.88889,-13.444445,1
130,5.851852,7.333334,-7.555555,1
144,4.814815,6,-6.444445,1
102,23.074074,22.11111,-17.222221,1
51,19.592592,18.777779,-15.777778,1
40,17.185184,15.666667,-13.888889,1
85,21.11111,20.777779,-17,1
101,22.444445,21.555555,-17.666666,1
113,14.703704,17.11111,-13.777778,1
133,6.666666,8.333334,-8.333333,1
79,16.814816,17.333334,-14.111111,1
88,21.148148,21.444445,-16.444445,1
67,22.25926,22.555555,-17.777779,1
113,20.25926,20,-14.777778,1
128,5.666666,7.444445,-8,1
131,5.222222,7.222222,-6.666666,1
139,6.111111,7.555555,-7.666666,1
81,20.481482,20.11111,-15.777778,1
145,5.296296,6.333334,-6.888889,1
42,22.592592,20,-17.777779,1
86,26.481482,24.222221,-18.777779,1
67,27.148148,25.11111,-20.11111,1
95,21.407408,21.333334,-15.555555,1
44,18.74074,17.333334,-15.222222,1
87,17.333334,18.222221,-13.666667,1
124,6,7.444445,-8,1
75,21.333334,21.11111,-16.666666,1
102,23.074074,22.11111,-17.222221,1
89,23.88889,23.11111,-17.333334,1
56,19.851852,19.444445,-15.555555,1
74,22.407408,21.666666,-17.222221,1
70,23.666666,23,-17.333334,1
71,22.777779,21.88889,-18,1
122,5.555555,7,-7.666666,1
85,17.962963,18.88889,-14.555555,1
60,19.925926,19.333334,-15.777778,1
116,6.62963,7.555555,-8.222222,1
113,5.518518,6.888889,-7.555555,1
124,6.222222,7.555555,-7.666666,1
83,19.444445,19.555555,-15.333333,1
121,23.11111,21.666666,-16.666666,1
143,5.444445,6.777778,-8,1
103,16.148148,17.666668,-13.444445,1
90,24.851852,23.666666,-18.555555,1
107,18.62963,19.444445,-15.555555,1
98,17.481482,18.333334,-12.444445,1
107,18.88889,19.88889,-15,1
