@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,10,16,19-20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
197,9,2.611111,49.592594,-19.777779,-2.022274,6
120,9,1.555555,47.851852,-16.222221,-1.910735,4
97,9,0.611111,47.962963,-13.222222,-1.840735,4
152,9,1.222222,1.518519,-2.555556,-1.933239,5
89,9,3.666667,22.333334,-16.333334,-1.625587,1
124,9,1.111111,2.518518,-3.888889,-2.267462,3
238,9,2.333333,8.925926,14.888889,2.126063,7
157,9,2.222222,23.148148,-11.777778,-2.169368,4
75,9,1.5,22.74074,-17.555555,-1.641882,1
15,9,1.444443,140.2963,-8.555555,-2.330563,2
125,9,8.555554,43.37037,-11.777778,-1.840579,4
108,9,27.277779,49.814816,-9.777778,-2.360491,3
61,9,0.5,7.074074,-8.222222,-2.048717,5
163,9,18.166666,40,-7.666666,-2.51749,6
154,9,0,0,0,0,5
172,9,9.166667,42.333332,-13.666667,-2.126558,6
13,9,0.944445,141.81482,-7.111111,-2.276767,2
125,9,2.666667,3.925926,-4.444445,-2.234241,3
193,9,2.222222,61.407406,-22.222221,-2.109375,6
25,9,0.611111,70.44444,-26.333334,-2.13042,4
131,9,0,0,0,0,5
187,9,1.444444,13.740741,16.444445,1.941465,7
191,9,7.777778,25.296297,-8.555555,-1.858264,6
87,9,1.166667,64.03704,-24.11111,-2.105073,4
94,9,0.444445,20.222221,-13,-2.084893,5
151,9,0.111111,0.111111,-0.333333,-2.094395,5
142,9,0.888889,3.851852,-3.555556,-2.280603,3
44,9,2.38889,18.74074,-15.222222,-1.753726,1
20,9,0.611112,111.703705,-13.777778,-2.385213,2
167,9,7.555555,14.074074,-0.888889,-3.015081,7
134,9,0.611111,2.962963,-4.888889,-2.133095,5
113,9,0.444444,5.518518,-7.555555,-0.989308,1
68,9,2.166667,27.185184,-20.222221,-1.848523,1
126,9,0.444445,5.777778,-8,-0.895807,1
212,9,1.555556,8.037037,9.888889,2.242649,7
95,9,0.944444,21.407408,-15.555555,-1.567327,1
240,9,2.444444,14.148149,13.222222,2.392487,7
101,9,0.611109,134.92592,-11.444445,-2.328735,2
114,9,1.166667,1.851852,-3.222222,-2.222661,3
177,9,1.666666,49.444443,-21.333334,-1.942662,6
120,9,0.444445,5.962963,-7.888889,-0.820403,1
223,9,1.777778,16.518518,19.11111,2.119546,7
113,9,0.277778,6.148148,-8.111111,-1.175454,1
67,9,0.888889,122.888885,-15,-2.317188,2
83,9,1.055552,90.62963,-30.555555,-2.239053,2
181,9,2.055555,16.296297,15.444445,2.141428,7
56,9,0.833333,126,-13.666667,-2.326783,2
58,9,0.888891,123,-12,-2.365385,2
242,9,4.666667,24.074074,19.444445,2.395778,7
140,9,1.388889,23,-12.333333,-2.167262,4
131,9,0,0,0,0,5
61,9,0.5,7.074074,-8.222222,-2.048717,5
124,9,2.055555,40.925926,-16.11111,-2.076967,4
141,9,0.777778,9.851851,-8.555555,-2.191662,5
106,9,0.722222,19.11111,-15,-1.48458,1
29,9,1.055553,128.44444,-15.666667,-2.271128,2
107,9,10.333333,29.222221,-13,-1.877159,4
186,9,6.055555,50.074074,-17.222221,-2.028812,6
144,9,0.333333,0.444444,-1,-2.094395,5
