@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,11,15,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
202,41,111.888885,50.22222,2
137,141,0,0.222222,5
86,197,56.22222,43.666668,6
132,134,2.222222,15.777778,3
109,146,0,0.222222,3
249,58,6,17.11111,5
215,182,48.555557,39.11111,6
91,120,11.222222,26.777779,3
211,130,0,0,5
82,138,0,7.111111,3
188,42,95.666664,51.88889,2
59,116,17.88889,22.777779,5
45,108,41.77778,33.88889,3
127,118,30.777779,22,4
88,136,4.111111,15.666667,3
223,175,50.77778,44.77778,6
139,128,2.444444,12.777778,3
230,117,33.555557,32.22222,4
78,85,42.444443,38,4
32,158,6.333334,11.777778,4
253,32,103.888885,49.666668,2
151,129,27.555555,27.222221,4
96,92,21.777779,20.666666,1
39,111,7,4.888889,1
243,94,0.222222,6.111111,5
10,94,0.111111,11.222222,3
136,129,19.11111,30.555555,4
18,13,134.33334,26.555555,2
38,202,50.22222,42.666668,6
70,98,1.222222,13.666667,3
222,93,1,9,5
144,139,57.88889,42.333332,4
28,204,49.77778,40,6
140,247,6,-6.666666,7
44,33,114.666664,47.666668,2
173,90,17.333334,32.77778,5
223,62,4.111111,15,5
200,147,0.222222,0.444444,5
102,73,115.44444,45.11111,2
146,125,63.22222,41.333332,4
226,69,19.222221,16.555555,3
75,98,2.333334,14.777778,3
35,112,12.111111,23.11111,5
58,232,11.222222,-3.444444,7
144,169,13.444445,2.666667,7
42,203,48.666668,37.77778,6
122,129,46.88889,29,4
199,140,7.444445,2.666667,1
219,134,6.444445,1.444444,1
79,154,0.444444,2.444444,5
4,188,13.333333,-5.222222,7
238,180,11.111111,-5.111111,7
2,245,6.222222,-1.222222,7
183,66,41.555557,11.333333,4
2,96,2.111111,13.666667,3
185,85,45,31.222221,4
138,21,116.22222,47.444443,2
212,68,37.555557,11.111111,4
21,232,11.333333,-3.666667,7
62,223,4.888889,-6,7
108,144,0,5.777778,3
201,86,8.777778,19.444445,3
84,134,1,7.666666,5
239,32,110.22222,50,2
245,140,0.222222,1.111111,5
67,64,22,19.222221,1
110,189,10.888889,-11.111111,7
133,141,0,0.444444,5
70,122,17.88889,15.666667,3
186,162,37.444443,31.777779,6
242,89,0.777778,6.888889,5
173,67,0.777778,1.111111,5
206,133,0,2.222222,5
143,24,117.666664,42.11111,2
199,220,5.333334,-4.888889,7
