@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,11-12,14,20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,1.166666,14.111111,17.88889,-10.888889,7
120,0.444444,0,3.888889,-4.777778,3
62,0.888887,100.666664,127.111115,-28.555555,2
146,2.111111,16.777779,29.666666,-13.777778,4
92,0.444444,7.555555,20.555555,-13.555555,5
136,2.666667,9,25.333334,-19.555555,3
13,0.555557,122.111115,144.77777,-29,2
138,0.5,6.777778,5.444445,5.444445,1
75,0.888888,72,115.888885,-49.666668,2
68,0.888889,95.111115,124.888885,-32,2
100,0.666667,0.111111,2.777778,-3.333333,3
75,2.222222,23.333334,34.77778,-7.888889,1
173,2.388888,49.88889,71.55556,-20.666666,6
155,9.944445,7.777778,17.555555,-10.555555,5
184,2.777777,45.88889,62.333332,-14.111111,6
13,1,106.55556,135.77779,-36.333332,2
233,1.166666,8.888889,11.888889,-11.111111,7
196,6.777777,40.444443,57.11111,-16.88889,6
140,0.444444,0.777778,1.888889,-0.777778,5
181,2.666667,17.11111,17.88889,-7.555555,7
187,3.555555,14.666667,16.222223,-12,7
236,3.055555,9.444445,9.444445,-4.888889,7
186,2.055555,44.11111,60.444443,-14.111111,6
75,26.611113,47.444443,65.44444,-22.666666,3
111,0.888889,7,7.666666,2.888889,1
81,15.166667,33.11111,55.555557,-26.444445,3
108,22.444443,41.22222,55.444443,-13.111111,4
147,4.666666,43.77778,62.444443,-18,4
66,2.166667,21.222221,29.88889,-4.222222,1
57,0.722223,60,90.111115,-31.11111,4
54,0.666667,97.55556,127.44444,-37.22222,2
131,0.277778,0.888889,3.666667,-2,5
94,0.444445,16,28.777779,-12.666667,5
190,4.555555,51.666668,71.111115,-19.333334,6
85,0.888888,79.22222,118,-43,2
161,0.777778,5.555555,10.888889,-4.777778,4
223,1.666667,4.888889,4.666667,-5.333334,7
105,1.5,19.11111,29.555555,-10.777778,5
52,1.333333,115.55556,140.22223,-30.666666,2
118,3.444444,21.555555,29,-3.555556,1
201,3.111111,16.666668,20.333334,-13.888889,7
203,2.944444,15.444445,17.666668,-12.222222,7
134,0.388889,6.777778,6.222222,4.444445,1
71,1.499999,115.55556,140.88889,-31.222221,2
148,6.666666,12,16.88889,-11.888889,7
89,1.222221,51,74.44444,-23.777779,4
158,1.388889,7,12.222222,-4.333334,4
58,0.888888,97.666664,128.11111,-38.11111,2
193,7.055556,46.555557,63,-15.555555,6
65,2.277779,53.666668,74.55556,-20.88889,4
140,3.055556,6,15.111111,-11.777778,3
44,2.38889,17.333334,25.222221,-4.222222,1
160,5.944443,37.88889,58.333332,-21.777779,6
152,2.055556,1,2.333334,-1.111111,5
139,0.833333,7.555555,7.222222,4.333334,1
116,0.444445,7.555555,8.222222,3.222222,1
122,1.166667,10.222222,25.333334,-17.88889,3
86,3.555556,23.333334,30.222221,-1.444444,1
89,0.333333,14,25.777779,-12,5
116,1.111111,25,38.333336,-13.333333,4
249,2.666667,19.777779,21.222221,-9.222222,7
80,16.666666,17.333334,31.666666,-18.88889,3
168,0.666666,20.88889,23,-12.666667,7
135,0.833332,63.666668,83.888885,-18.777779,4
133,0.222222,0.333333,1.777778,-1.222222,5
152,0,0,0,0,5
61,0.833333,22.666666,30.666666,-3.222222,1
120,1.277779,56.88889,69.333336,-9.444445,4
44,1,85,121.44444,-42,2
30,0.611109,97.666664,129,-40.666668,2
110,0.444444,27.222221,39.333336,-13.222222,5
76,1.333333,74.55556,116.55556,-46.555557,2
88,0.944445,0.444444,6.444445,-7,3
222,1.166667,8.666667,6.666666,-5.444445,7
148,0,0,0,0,5
31,0.666664,130.77779,145.44444,-16.88889,2
91,2.555556,19.777779,24.555555,0.111111,1
233,1.722223,21.88889,25.11111,-14.777778,7
136,2.111111,6.666666,20.88889,-16.555555,3
36,1.055556,100.77778,132.44444,-39.77778,2
119,1.222222,5.888889,13.666667,-8.222222,5
194,4.611112,53.444443,76.111115,-22,6
77,1.555555,54.22222,71.333336,-16,4
133,0.055556,0,0.888889,-0.888889,5
127,8.555555,38,48.22222,-8.222222,4
30,1.222223,100.77778,130.11111,-37.444443,2
62,1.111112,116.333336,138.77779,-27.222221,2
98,1.888889,21,25.88889,0.333333,1
93,1.055556,9.888889,22.88889,-13.555555,5
192,5.944445,53.444443,76.44444,-22.11111,6
159,14.833333,31.333334,46.22222,-15.888889,6
124,0.222222,0,3.222222,-3.222222,3
62,1.166668,117.55556,140.33334,-26.777779,2
210,1.555556,9.444445,12,-10.555555,7
130,0.277778,0,2.333334,-2.333333,3
124,0.388889,7.444445,7.333334,4.222222,1
65,2,115.333336,141.66667,-31,2
93,1.5,2,9.333334,-9,3
226,1.111111,14,15.777778,-12,7
98,1.666667,77.333336,116.888885,-45,2
195,2.999999,42.77778,59.666668,-16.666666,6
127,1.666667,39.444443,57.333332,-17.444445,4
111,0.5,6.444445,7,3,1
54,2.722222,22.777779,32.555557,-5.444445,1
131,0,0,0,0,3
181,1.277778,15.444445,18.444445,-11.555555,7
90,1.277777,57.666668,79.77778,-22.555555,4
98,5.944444,31,41,-8.888889,4
248,2.111111,23.222221,25.11111,-11,7
137,0.666667,1.555556,6.333334,-4.666666,5
220,3.666667,6.555555,6.444445,-4.888889,7
218,1.611111,11.888889,13.777778,-9.111111,7
190,1.555556,44.88889,62.333332,-16.666666,6
113,2.944444,20,25.444445,-0.777778,1
21,5.222221,37.11111,49.333332,-10.888889,4
95,7.055555,42.88889,56.333332,-11.888889,4
131,1.333333,6.888889,6.111111,4.666666,1
126,0.944445,52.333332,70.44444,-16.444445,4
186,3.555556,31.222221,43.88889,-12.222222,6
187,3.055555,44.11111,59.88889,-13.222222,6
115,2.222223,15.666667,21.777779,-2.666667,1
110,0.5,0.111111,4.888889,-5.111111,3
110,2.722222,1.444444,6.444445,-7.555555,3
58,1.444444,110.44444,138.77779,-35.444443,2
159,14.833333,31.333334,46.22222,-15.888889,6
68,0.166667,2.111111,2.888889,-0.555556,5
95,0.888891,47.444443,71.66667,-24.555555,4
215,3.388889,14.444445,15.666667,-8.222222,7
196,2.222222,55,75.66667,-19.777779,6
111,4.111111,2.222222,9.111111,-8,3
142,1.722222,6.777778,5.222222,5.888889,1
45,2.055555,48.11111,63.77778,-14.888889,4
183,2,14,17.333334,-12.333333,7
132,0.944444,7.444445,6.222222,5.111111,1
80,16.666666,17.333334,31.666666,-18.88889,3
233,1.777778,8.333334,11,-10.111111,7
62,3.388889,23.777779,37.666668,-10.777778,1
102,0.888889,53.444443,69.66667,-14.333333,4
208,2.444444,12.111111,12.222222,-8,7
124,0.555556,0.111111,2.777778,-3.111111,3
138,1.055553,63.88889,82.55556,-16.777779,4
123,0.166667,0,3.444444,-3.444444,3
46,2.222221,53.22222,79.111115,-27.333334,4
76,15,28.666666,33.444447,-3.444444,4
92,0.555555,12.888889,25.777779,-13.111111,5
140,0.277778,3.666667,9.444445,-5.666666,5
32,1.777779,115.111115,142.22223,-33.333332,2
78,0.777779,128.66667,147,-20.666666,2
175,3.444445,50.666668,72.66667,-21.333334,6
134,1.055556,1,6.111111,-5,5
111,1.333333,19.777779,22.222221,3.444444,1
74,1.388889,21,26.88889,-0.444444,1
195,4.111111,42.444443,58.88889,-15.777778,6
144,0.611111,0.111111,6.555555,-7.222222,3
87,44.722225,58.77778,79,-26,3
154,0.777778,1,3.555556,-2.222222,5
126,1.222222,0.444444,3.555556,-3.222222,3
126,0.944444,0.555556,5.222222,-6.666666,3
32,2.611109,129.77779,146.33334,-19.555555,2
57,9.277778,11.333333,20.88889,-12.111111,5
137,1,3.111111,13.888889,-13.555555,3
248,3.166667,14.777778,12.888889,-1.555556,7
81,9.222222,14,30.555555,-22,3
95,2.499999,21.11111,26.222221,0,1
182,0.722223,15.444445,14,-6.444445,7
181,3.000001,43,56.88889,-11.666667,6
132,0.388889,0,3.444444,-3.888889,3
180,3.111111,44.11111,59,-13.333333,6
73,9.444445,20.555555,57.333332,-42.444443,3
69,0.722223,36.666668,40.22222,-0.888889,4
176,3.444444,47.11111,67.66667,-19.666666,6
81,1.333333,22.333334,28.777779,-1.111111,1
181,2.555556,53.666668,75.66667,-20.88889,6
81,5.722223,7.666666,18.88889,-14.444445,3
248,3.222223,15.555555,16.666668,-12,7
77,7.722223,30.222221,37.666668,-7.666666,4
163,18.888887,33.77778,47.555557,-16.555555,6
94,0.888888,61.11111,82.66667,-21,4
130,1.277778,1.111111,3,-1.555556,5
189,2.111111,51.77778,73.333336,-20.555555,6
191,1.444445,54.77778,76.66667,-20.666666,6
189,12.388889,21.11111,29.333334,-7.444445,6
57,1.388891,129.44444,146.66667,-19,2
224,3.055556,15.444445,17.777779,-14.444445,7
138,0.833333,7.333334,6.555555,4.777778,1
155,10.777778,5.333334,11,-5.888889,5
123,2.999999,41.11111,53.77778,-11.111111,4
84,0.388889,13,24.777779,-12.333333,5
134,0.833333,0.666667,4,-3,5
62,1.000001,85.666664,121.44444,-42,2
109,0.388889,18.444445,28.777779,-10.222222,5
129,0,0,0,0,5
172,6.666666,40.333336,54.666668,-13.333333,6
89,2.555556,18.777779,23.88889,-0.555556,1
104,1.833335,87.22222,119.888885,-39.88889,2
161,10.499999,36,51.11111,-16.444445,6
30,0.611111,115.111115,141,-30.88889,2
109,2,2.555556,9.666667,-9.333333,3
154,3.833333,44.555557,64,-18.444445,4
55,1.777777,21.666666,31.11111,-5.333334,1
35,0.388889,10.333334,19.222221,-9.444445,5
77,0.666667,51.11111,74,-24,4
15,1.888888,119.666664,145.33334,-31.444445,2
119,1.055556,0.111111,3.222222,-3.333333,3
20,0.833333,114,140.55556,-33,2
94,0.555556,10.666667,23.777779,-14.111111,5
215,2.555556,14.222222,15.444445,-11.555555,7
163,18.777777,35.22222,48.88889,-16.444445,6
190,2.611111,16,17.11111,-11.666667,7
100,1.222222,21.666666,26,1.777778,1
83,2.333333,2.222222,11.888889,-12.111111,3
185,3.111111,43.88889,58.22222,-11.777778,6
67,2.444445,19.555555,25.88889,-1.333333,1
89,0.944444,2.888889,9.555555,-6.444445,5
176,2.722222,19.444445,19.777779,-9.888889,7
124,2.444445,49.444443,65.22222,-14.666667,4
40,0.666667,95.333336,129,-44.11111,2
135,0.666667,5.666666,4.777778,4.555555,1
134,0.944444,1,4.666667,-3.333333,5
45,1,88.111115,124.55556,-41.444443,2
116,0.833333,0.222222,5,-5.222222,3
182,3,49.555557,68.111115,-16.555555,6
29,1.388891,119,142.77777,-28.444445,2
200,2.5,50.666668,70.22222,-18,6
160,1.555555,36.444443,55.333332,-19.11111,6
241,1.166667,5.888889,7,-7.111111,7
229,2.444445,11.222222,11.111111,-7.444445,7
195,0.611111,14.444445,13.333333,-4.777778,7
137,0.277778,0,4.111111,-4.111111,5
147,0.722222,5.666666,9.222222,-1.111111,1
149,0.666666,13.444445,23.777779,-10.111111,4
