@relation glass

@attribute Ca numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
8.04468,0,1
8.4428,0,1
8.63648,0,1
8.57192,0,1
9.85236,0,1
9.74476,0,1
9.05612,0,1
8.59344,0,1
8.389,0,1
8.0662,0,1
8.83016,0,1
9.02384,0,1
8.0662,0,1
8.51812,0,1
8.90548,0,1
10.17516,0,1
8.34596,0,1
8.03392,0,1
9.0346,0,1
8.4966,0,1
10.568,0,1
9.15296,0,1
8.30292,0,1
9.69096,0,1
9.82008,0,1
8.37824,0,1
9.06688,0,1
8.59344,0,1
8.08772,0,1
8.75484,0,1
8.23836,0,1
8.67952,0,1
8.43204,0,1
8.75484,0,1
8.75484,0,1
9.00232,0,1
9.00232,0,1
8.69028,0,1
9.54032,0,1
8.66876,0.68985,1
8.43204,0,1
9.82008,0,1
9.40044,0,1
9.85236,0,1
8.43204,0,1
8.77636,0.11025,1
8.75484,0,1
8.56116,0.09135,1
9.5726,0,1
8.43204,0,1
9.1422,0,1
8.53964,0,1
8.48584,0,1
8.21684,0,1
7.77568,0,1
8.89472,0,1
8.52888,0,1
10.2452,0,1
8.39976,0,1
8.5504,0,1
9.5726,0,1
8.56116,0,1
7.82948,0,1
8.12,0,2
9.22828,0,2
8.41052,0.09135,2
9.42196,0,2
8.20608,0,2
11.63852,0,2
9.85236,0,2
8.18456,0,2
7.99088,0,2
13.29556,3.15,2
7.9048,0,2
8.31368,0,2
10.56252,0,2
8.03392,0,2
8.37824,0,2
14.96336,0,2
8.23836,0,2
7.89404,0,2
7.96936,0,2
7.9048,0,2
8.6042,0,2
8.89472,0,2
8.27064,0,2
8.4428,0,2
8.03392,0,2
8.10924,0,2
8.43204,0,2
7.93708,0,2
8.10924,0,2
16.19,0,2
8.20608,0,2
8.53964,0,2
8.78712,0.11025,2
8.04468,0,2
9.13144,0,2
7.99088,0,2
8.20608,0,2
8.78712,0.1386,2
8.32444,0,2
14.40384,0,2
7.86176,0,2
8.51812,0,2
7.88328,0,2
7.35604,0,2
10.99292,0,2
8.67952,0,2
11.14356,0,2
8.09848,0,2
7.82948,0,2
8.6042,0,2
13.24176,0,2
14.6836,0,2
8.07696,0,2
8.21684,0,2
8.2814,0,2
9.5726,0.2709,2
8.12,0,2
13.43544,0,2
8.42128,0,2
10.78848,0,2
8.04468,0,2
7.9586,0,2
8.15228,0,2
11.52016,0,2
7.07628,0,2
7.96936,0,2
8.09848,0,2
8.07696,0,2
9.64792,0,3
8.89472,0.1512,3
9.48652,0,3
8.3352,0,3
8.32444,0,3
8.78712,0,3
8.78712,0,3
8.99156,0,3
8.927,0,3
9.1422,0,3
8.37824,0,3
8.64724,0,3
8.6042,0,3
8.52888,0,3
8.80864,0,3
10.17516,0,5
11.617,0,5
11.31572,0,5
11.41256,0,5
10.08908,0,5
11.53092,0,5
12.49932,0,5
11.27268,0,5
6.95792,0,5
5.87116,2.1987,5
12.24108,0,5
9.70172,0.2394,5
9.76628,0,6
9.5726,0,6
11.21888,0,6
6.64588,0,6
9.26056,0,6
10.88532,0,6
9.9492,0,6
7.59276,0,6
8.52888,1.59075,7
8.61496,1.6695,7
8.7118,0.67095,7
5.43,1.1907,7
8.2814,1.71045,7
8.75484,0.63945,7
8.51812,1.5687,7
8.83016,0.5292,7
9.75552,0,7
9.07764,0.63945,7
8.4428,1.64115,7
8.927,0,7
8.94852,0.6615,7
6.47372,2.8791,7
8.47508,1.5687,7
8.66876,0.75915,7
9.4112,0.80955,7
8.66876,1.3797,7
8.39976,1.59075,7
9.06688,0.6111,7
8.3352,0.63,7
5.78508,1.62855,7
8.83016,0,7
9.04536,0.40005,7
8.61496,1.5498,7
8.389,0.5607,7
