@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R3-4,10'

@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.53812,1.21127,1
3.47077,1.12139,1
3.65935,1.26905,1
3.38995,1.33004,1
3.60098,1.35893,1
3.82099,0.46976,1
3.57853,0.8999,1
3.33158,1.49054,2
3.60996,1.25942,2
3.66833,1.24016,2
3.52016,2.1197,2
0,0.74903,2
3.79854,1.07966,2
3.47975,1.86932,2
3.88834,1.33004,2
3.52914,1.33967,3
3.53812,0.74903,3
0,3.04097,5
1.88131,1.56116,5
0,0.34136,6
0,2.02019,7
0,2.00093,7
0,1.82117,7
