@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.515888,3.43036,0,1
1.518986,3.34954,0,1
1.519191,3.57853,0,1
1.517756,3.47975,0.09135,1
1.52172,3.8614,0,1
1.517506,3.55159,0,1
1.518075,2.86911,0,1
1.516458,3.55159,0,2
1.517073,3.6818,0,2
1.517893,3.90181,0,2
1.516139,3.52016,0,2
1.522221,0,0,2
1.517073,3.47975,0,2
1.515911,3.52016,0,2
1.531242,0,3.15,2
1.517756,3.40791,0,3
1.516093,3.39893,0,3
1.515137,2.68053,2.1987,5
1.520581,1.61191,0.2394,5
1.519692,0,0,6
1.516526,0,0,7
1.516458,0,1.3797,7
1.516093,0,0.5292,7
