@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,10'

@attribute RI numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.520991,9.40044,0,1
1.517209,8.43204,0,1
1.518371,9.06688,0,1
1.515706,8.08772,0,1
1.51787,8.75484,0,1
1.516184,7.77568,0,1
1.517688,8.69028,0,1
1.521765,11.14356,0,2
1.515934,7.86176,0,2
1.518189,9.42196,0,2
1.51844,8.42128,0,2
1.515729,7.35604,0,2
1.53393,16.19,0,2
1.521765,8.51812,0,2
1.522107,9.1422,0,3
1.516549,8.64724,0,3
1.516663,10.17516,0,5
1.512995,7.59276,0,6
1.523155,8.83016,0,7
1.515137,8.389,0.5607,7
1.518371,5.78508,1.62855,7
