@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,6,10'

@attribute RI numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517665,0.57132,1
1.51566,0.5589,1
1.522267,0,1
1.51967,0.03105,1
1.517779,0.50922,1
1.52197,0.14904,1
1.519009,0.55269,1
1.518485,0.54027,2
1.518189,0,2
1.51664,0.63963,2
1.517096,0.65826,2
1.516891,0.73278,2
1.52664,0,2
1.518508,0.57132,2
1.518121,0.60237,2
1.521264,0,3
1.516435,0.57132,3
1.519692,0.37881,5
1.519146,0.60237,5
1.519169,0,6
1.516139,0,7
1.515091,0,7
1.522472,0.75762,7
