@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,10'

@attribute RI numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.520991,3.592,1
1.517209,3.5022,1
1.518371,2.84217,1
1.515706,3.46179,1
1.51787,3.43036,1
1.516184,3.55159,1
1.517688,3.56057,1
1.521765,1.01025,2
1.515934,3.44832,2
1.518189,2.76135,2
1.51844,3.75813,2
1.515729,3.66833,2
1.53393,0,2
1.521765,3.6818,2
1.522107,3.78058,3
1.516549,3.38995,3
1.516663,0,5
1.512995,1.74212,6
1.523155,3.34056,7
1.515137,0,7
1.518371,3.25974,7
