@relation glass

@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
13.80895,3.57853,1.32041,1
13.05085,3.65037,0.87101,1
12.79815,3.65935,1.26905,1
12.81145,3.56955,1.3493,1
13.19715,3.33158,1.27868,1
12.67845,3.66833,1.15991,1
12.81145,3.53812,1.23053,1
12.99765,3.60098,1.35893,1
14.20795,3.82099,0.46976,1
12.71835,3.46179,1.56116,1
13.3102,3.57853,0.81965,1
12.8713,3.47975,1.33004,1
14.16805,3.81201,0.78113,1
13.21045,3.47975,1.41029,1
13.4831,3.74017,0.8999,1
13.6028,3.61894,1.10855,1
12.7782,3.61894,1.29152,1
12.83805,3.5022,1.14065,1
13.6427,4.49,1.09892,1
13.21045,3.69078,1.29152,1
14.20795,3.82099,0.46976,1
13.2969,3.60098,1.14065,1
13.29025,3.44832,1.21127,1
14.3609,3.84793,0.89027,1
12.73165,3.43036,1.1888,1
12.7915,3.5022,1.12139,1
13.72915,3.83895,0.72014,1
13.48975,3.47975,1.3493,1
12.8713,3.47975,1.29152,1
13.7745,3.48873,1.27868,1
13.11735,3.57853,0.8999,1
13.1506,3.60996,1.05077,1
12.7117,3.42138,1.19843,1
13.88875,3.52914,1.32041,1
13.21045,3.38995,1.33004,1
12.61195,3.592,1.31078,1
13.21045,3.7716,0.79076,1
12.69175,3.53812,1.33967,1
13.9885,3.69976,0.71051,1
13.21045,2.81074,1.29152,1
13.68925,3.592,1.12139,1
14.7732,3.74915,0.29,1
13.3767,3.5022,1.15028,1
13.90205,3.73119,1.17917,1
13.2703,3.61894,1.24016,1
13.05085,3.65037,0.87101,1
13.4831,3.74017,1.16954,1
12.991,3.47077,1.12139,1
12.7383,3.47975,1.3493,1
12.65185,3.56057,1.30115,1
12.45235,2.71196,1.29152,1
13.52965,3.55159,1.53869,1
13.88875,3.60098,1.35893,1
13.39,3.65935,1.1888,1
13.0176,3.53812,1.68956,1
12.57205,3.47077,1.3814,1
13.7225,3.72221,0.51149,1
12.858,3.56057,1.26905,1
13.1373,2.84217,1.27868,1
12.7915,3.60996,1.61894,1
13.1905,3.37199,1.17917,1
12.9777,3.53812,1.21127,1
12.55875,3.52016,1.42955,1
12.3526,2.72094,1.62857,2
13.8023,3.15198,0.65915,2
13.7491,1.01025,1.35893,2
13.19715,3.62792,1.07003,2
12.7915,3.52016,1.53869,2
13.23705,3.34056,1.47128,2
13.70255,0,1.35893,2
12.85135,3.51118,1.43918,2
13.35675,3.57853,1.49054,2
13.98185,1.35149,1.62857,2
12.6186,2.76135,0.82928,2
12.99765,3.57853,1.53869,2
12.63855,0,0.66878,2
13.23705,3.48873,1.47128,2
13.33015,3.53812,1.60931,2
12.991,3.17892,1.23053,2
13.33015,3.84793,1.24979,2
12.89125,3.61894,1.57079,2
13.0176,3.56057,1.53869,2
13.5629,3.56955,1.47128,2
13.46315,3.82997,1.25942,2
12.93115,3.65935,1.56116,2
14.24785,3.08912,2.08118,2
13.0176,3.57853,1.5098,2
13.8289,2.90054,1.16954,2
13.09075,3.52016,1.55153,2
11.22875,0,0.7715,2
13.11735,3.40791,1.58042,2
12.7516,2.85115,1.43918,2
13.23705,3.90181,1.41029,2
12.7117,3.33158,1.49054,2
12.2994,0,0.99941,2
13.3368,3.56955,1.57079,2
11.4482,0,1.87895,2
12.8713,3.56057,1.64141,2
12.95775,2.95891,1.42955,2
12.19965,3.25076,1.15991,2
13.2304,3.53812,1.48091,2
12.8979,3.43934,1.44881,2
12.99765,3.79854,1.07966,2
13.35675,3.43036,1.42955,2
11.0226,0,0.74903,2
13.09075,3.592,1.51943,2
13.0176,3.61894,1.0604,2
13.4432,3.60996,1.53869,2
12.6718,2.87809,1.70882,2
13.25035,3.44832,1.42955,2
14.85965,3.66833,1.74092,2
13.19715,3.6818,1.15028,2
13.40995,3.88834,1.33004,2
13.0974,3.96916,1.1888,2
12.858,3.52016,2.1197,2
12.9378,3.60996,1.25942,2
13.7092,3.92875,1.53869,2
13.01095,3.5022,1.48091,2
13.5496,2.08785,1.6703,2
13.78235,2.28092,1.42955,2
13.2969,3.64139,1.52906,2
13.4033,3.48873,1.51943,2
12.85135,3.66833,1.24016,2
13.7225,0,0.55964,2
12.99765,3.47077,1.78907,2
13.4299,3.97814,1.17917,2
12.5521,3.47975,1.86932,2
13.25035,3.75813,1.32041,2
12.93115,3.74017,1.10855,2
13.6427,3.87038,1.26905,2
12.93115,3.53812,1.61894,2
12.858,3.57853,1.31078,3
14.188,3.78058,0.90953,3
13.6427,3.65037,0.64952,3
13.33015,3.34056,1.53869,3
14.321,3.90181,0.82928,3
14.0284,3.75813,0.5789,3
13.6427,3.53812,0.74903,3
13.03755,3.39893,1.25942,3
13.1373,3.44832,1.76018,3
13.50305,3.35852,1.62857,3
13.40995,3.38995,1.27868,3
13.23705,3.56955,1.3814,3
12.15975,3.52016,1.3493,3
13.64935,3.65935,1.10855,3
13.33015,3.52914,1.33967,3
13.2703,0,1.76018,5
13.0176,0,3.04097,5
12.858,0,1.8308,5
12.97105,0.32777,1.5098,5
11.02925,1.71069,1.56116,5
13.3767,0,1.40066,5
12.63855,0,1.65104,5
12.73165,1.84988,1.85969,5
12.99765,0,3.0185,5
11.56125,1.88131,1.56116,5
13.4432,0,1.58042,5
14.46065,2.24051,1.61894,6
14.99265,0.78126,1.74092,6
14.0018,2.38868,1.56116,6
14.08825,2.19112,1.66067,6
13.789,2.41113,1.1888,6
14.4008,1.74212,1.53869,6
14.1481,0,2.09081,6
17.38,0,0.34136,6
14.95275,0,2.27057,7
15.79065,1.83192,1.31078,7
15.15225,0,2.25131,7
14.3875,0,1.82117,7
14.5604,0,1.97846,7
14.38085,0,2.65898,7
14.95275,0,1.7987,7
14.38085,0,1.93994,7
14.2013,0,2.79059,7
14.14145,0,2.88047,7
14.70005,0,2.34119,7
14.75325,0,2.00093,7
14.9195,0,1.9913,7
14.36755,0,2.73923,7
14.3609,0,2.02019,7
13.8688,0,2.54021,7
14.85965,2.2001,2.05871,7
13.68925,3.20137,1.81154,7
14.7998,0,1.9913,7
14.321,3.25974,2.21921,7
13.8821,1.77804,1.78907,7
14.14145,0,2.68145,7
14.853,0,2.42144,7
14.853,0,2.37971,7
14.2279,0,2.08118,7
13.4432,3.34056,1.23053,7
