@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,10'

@attribute RI numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.65935,1
1.517847,3.66833,1
1.517938,3.5022,1
1.517437,3.60098,1
1.517528,3.47077,1
1.52172,3.74017,1
1.517369,3.61894,1
1.518713,3.65935,2
1.516458,3.60996,2
1.515888,3.40791,2
1.516526,3.56955,2
1.516617,3.51118,2
1.518417,3.74017,2
1.516731,3.64139,2
1.516594,3.17892,2
1.516458,3.39893,3
1.516708,3.56955,3
1.5132,0,5
1.518531,2.19112,6
1.516389,0,7
1.523656,1.83192,7
1.51623,0,7
