@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10'

@attribute RI numeric
@attribute Al numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,1.1888,8.27064,1
1.517847,1.15991,8.70104,1
1.517938,1.12139,8.7656,1
1.517437,1.14065,8.1738,1
1.517528,1.3814,8.5504,1
1.52172,0.8999,9.60488,1
1.517369,1.29152,8.70104,1
1.518713,1.56116,8.5504,2
1.516458,1.53869,8.03392,2
1.515888,1.58042,8.389,2
1.516526,1.47128,7.9586,2
1.516617,1.43918,8.2276,2
1.518417,1.10855,8.95928,2
1.516731,1.52906,8.03392,2
1.516594,1.23053,8.80864,2
1.516458,1.25942,8.58268,3
1.516708,1.3814,8.4428,3
1.5132,3.0185,6.92564,5
1.518531,1.66067,9.32512,6
1.516389,2.73923,9.45424,7
1.523656,1.31078,8.61496,7
1.51623,2.88047,9.18524,7
