@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,6,10'

@attribute RI numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.515888,0.68931,1
1.518986,0.58995,1
1.519191,0.5589,1
1.517756,0.60858,1
1.52172,0.22977,1
1.517506,0.54027,1
1.518075,0.55269,1
1.516458,0.6831,2
1.517073,0.63963,2
1.517893,0.55269,2
1.516139,0.3726,2
1.522221,0.09936,2
1.517073,0.621,2
1.515911,0.68931,2
1.531242,0.57753,2
1.517756,0.57753,3
1.516093,0.58995,3
1.515137,1.68291,5
1.520581,0.75762,5
1.519692,0,6
1.516526,2.70135,7
1.516458,0,7
1.516093,0.04968,7
