@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R2-4,10'

@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
12.87795,3.43036,1.40066,1
13.58285,3.34954,1.23053,1
14.417,3.57853,1.36856,1
12.85135,3.47975,1.23053,1
13.5097,3.8614,0.88064,1
12.8181,3.55159,1.49054,1
13.4299,2.86911,1.1888,1
13.40995,3.55159,1.24979,2
13.7225,3.6818,1.81154,2
13.1905,3.90181,1.30115,2
13.922,3.52016,1.24979,2
14.4274,0,0.99941,2
13.4831,3.47975,1.70882,2
12.8181,3.52016,1.90142,2
10.73,0,2.10044,2
13.52965,3.40791,1.51943,3
13.42325,3.39893,1.2209,3
14.00845,2.68053,3.5,5
12.85135,1.61191,2.17106,5
14.5604,0,0.55964,6
11.94695,0,1.1888,7
14.93945,0,1.86932,7
15.126,0,2.51132,7
