@relation glass

@attribute RI numeric
@attribute K numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51787,0.621,8.75484,1
1.51746,0.5589,8.5504,1
1.519009,0.55269,9.00232,1
1.51762,0.60237,8.56116,1
1.519761,0.11799,8.66876,1
1.521515,0.19251,9.85236,1
1.515888,0.68931,8.04468,1
1.52213,0.11178,9.5726,1
1.518986,0.58995,8.90548,1
1.517209,0.5589,8.43204,1
1.517938,0.63963,8.7656,1
1.517551,0.58995,8.63648,1
1.521515,0.22977,9.82008,1
1.517961,0.63963,8.67952,1
1.515957,0.63963,8.0662,1
1.519191,0.5589,8.30292,1
1.515706,0.67068,8.08772,1
1.52213,0.11178,9.5726,1
1.517506,0.54027,8.51812,1
1.517437,0.57753,8.1738,1
1.5191,0.0621,8.89472,1
1.521014,0.0621,8.75484,1
1.517847,0.60858,8.70104,1
1.517506,0.621,8.59344,1
1.51566,0.5589,8.57192,1
1.522107,0.16767,9.74476,1
1.520991,0.08694,9.40044,1
1.5191,0.50922,8.77636,1
1.517688,0.60858,8.69028,1
1.517415,0.55269,8.0662,1
1.517779,0.50922,9.02384,1
1.517938,0.58995,8.43204,1
1.519055,0.14283,8.75484,1
1.517551,0.57132,8.39976,1
1.517346,0.54027,8.4428,1
1.52197,0.14904,9.15296,1
1.52172,0.18009,9.60488,1
1.516184,0.39123,7.77568,1
1.51869,0.57132,8.83016,1
1.517551,0.57132,8.23836,1
1.517688,0.5589,9.05612,1
1.52172,0.22977,9.54032,1
1.512152,0.621,8.34596,1
1.517665,0.57132,8.21684,1
1.517209,0.50301,8.43204,1
1.51762,0.57753,8.389,1
1.526663,0.01863,9.82008,1
1.517779,0.58995,8.59344,1
1.51762,0.57753,8.4966,1
1.517369,0.58995,8.70104,1
1.517528,0.60237,8.5504,1
1.517756,0.60858,8.56116,1
1.517551,0.57132,8.27064,1
1.517688,0.57132,8.53964,1
1.517642,0.65205,8.52888,1
1.517551,0.58995,8.03392,1
1.518371,0.55269,9.06688,1
1.518075,0.55269,9.0346,1
1.51967,0.03105,9.00232,1
1.522996,0.11799,10.17516,1
1.523201,0.08694,10.568,1
1.518235,0.60237,8.43204,1
1.522267,0,9.69096,1
1.516458,0.67068,8.07696,2
1.531242,0.57753,13.29556,2
1.51844,0.57753,8.42128,2
1.518462,0.60237,8.43204,2
1.521765,0.32913,11.14356,2
1.527779,0.0621,14.40384,2
1.515911,0.68931,7.9586,2
1.516731,0.65205,7.99088,2
1.517437,0.621,8.89472,2
1.516458,0.65826,8.03392,2
1.516298,0.67068,8.23836,2
1.516139,0.3726,7.93708,2
1.516594,0.57753,8.80864,2
1.514089,1.09917,7.07628,2
1.520194,0.39123,10.56252,2
1.53393,0.11799,16.19,2
1.516868,0.5589,8.09848,2
1.527392,0,14.96336,2
1.521765,0.54027,8.51812,2
1.516526,0.63963,7.9586,2
1.517073,0.63963,7.88328,2
1.52475,0.8073,13.24176,2
1.516731,0.65205,8.03392,2
1.517096,0.65826,8.18456,2
1.518713,0.57753,8.5504,2
1.518599,0.50922,8.6042,2
1.518417,0.63963,9.13144,2
1.516617,0.6831,8.2276,2
1.52664,0,14.6836,2
1.515888,0.06831,8.389,2
1.517301,0.70173,9.22828,2
1.516253,0.44712,8.20608,2
