@relation glass

@attribute RI numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,1.19843,1
1.517528,1.3814,1
1.517209,1.33004,1
1.515957,1.61894,1
1.51869,1.17917,1
1.5191,1.17917,1
1.517506,1.3493,1
1.51746,1.14065,1
1.515706,1.56116,1
1.517346,1.68956,1
1.517209,1.15028,1
1.517756,1.23053,1
1.52213,0.46976,1
1.517369,1.29152,1
1.516184,1.53869,1
1.51762,1.35893,1
1.51762,1.31078,1
1.51967,0.29,1
1.518986,1.23053,1
1.522267,0.78113,1
1.519191,1.36856,1
1.526663,0.71051,1
1.521515,0.87101,1
1.515888,1.40066,1
1.522221,0.79076,1
1.519761,1.32041,1
1.517688,1.30115,1
1.518371,1.27868,1
1.519055,1.10855,1
1.52172,0.8999,1
1.521014,1.09892,1
1.517779,1.29152,1
1.518075,1.1888,1
1.519009,1.3493,1
1.517688,1.29152,1
1.51787,1.1888,1
1.51762,1.23053,1
1.517551,1.16954,1
1.51566,1.21127,1
1.52197,0.89027,1
1.517437,1.14065,1
1.517551,1.1888,1
1.517938,1.12139,1
1.5191,1.32041,1
1.517506,1.49054,1
1.522107,0.72014,1
1.52172,0.88064,1
1.517415,1.24016,1
1.517847,1.15991,1
1.517847,1.27868,1
1.518235,1.29152,1
1.517551,1.05077,1
1.517961,1.3493,1
1.517938,1.41029,1
1.51926,1.27868,1
1.523201,0.51149,1
1.517688,1.42955,1
1.517483,1.26905,1
1.517665,1.29152,1
1.522996,0.81965,1
1.517825,1.33967,1
1.521515,0.87101,1
1.520991,1.12139,1
1.53393,0.99941,2
1.516184,1.48091,2
1.527779,0.66878,2
1.515934,1.51943,2
1.517118,1.57079,2
1.518121,1.17917,2
1.517893,1.30115,2
1.515957,1.53869,2
1.516891,1.60931,2
1.518462,1.1888,2
1.52475,1.87895,2
1.517437,1.15991,2
1.520809,1.42955,2
1.521765,1.15028,2
1.517096,1.78907,2
1.52664,0.7715,2
1.518918,1.25942,2
1.516617,1.43918,2
1.51844,1.32041,2
1.516891,1.70882,2
1.514089,2.08118,2
1.516458,1.53869,2
1.516594,1.23053,2
1.516048,1.44881,2
1.516458,1.24979,2
1.515934,1.42955,2
1.515911,1.90142,2
1.51664,1.61894,2
1.516549,1.43918,2
1.518508,1.07003,2
1.516731,1.64141,2
1.527255,0.65915,2
1.515911,1.5098,2
1.516458,1.51943,2
1.516731,1.52906,2
1.521765,1.35893,2
1.515729,1.74092,2
1.526139,1.35893,2
1.515934,1.55153,2
1.516276,1.53869,2
1.517073,1.81154,2
1.518121,1.42955,2
1.518417,1.0604,2
1.518417,1.10855,2
1.515683,1.47128,2
1.516253,1.49054,2
1.518713,1.56116,2
1.516731,1.53869,2
1.518599,1.42955,2
1.516868,1.48091,2
1.522221,0.99941,2
1.518189,0.82928,2
1.517301,1.62857,2
1.520672,1.6703,2
1.517073,1.70882,2
1.518007,1.53869,2
1.518485,1.26905,2
1.516321,1.57079,2
1.524089,1.16954,2
1.520194,1.62857,2
1.518121,1.24979,2
1.516526,1.47128,2
1.515888,1.58042,2
1.516139,1.24979,2
1.531242,2.10044,2
1.51828,1.41029,2
1.518189,0.55964,2
1.515911,1.47128,2
1.516936,1.31078,3
1.517961,1.62857,3
1.521219,0.5789,3
1.51664,1.76018,3
1.517756,1.51943,3
1.521264,0.82928,3
1.516549,1.27868,3
1.516708,1.3814,3
1.517779,0.64952,3
1.518326,1.53869,3
1.517688,1.10855,3
1.516435,1.3493,3
1.516093,1.2209,3
1.516458,1.25942,3
1.522107,0.90953,3
1.515137,3.5,5
1.516663,1.8308,5
1.519146,1.85969,5
1.519692,1.65104,5
1.523679,1.58042,5
1.520421,1.40066,5
1.521515,1.56116,5
1.519943,1.76018,5
1.5132,3.0185,5
1.520581,2.17106,5
1.521196,1.5098,5
1.51828,1.61894,6
1.519055,1.56116,6
1.519692,0.55964,6
1.518531,1.66067,6
1.518872,1.74092,6
1.519374,1.1888,6
1.512995,1.53869,6
1.519169,2.09081,6
1.515319,2.65898,7
1.516503,1.93994,7
1.516526,1.1888,7
1.522472,2.05871,7
1.51623,2.79059,7
1.523155,1.23053,7
1.51623,2.88047,7
1.523656,1.31078,7
1.517323,1.7987,7
1.517278,2.34119,7
1.516458,1.86932,7
1.516162,2.27057,7
1.518371,2.21921,7
1.516093,2.51132,7
1.511309,1.81154,7
1.516139,1.78907,7
1.516572,1.9913,7
1.515455,2.68145,7
1.516025,2.37971,7
1.517118,2.08118,7
1.516845,1.9913,7
1.516822,1.97846,7
1.515137,2.42144,7
1.515091,2.25131,7
1.515569,2.54021,7
1.516389,2.73923,7
