@relation glass

@attribute Al numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
0.89027,71.3612,1
1.3493,73.0188,1
1.29152,72.61,1
1.23053,72.9684,1
0.46976,71.77,1
1.12139,73.03,1
1.32041,71.8092,1
0.87101,72.3188,1
0.72014,71.7588,1
1.1888,72.7892,1
1.26905,73.0076,1
1.56116,73.198,1
1.23053,73.2372,1
1.3814,73.3884,1
1.15991,73.1084,1
1.14065,73.0916,1
0.29,72.022,1
1.49054,72.75,1
1.53869,72.9908,1
1.33967,72.9516,1
1.12139,71.9604,1
1.26905,73.2092,1
1.23053,72.078,1
0.87101,72.218,1
1.1888,72.8396,1
1.15028,72.8508,1
1.05077,73.2372,1
1.36856,72.078,1
1.29152,72.9796,1
1.27868,72.8508,1
1.27868,72.358,1
0.46976,71.77,1
0.51149,71.7476,1
0.81965,71.9884,1
0.78113,71.35,1
0.88064,71.7924,1
1.61894,72.9684,1
1.32041,71.7196,1
1.31078,73.2876,1
1.16954,72.9908,1
1.12139,72.9796,1
0.8999,72.2012,1
1.35893,72.9908,1
1.1888,72.9516,1
0.8999,72.0108,1
1.42955,73.1476,1
1.35893,72.7276,1
1.14065,73.2708,1
1.40066,73.282,1
1.29152,72.7892,1
0.71051,71.5684,1
1.3493,71.9492,1
1.29152,73.702,1
1.27868,72.862,1
1.17917,72.1228,1
1.33004,72.7612,1
1.21127,73.002,1
1.19843,73.198,1
1.21127,72.7388,1
0.79076,71.9884,1
1.33004,73.0412,1
1.24016,73.0804,1
1.30115,73.0804,1
1.42955,71.9884,2
1.24979,72.8788,2
1.70882,73.2092,2
1.24979,72.778,2
1.78907,72.722,2
1.47128,72.4476,2
1.47128,73.2484,2
2.1197,72.6604,2
1.43918,73.2708,2
1.49054,72.722,2
1.26905,71.9604,2
2.10044,69.81,2
1.74092,71.8708,2
1.49054,73.282,2
1.47128,73.0972,2
1.0604,72.3412,2
1.81154,72.0612,2
1.90142,72.862,2
1.56116,72.5092,2
1.53869,73.1084,2
1.53869,73.3604,2
1.15028,72.75,2
1.25942,72.75,2
1.30115,72.33,2
1.07966,73.0692,2
1.33004,72.3804,2
1.58042,73.2596,2
1.61894,72.9572,2
1.1888,72.442,2
1.52906,72.5316,2
1.17917,72.4924,2
1.48091,72.8396,2
1.15991,73.5508,2
1.5098,73.1196,2
1.42955,73.17,2
1.60931,72.5428,2
1.62857,71.7588,2
1.43918,73.0076,2
1.53869,72.3916,2
1.10855,72.2796,2
1.35893,72.19,2
1.32041,72.4028,2
0.65915,70.5716,2
0.82928,73.8084,2
1.42955,72.2628,2
0.55964,74.4524,2
1.25942,72.5484,2
0.74903,73.0804,2
1.23053,72.9684,2
1.53869,72.8284,2
1.42955,72.918,2
0.7715,73.2092,2
1.64141,73.142,2
1.55153,72.8676,2
0.99941,72.6716,2
1.70882,72.5204,2
1.48091,72.89,2
1.6703,72.1788,2
0.66878,72.022,2
1.86932,73.2316,2
1.35893,71.238,2
1.24979,72.8116,2
1.51943,73.0972,2
1.87895,72.19,2
1.57079,72.8676,2
1.07003,72.8284,2
0.99941,70.1628,2
1.16954,71.1484,2
1.24016,72.5708,2
0.5789,71.7924,3
1.33967,72.6716,3
1.31078,72.61,3
1.3493,72.89,3
1.10855,72.7724,3
1.76018,72.4812,3
0.82928,71.5012,3
1.25942,73.0076,3
0.74903,72.6492,3
1.27868,72.638,3
1.51943,72.0388,3
0.64952,73.002,3
0.90953,71.3612,3
1.53869,72.1396,3
1.2209,72.6884,3
1.3814,72.6996,3
1.85969,72.6884,5
1.8308,73.8812,5
1.5098,73.3884,5
3.5,69.8884,5
3.0185,70.7004,5
1.40066,72.2516,5
1.56116,73.4388,5
3.04097,70.482,5
2.17106,72.1788,5
1.58042,72.218,5
1.65104,73.7524,5
1.56116,72.862,5
1.1888,72.7612,6
0.34136,75.41,6
1.66067,72.6716,6
1.74092,72.498,6
1.56116,72.3692,6
2.09081,72.7388,6
1.61894,72.3804,6
1.53869,74.5476,6
0.55964,73.478,6
1.86932,73.1084,7
1.9913,73.58,7
2.73923,72.8508,7
2.42144,73.7188,7
1.1888,75.1804,7
2.00093,73.0188,7
1.9913,73.1084,7
2.79059,73.4612,7
2.68145,73.3884,7
2.25131,73.5004,7
2.27057,73.2988,7
2.02019,73.422,7
2.54021,73.2316,7
2.37971,73.282,7
1.31078,70.4316,7
1.81154,72.8116,7
1.93994,73.6124,7
2.05871,70.258,7
1.78907,73.0972,7
2.08118,73.3604,7
2.51132,73.0524,7
1.23053,72.3804,7
2.88047,72.61,7
2.21921,71.2492,7
1.7987,72.9908,7
2.34119,73.282,7
1.82117,72.862,7
