@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,10'

@attribute RI numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522221,3.7716,1
1.51762,3.60098,1
1.517825,3.53812,1
1.521515,3.65037,1
1.517847,3.48873,1
1.51926,3.33158,1
1.517483,3.56057,1
1.518918,3.82997,2
1.516891,3.53812,2
1.515934,3.52016,2
1.524089,2.90054,2
1.518121,3.84793,2
1.515683,3.48873,2
1.516549,2.85115,2
1.516731,3.52016,2
1.521219,3.75813,3
1.518326,3.34056,3
1.521515,1.71069,5
1.51828,2.24051,6
1.515569,0,7
1.517118,0,7
1.517278,0,7
