@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517369,12.7782,8.70104,1
1.517825,12.69175,8.75484,1
1.51566,13.29025,8.57192,1
1.517506,12.8181,8.51812,1
1.5191,13.90205,8.89472,1
1.522107,13.72915,9.74476,1
1.517551,13.39,8.27064,1
1.518075,13.4299,9.0346,1
1.519009,13.48975,9.00232,1
1.520991,13.68925,9.40044,1
1.517961,12.7383,8.67952,1
1.517688,12.45235,9.05612,1
1.526663,13.9885,9.82008,1
1.522221,13.21045,10.2452,1
1.51762,12.79815,8.56116,1
1.517779,13.21045,8.59344,1
1.51762,13.88875,7.82948,1
1.52172,13.5097,9.54032,1
1.51926,13.19715,9.1422,1
1.52213,14.20795,9.5726,1
1.522267,14.16805,9.69096,1
1.512152,12.991,8.34596,1
1.51869,13.1905,8.83016,1
1.52213,14.20795,9.5726,1
1.521515,13.11735,9.82008,1
1.519191,14.417,8.30292,1
1.517847,12.67845,8.70104,1
1.517437,13.2969,8.1738,1
1.517779,13.21045,9.02384,1
1.516184,13.52965,7.77568,1
1.517483,12.858,8.37824,1
1.52197,14.3609,9.15296,1
1.521515,13.05085,9.85236,1
1.517938,13.21045,8.43204,1
1.518235,12.8713,8.43204,1
1.522996,13.3102,10.17516,1
1.517665,13.21045,8.21684,1
1.515957,12.7915,8.0662,1
1.51762,12.81145,8.389,1
1.517528,12.57205,8.5504,1
1.517551,12.99765,8.39976,1
1.51967,14.7732,9.00232,1
1.517506,12.81145,8.59344,1
1.521014,13.6427,8.75484,1
1.517938,12.7915,8.7656,1
1.517688,12.55875,8.53964,1
1.518986,13.58285,8.90548,1
1.51787,12.73165,8.75484,1
1.515706,12.71835,8.08772,1
1.515888,12.87795,8.04468,1
1.518371,13.1373,9.06688,1
1.517415,13.2703,8.0662,1
1.517756,12.85135,8.56116,1
1.5191,13.88875,8.77636,1
1.517847,13.7745,8.48584,1
1.517346,13.0176,8.4428,1
1.517551,13.4831,8.03392,1
1.52172,13.4831,9.60488,1
1.519055,13.6028,8.75484,1
1.519761,13.80895,8.66876,1
1.517209,13.3767,8.43204,1
1.517688,12.65185,8.69028,1
1.517642,12.9777,8.52888,1
1.517118,12.89125,8.10924,2
1.518417,13.0176,9.13144,2
1.516184,13.01095,8.12,2
1.515683,13.23705,8.03392,2
1.515934,13.25035,7.86176,2
1.521765,13.7491,11.14356,2
1.515957,13.0176,7.9048,2
1.522221,14.4274,11.52016,2
1.514089,14.24785,7.07628,2
1.518462,13.40995,8.2814,2
1.52664,11.22875,14.6836,2
1.51664,12.93115,8.03392,2
1.516458,13.40995,8.09848,2
1.531242,10.73,13.29556,2
1.520672,13.5496,9.5726,2
1.524089,13.8289,10.78848,2
1.527392,11.0226,14.96336,2
1.516139,13.922,7.93708,2
1.518508,13.19715,8.41052,2
1.526139,13.70255,13.43544,2
1.515911,13.23705,8.21684,2
1.516617,12.85135,8.2276,2
1.517301,12.3526,9.22828,2
1.517096,12.99765,8.18456,2
1.516891,12.6718,8.53964,2
1.515911,12.858,7.96936,2
1.516458,13.4432,8.03392,2
1.518599,13.35675,8.6042,2
1.516891,13.33015,8.10924,2
1.518918,13.46315,8.20608,2
1.515934,13.09075,7.82948,2
1.515729,14.85965,7.35604,2
1.518189,13.7225,10.99292,2
1.518189,12.6186,9.42196,2
1.515888,13.11735,8.389,2
1.521765,13.19715,8.51812,2
1.518007,13.7092,8.20608,2
1.516594,12.991,8.80864,2
1.516298,12.7117,8.23836,2
1.516048,12.8979,8.27064,2
1.516731,13.2969,8.03392,2
1.517073,13.7225,7.88328,2
1.516549,12.7516,8.78712,2
1.518713,12.93115,8.5504,2
1.515911,12.8181,7.96936,2
1.516868,13.2304,8.09848,2
1.518121,13.33015,8.12,2
1.517073,13.4831,7.99088,2
1.518052,12.99765,8.37824,2
1.520809,13.78235,9.85236,2
1.516526,13.5629,7.9586,2
1.516731,12.7915,7.9048,2
1.517893,13.1905,8.4428,2
1.516389,12.5521,8.07696,2
1.515911,13.0176,7.9586,2
1.518485,13.6427,8.32444,2
1.516663,12.9378,8.6042,2
1.518417,12.93115,8.95928,2
1.518121,12.95775,8.78712,2
1.51844,13.25035,8.42128,2
1.518394,12.85135,8.67952,2
1.51828,13.23705,8.31368,2
1.53393,12.2994,16.19,2
1.515934,13.09075,8.04468,2
1.516458,13.4033,8.07696,2
1.527255,13.8023,11.63852,2
1.516321,13.3368,7.89404,2
1.520194,13.98185,10.56252,2
1.52475,11.4482,13.24176,2
1.516549,13.40995,8.64724,3
1.516435,12.15975,8.52888,3
1.516708,13.23705,8.4428,3
1.519351,13.6427,8.89472,3
1.517756,13.52965,8.78712,3
1.517961,13.50305,8.80864,3
1.521219,14.0284,9.64792,3
1.522107,14.188,9.1422,3
1.516093,13.42325,8.32444,3
1.516458,13.03755,8.58268,3
1.516093,13.33015,8.3352,3
1.521264,14.321,9.48652,3
1.51664,13.1373,8.37824,3
1.517779,13.6427,8.927,3
1.517688,13.64935,8.6042,3
1.518326,13.33015,8.99156,3
1.515137,14.00845,5.87116,5
1.520421,13.3767,12.49932,5
1.516663,12.858,10.17516,5
1.513155,13.0176,6.95792,5
1.519146,12.73165,10.08908,5
1.520581,12.85135,9.70172,5
1.519943,13.2703,11.31572,5
1.521196,12.97105,11.27268,5
1.519692,12.63855,11.53092,5
1.521515,11.02925,11.617,5
1.52172,11.56125,11.41256,5
1.5132,12.99765,6.92564,5
1.512995,14.4008,7.59276,6
1.51828,14.46065,9.26056,6
1.519055,14.0018,9.5726,6
1.518531,14.08825,9.32512,6
1.51115,17.38,6.64588,6
1.519169,14.1481,10.88532,6
1.519374,13.789,9.76628,6
1.519692,14.5604,11.21888,6
1.516526,11.94695,8.927,7
1.515569,13.8688,9.4112,7
1.517278,14.70005,8.94852,7
1.516162,14.95275,8.7118,7
1.518371,14.321,5.78508,7
1.517323,14.95275,8.61496,7
1.518303,14.3875,6.47372,7
1.515091,15.15225,8.3352,7
1.517118,14.2279,8.61496,7
1.515137,14.853,8.389,7
1.516389,14.36755,9.45424,7
1.516025,14.853,8.75484,7
1.516139,13.8821,8.66876,7
1.515319,14.38085,9.07764,7
1.523656,15.79065,8.61496,7
1.516822,14.5604,8.51812,7
1.516458,14.93945,8.66876,7
1.523155,13.4432,8.83016,7
1.516093,15.126,8.83016,7
1.520649,14.3609,8.4428,7
1.522472,14.85965,9.75552,7
1.511309,13.68925,5.43,7
1.51623,14.14145,9.18524,7
1.517187,14.75325,8.52888,7
1.516503,14.38085,8.47508,7
1.51623,14.2013,9.04536,7
