@relation glass

@attribute Mg numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.72221,10.568,0,1
3.53812,8.75484,0,1
3.33158,9.1422,0,1
3.47975,9.00232,0,1
3.7716,10.2452,0,1
3.74017,9.60488,0,1
3.5022,8.5504,0,1
3.56057,8.37824,0,1
2.86911,9.0346,0,1
3.74017,8.03392,0,1
3.69976,9.82008,0,1
3.47975,8.56116,0.09135,1
3.47975,8.43204,0,1
3.55159,8.51812,0,1
3.57853,8.66876,0.68985,1
3.69078,8.21684,0,1
3.42138,8.63648,0,1
2.84217,9.06688,0,1
3.56057,8.69028,0,1
3.61894,8.0662,0,1
3.53812,8.4428,0,1
3.66833,8.70104,0,1
3.43036,8.04468,0,1
3.47077,8.34596,0,1
4.49,8.75484,0,1
3.38995,8.59344,0,1
3.57853,9.82008,0,1
3.60996,8.23836,0,1
3.61894,8.75484,0,1
3.56955,8.59344,0,1
3.47975,8.67952,0,1
3.34954,8.90548,0,1
3.82099,9.5726,0,1
3.5022,8.43204,0,1
3.44832,8.57192,0,1
3.8614,9.54032,0,1
3.65935,8.27064,0,1
3.65037,9.85236,0,1
3.37199,8.83016,0,1
3.5022,8.7656,0,1
3.82099,9.5726,0,1
3.57853,8.30292,0,1
2.81074,9.02384,0,1
3.60098,7.82948,0,1
3.47077,8.5504,0,1
3.74915,9.00232,0,1
3.592,8.4966,0,1
3.84793,9.15296,0,1
3.81201,9.69096,0,1
3.43036,8.75484,0,1
3.592,9.40044,0,1
3.65037,9.85236,0,1
3.46179,8.08772,0,1
3.60098,8.39976,0,1
3.60098,8.1738,0,1
3.55159,7.77568,0,1
3.53812,8.52888,0,1
3.47975,8.43204,0,1
3.53812,8.389,0,1
3.48873,8.48584,0,1
3.47975,8.43204,0,1
3.65935,8.56116,0,1
3.61894,8.70104,0,1
3.56057,7.99088,0,2
3.62792,8.41052,0.09135,2
3.56955,7.9586,0,2
3.34056,8.21684,0,2
0,10.99292,0,2
3.47975,8.07696,0,2
3.61894,9.13144,0,2
0,11.52016,0,2
3.52016,7.96936,0,2
0,14.96336,0,2
3.57853,7.9586,0,2
3.53812,8.09848,0,2
0,14.40384,0,2
3.97814,8.15228,0,2
2.87809,8.53964,0,2
0,13.43544,0,2
3.90181,8.4428,0,2
3.57853,8.20608,0,2
3.40791,8.389,0,2
2.76135,9.42196,0,2
2.08785,9.5726,0.2709,2
3.25076,8.89472,0,2
3.82997,8.20608,0,2
3.60996,8.03392,0,2
3.592,7.82948,0,2
3.66833,8.67952,0,2
3.87038,8.32444,0,2
3.57853,8.04468,0,2
2.95891,8.78712,0.1386,2
3.92875,8.20608,0,2
3.53812,8.03392,0,2
3.47077,8.18456,0,2
3.08912,7.07628,0,2
3.96916,8.43204,0,2
3.55159,8.09848,0,2
3.6818,7.88328,0,2
3.84793,8.12,0,2
0,14.6836,0,2
3.15198,11.63852,0,2
3.61894,8.10924,0,2
3.64139,8.03392,0,2
3.90181,8.31368,0,2
3.47975,7.99088,0,2
3.65935,8.5504,0,2
3.6818,8.51812,0,2
3.43934,8.27064,0,2
0,16.19,0,2
3.44832,7.86176,0,2
3.79854,8.37824,0,2
3.52016,7.93708,0,2
3.52016,7.9048,0,2
3.53812,8.10924,0,2
2.90054,10.78848,0,2
3.75813,8.42128,0,2
3.48873,8.03392,0,2
3.52016,7.96936,0,2
3.17892,8.80864,0,2
2.72094,9.22828,0,2
3.48873,8.07696,0,2
2.85115,8.78712,0.11025,2
1.01025,11.14356,0,2
3.52016,8.04468,0,2
3.88834,8.2814,0,2
3.60996,8.6042,0,2
3.51118,8.2276,0.5985,2
3.33158,8.23836,0,2
0,13.29556,3.15,2
3.74017,8.95928,0,2
3.66833,7.35604,0,2
3.78058,9.1422,0,3
3.56955,8.4428,0,3
3.35852,8.80864,0,3
3.34056,8.99156,0,3
3.75813,9.64792,0,3
3.52016,8.52888,0,3
3.90181,9.48652,0,3
3.57853,8.78712,0,3
3.65935,8.6042,0,3
3.44832,8.37824,0,3
3.39893,8.32444,0,3
3.38995,8.64724,0,3
3.40791,8.78712,0,3
3.53812,8.89472,0.1512,3
3.39893,8.58268,0,3
3.52914,8.3352,0,3
0,11.31572,0,5
1.71069,11.617,0,5
0,12.24108,0,5
0.32777,11.27268,0,5
0,6.95792,0,5
0,6.92564,0,5
2.68053,5.87116,2.1987,5
1.88131,11.41256,0,5
1.84988,10.08908,0,5
1.61191,9.70172,0.2394,5
0,11.53092,0,5
0,10.17516,0,5
1.74212,7.59276,0,6
2.41113,9.76628,0,6
2.24051,9.26056,0,6
2.19112,9.32512,0,6
0.78126,9.9492,0,6
0,11.21888,0,6
0,10.88532,0,6
0,6.64588,0,6
2.2001,9.75552,0,7
0,8.51812,1.5687,7
0,8.83016,0.5292,7
0,8.4428,1.64115,7
0,9.4112,0.80955,7
0,8.3352,0.63,7
0,8.7118,0.67095,7
0,8.61496,1.6695,7
0,8.2814,1.71045,7
0,9.07764,0.63945,7
1.83192,8.61496,1.67895,7
0,8.927,0,7
0,9.06688,0.6111,7
0,8.66876,1.3797,7
0,6.47372,2.8791,7
3.20137,5.43,1.1907,7
0,9.18524,1.06155,7
0,8.52888,1.59075,7
3.25974,5.78508,1.62855,7
0,8.94852,0.6615,7
0,8.75484,0.63945,7
3.34056,8.83016,0,7
1.77804,8.66876,0.75915,7
0,8.389,0.5607,7
0,8.39976,1.59075,7
0,9.45424,0.53865,7
