@relation glass

@attribute RI numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517528,8.5504,0,1
1.52213,9.5726,0,1
1.51762,8.389,0,1
1.521515,9.82008,0,1
1.517847,8.48584,0,1
1.526663,9.82008,0,1
1.517551,8.27064,0,1
1.517779,8.59344,0,1
1.51566,8.57192,0,1
1.515957,8.0662,0,1
1.51869,8.83016,0,1
1.521515,9.85236,0,1
1.517209,8.43204,0,1
1.517688,8.53964,0,1
1.51967,9.00232,0,1
1.51762,8.4966,0,1
1.517506,8.59344,0,1
1.5191,8.89472,0,1
1.51762,8.56116,0,1
1.519055,8.75484,0,1
1.517437,8.1738,0,1
1.519009,9.00232,0,1
1.517847,8.70104,0,1
1.517825,8.75484,0,1
1.517483,8.37824,0,1
1.519761,8.66876,0.68985,1
1.521014,8.75484,0,1
1.523201,10.568,0,1
1.517665,8.21684,0,1
1.517938,8.43204,0,1
1.518235,8.43204,0,1
1.517369,8.70104,0,1
1.518986,8.90548,0,1
1.517642,8.52888,0,1
1.517551,8.63648,0,1
1.51926,9.1422,0,1
1.517961,8.67952,0,1
1.522107,9.74476,0,1
1.517756,8.56116,0.09135,1
1.515888,8.04468,0,1
1.5191,8.77636,0.11025,1
1.518075,9.0346,0,1
1.517779,9.02384,0,1
1.52172,9.54032,0,1
1.522267,9.69096,0,1
1.52213,9.5726,0,1
1.52197,9.15296,0,1
1.512152,8.34596,0,1
1.517506,8.51812,0,1
1.51762,7.82948,0,1
1.522996,10.17516,0,1
1.517551,8.23836,0,1
1.521515,9.85236,0,1
1.517346,8.4428,0,1
1.517551,8.39976,0,1
1.517415,8.0662,0,1
1.51746,8.5504,0,1
1.519191,8.30292,0,1
1.522221,10.2452,0,1
1.517688,9.05612,0,1
1.517551,8.03392,0,1
1.517938,8.7656,0,1
1.52172,9.60488,0,1
1.520194,10.56252,0,2
1.516731,7.99088,0,2
1.517301,9.22828,0,2
1.51828,8.31368,0,2
1.518485,8.32444,0,2
1.517118,8.10924,0,2
1.516731,8.03392,0,2
1.516458,8.09848,0,2
1.527255,11.63852,0,2
1.531242,13.29556,3.15,2
1.524089,10.78848,0,2
1.516139,7.93708,0,2
1.527392,14.96336,0,2
1.518508,8.41052,0.09135,2
1.52664,14.6836,0,2
1.517073,7.88328,0,2
1.518052,8.37824,0,2
1.518007,8.20608,0,2
1.515911,7.96936,0,2
1.518121,8.78712,0.1386,2
1.516389,8.07696,0,2
1.514089,7.07628,0,2
1.516298,8.23836,0,2
1.516048,8.27064,0,2
1.522221,11.52016,0,2
1.51664,8.03392,0,2
1.516321,7.89404,0,2
1.520672,9.5726,0.2709,2
1.516184,8.12,0,2
1.517437,8.89472,0,2
1.518121,8.15228,0,2
1.516617,8.2276,0.5985,2
1.516526,7.9586,0,2
1.515911,7.96936,0,2
1.518462,8.2814,0,2
1.517096,8.18456,0,2
1.516868,8.09848,0,2
1.516549,8.78712,0.11025,2
1.520809,9.85236,0,2
1.518417,8.95928,0,2
1.518462,8.43204,0,2
1.517073,7.99088,0,2
1.515911,7.9586,0,2
1.52475,13.24176,0,2
1.516276,8.04468,0,2
1.518394,8.67952,0,2
1.516731,7.9048,0,2
1.527779,14.40384,0,2
1.516253,8.20608,0,2
1.516594,8.80864,0,2
1.518918,8.20608,0,2
1.515911,8.21684,0,2
1.526139,13.43544,0,2
1.516891,8.10924,0,2
1.518189,10.99292,0,2
1.516663,8.6042,0,2
1.517893,8.4428,0,2
1.515683,8.03392,0,2
1.515888,8.389,0,2
1.518417,9.13144,0,2
1.518599,8.6042,0,2
1.516891,8.53964,0,2
1.518713,8.5504,0,2
1.516458,8.07696,0,2
1.515957,7.9048,0,2
1.516458,8.03392,0,2
1.515934,8.04468,0,2
1.515934,7.82948,0,2
1.518121,8.12,0,2
1.516093,8.3352,0,3
1.521219,9.64792,0,3
1.521264,9.48652,0,3
1.518326,8.99156,0,3
1.516093,8.32444,0,3
1.519351,8.89472,0.1512,3
1.516458,8.58268,0,3
1.517961,8.80864,0,3
1.517756,8.78712,0,3
1.517779,8.927,0,3
1.516936,8.78712,0,3
1.516435,8.52888,0,3
1.516708,8.4428,0,3
1.51664,8.37824,0,3
1.517688,8.6042,0,3
1.521196,11.27268,0,5
1.519692,11.53092,0,5
1.520581,9.70172,0.2394,5
1.520421,12.49932,0,5
1.513155,6.95792,0,5
1.519146,10.08908,0,5
1.523679,12.24108,0,5
1.5132,6.92564,0,5
1.515137,5.87116,2.1987,5
1.52172,11.41256,0,5
1.521515,11.617,0,5
1.519943,11.31572,0,5
1.518531,9.32512,0,6
1.519169,10.88532,0,6
1.51115,6.64588,0,6
1.518872,9.9492,0,6
1.51828,9.26056,0,6
1.519055,9.5726,0,6
1.519692,11.21888,0,6
1.519374,9.76628,0,6
1.518303,6.47372,2.8791,7
1.520649,8.4428,1.64115,7
1.516093,8.83016,0.5292,7
1.515569,9.4112,0.80955,7
1.516572,8.2814,1.71045,7
1.51623,9.18524,1.06155,7
1.516458,8.66876,1.3797,7
1.522472,9.75552,0,7
1.517118,8.61496,1.6695,7
1.523656,8.61496,1.67895,7
1.516025,8.75484,0.63945,7
1.517278,8.94852,0.6615,7
1.511309,5.43,1.1907,7
1.516845,8.39976,1.59075,7
1.516503,8.47508,1.5687,7
1.517187,8.52888,1.59075,7
1.51623,9.04536,0.40005,7
1.516139,8.66876,0.75915,7
1.515319,9.07764,0.63945,7
1.515455,9.06688,0.6111,7
1.516822,8.51812,1.5687,7
1.516526,8.927,0,7
1.515091,8.3352,0.63,7
1.517323,8.61496,1.5498,7
1.516389,9.45424,0.53865,7
1.516162,8.7118,0.67095,7
