@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,10'

@attribute RI numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.60996,1
1.51746,3.5022,1
1.521515,3.65037,1
1.517209,3.47975,1
1.523201,3.72221,1
1.51762,3.592,1
1.517551,3.42138,1
1.516276,3.57853,2
1.517437,3.25076,2
1.518462,3.96916,2
1.518121,3.97814,2
1.516253,3.57853,2
1.527779,0,2
1.516731,3.56057,2
1.516936,3.57853,3
1.523679,0,5
1.518872,0.78126,6
1.515455,0,7
1.516845,0,7
1.516572,0,7
