@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R3,7-8,10'

@attribute Mg numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.73119,8.89472,0,1
3.83895,9.74476,0,1
3.60996,8.0662,0,1
3.52914,8.77636,0.11025,1
3.57853,10.17516,0,1
3.52016,8.53964,0,1
2.71196,9.05612,0,1
3.5022,8.12,0,2
0,13.24176,0,2
2.28092,9.85236,0,2
3.56955,7.89404,0,2
3.43036,8.6042,0,2
1.35149,10.56252,0,2
3.56057,7.9048,0,2
3.65037,8.927,0,3
0,12.49932,0,5
2.38868,9.5726,0,6
0,8.47508,1.5687,7
0,9.04536,0.40005,7
0,8.61496,1.5498,7
