@relation glass

@attribute RI numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51762,0.60237,1
1.517938,0.63963,1
1.517483,0.54027,1
1.51926,0.60237,1
1.521515,0.19251,1
1.51746,0.5589,1
1.515888,0.68931,1
1.517825,0.57132,1
1.521014,0.0621,1
1.517551,0.57132,1
1.51762,0.47817,1
1.517209,0.5589,1
1.517209,0.50301,1
1.517688,0.5589,1
1.519055,0.14283,1
1.518075,0.55269,1
1.518371,0.55269,1
1.523201,0.08694,1
1.52172,0.22977,1
1.517346,0.54027,1
1.526663,0.01863,1
1.517506,0.621,1
1.512152,0.621,1
1.522107,0.16767,1
1.519761,0.11799,1
1.51762,0.57753,1
1.515957,0.63963,1
1.521515,0.19251,1
1.517528,0.60237,1
1.52213,0.11178,1
1.5191,0.50922,1
1.517688,0.60858,1
1.517551,0.58995,1
1.518986,0.58995,1
1.517779,0.58995,1
1.517437,0.57753,1
1.515706,0.67068,1
1.517369,0.58995,1
1.51787,0.621,1
1.517551,0.57132,1
1.517961,0.63963,1
1.51869,0.57132,1
1.517756,0.60858,1
1.52172,0.18009,1
1.519191,0.5589,1
1.518235,0.60237,1
1.517551,0.58995,1
1.52213,0.11178,1
1.517415,0.55269,1
1.517642,0.65205,1
1.517938,0.58995,1
1.521515,0.22977,1
1.522996,0.11799,1
1.517506,0.54027,1
1.520991,0.08694,1
1.516184,0.39123,1
1.517688,0.57132,1
1.51762,0.57753,1
1.5191,0.0621,1
1.517847,0.60858,1
1.517551,0.57132,1
1.522221,0.13041,1
1.517847,0.60237,1
1.516276,0.60858,2
1.515911,0.68931,2
1.51844,0.57753,2
1.515911,0.68931,2
1.516139,0.3726,2
1.53393,0.11799,2
1.531242,0.57753,2
1.517073,0.621,2
1.520809,0.49059,2
1.516048,0.44091,2
1.516617,0.6831,2
1.524089,0.08073,2
1.515888,0.06831,2
1.516458,0.67068,2
1.520672,0.52785,2
1.518462,0.60237,2
1.527255,0.08073,2
1.521765,0.32913,2
1.516253,0.44712,2
1.516731,0.65205,2
1.515911,0.68931,2
1.51828,0.55269,2
1.518189,0.34776,2
1.518918,0.57132,2
1.516594,0.57753,2
1.527779,0.0621,2
1.517301,0.70173,2
1.518121,0.52164,2
1.518417,0.63963,2
1.515729,0.16146,2
1.514089,1.09917,2
1.517118,0.60858,2
1.520194,0.39123,2
1.516526,0.63963,2
1.522221,0.09936,2
1.518462,0.50922,2
1.516321,0.60858,2
1.517893,0.55269,2
1.516458,0.6831,2
1.518417,0.63963,2
1.515911,0.39123,2
1.526139,0.19251,2
1.517437,0.621,2
1.516458,0.65826,2
1.52475,0.8073,2
1.516549,0.57132,2
1.518007,0.54027,2
1.527392,0,2
1.515934,0.6831,2
1.518052,0.5589,2
1.518599,0.50922,2
1.516891,0.6831,2
1.517073,0.63963,2
1.516184,0.60237,2
1.516731,0.65205,2
1.516731,0.65826,2
1.515934,0.60858,2
1.518121,0.57753,2
1.516868,0.5589,2
1.516298,0.67068,2
1.518394,0.621,2
1.521765,0.54027,2
1.516389,0.62721,2
1.515683,0.37881,2
1.515934,0.67068,2
1.518713,0.57753,2
1.515957,0.72036,2
1.516663,0.5589,2
1.522107,0.22977,3
1.518326,0.5589,3
1.516458,0.52164,3
1.517961,0.57132,3
1.516093,0.5589,3
1.516708,0.5589,3
1.519351,0.16146,3
1.517756,0.57753,3
1.516936,0.60858,3
1.516093,0.58995,3
1.521219,0.11178,3
1.516549,0.52164,3
1.517779,0.0621,3
1.517688,0.11178,3
1.51664,0.60237,3
1.515137,1.68291,5
1.5132,6.21,5
1.519943,0.47196,5
1.521196,0.13041,5
1.516663,0.96876,5
1.52172,0.47196,5
1.513155,6.21,5
1.521515,0.57753,5
1.520421,0.32913,5
1.520581,0.75762,5
1.523679,0.32292,5
1.519692,0,6
1.518872,0,6
1.519055,0,6
1.519374,0,6
1.51115,0,6
1.51828,0,6
1.512995,0,6
1.518531,0,6
1.516162,0,7
1.515455,0.08073,7
1.518303,1.40967,7
1.516845,0,7
1.523155,0.60237,7
1.515319,0.03726,7
1.516458,0,7
1.516572,0,7
1.51623,0.03726,7
1.516025,0,7
1.517323,0,7
1.518371,1.45935,7
1.516093,0.04968,7
1.517118,0,7
1.511309,1.75743,7
1.516503,0,7
1.517187,0,7
1.523656,0.3105,7
1.516822,0,7
1.51623,0.08073,7
1.520649,0,7
1.516526,2.70135,7
1.516389,0,7
1.517278,0,7
1.515569,0.14283,7
1.515137,0,7
