@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52213,3.82099,0.46976,1
1.519761,3.57853,1.32041,1
1.517506,3.56955,1.3493,1
1.517551,3.74017,1.16954,1
1.51762,3.53812,1.23053,1
1.526663,3.69976,0.71051,1
1.517415,3.61894,1.24016,1
1.527255,3.15198,0.65915,2
1.526139,0,1.35893,2
1.515934,3.592,1.51943,2
1.518417,3.61894,1.0604,2
1.516868,3.53812,1.48091,2
1.515911,3.57853,1.5098,2
1.515911,3.34056,1.47128,2
1.520672,2.08785,1.6703,2
1.51664,3.44832,1.76018,3
1.517688,3.65935,1.10855,3
1.521196,0.32777,1.5098,5
1.519374,2.41113,1.1888,6
1.511309,3.20137,1.81154,7
1.516162,0,2.27057,7
1.516025,0,2.37971,7
