@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,7,10'

@attribute RI numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517642,8.52888,1
1.512152,8.34596,1
1.51762,8.56116,1
1.517779,8.59344,1
1.517551,8.39976,1
1.52213,9.5726,1
1.521515,9.82008,1
1.516298,8.23836,2
1.516663,8.6042,2
1.518394,8.67952,2
1.515911,7.96936,2
1.527392,14.96336,2
1.518052,8.37824,2
1.516389,8.07696,2
1.518462,8.2814,2
1.516093,8.3352,3
1.519351,8.89472,3
1.513155,6.95792,5
1.52172,11.41256,5
1.51115,6.64588,6
1.520649,8.4428,7
1.517187,8.52888,7
1.518303,6.47372,7
