@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10'

@attribute RI numeric
@attribute Na numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,13.1506,8.23836,1
1.51746,12.83805,8.5504,1
1.521515,13.05085,9.85236,1
1.517209,12.8713,8.43204,1
1.523201,13.7225,10.568,1
1.51762,12.61195,8.4966,1
1.517551,12.7117,8.63648,1
1.516276,12.99765,8.04468,2
1.517437,12.19965,8.89472,2
1.518462,13.0974,8.43204,2
1.518121,13.4299,8.15228,2
1.516253,13.35675,8.20608,2
1.527779,12.63855,14.40384,2
1.516731,12.8713,7.99088,2
1.516936,12.858,8.78712,3
1.523679,13.4432,12.24108,5
1.518872,14.99265,9.9492,6
1.515455,14.14145,9.06688,7
1.516845,14.9195,8.39976,7
1.516572,14.7998,8.2814,7
