@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,6-7,10'

@attribute RI numeric
@attribute K numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522221,0.13041,10.2452,1
1.51762,0.47817,7.82948,1
1.517825,0.57132,8.75484,1
1.521515,0.19251,9.85236,1
1.517847,0.60237,8.48584,1
1.51926,0.60237,9.1422,1
1.517483,0.54027,8.37824,1
1.518918,0.57132,8.20608,2
1.516891,0.6831,8.10924,2
1.515934,0.6831,8.04468,2
1.524089,0.08073,10.78848,2
1.518121,0.52164,8.12,2
1.515683,0.37881,8.03392,2
1.516549,0.57132,8.78712,2
1.516731,0.65826,7.9048,2
1.521219,0.11178,9.64792,3
1.518326,0.5589,8.99156,3
1.521515,0.57753,11.617,5
1.51828,0,9.26056,6
1.515569,0.14283,9.4112,7
1.517118,0,8.61496,7
1.517278,0,8.94852,7
