@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,7,10'

@attribute RI numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522221,10.2452,1
1.51762,7.82948,1
1.517825,8.75484,1
1.521515,9.85236,1
1.517847,8.48584,1
1.51926,9.1422,1
1.517483,8.37824,1
1.518918,8.20608,2
1.516891,8.10924,2
1.515934,8.04468,2
1.524089,10.78848,2
1.518121,8.12,2
1.515683,8.03392,2
1.516549,8.78712,2
1.516731,7.9048,2
1.521219,9.64792,3
1.518326,8.99156,3
1.521515,11.617,5
1.51828,9.26056,6
1.515569,9.4112,7
1.517118,8.61496,7
1.517278,8.94852,7
