@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522221,3.7716,0,1
1.51762,3.65935,0,1
1.52213,3.82099,0,1
1.51926,3.33158,0,1
1.517369,3.61894,0,1
1.51869,3.37199,0,1
1.512152,3.47077,0,1
1.517551,3.42138,0,1
1.522107,3.83895,0,1
1.51762,3.60098,0,1
1.517642,3.53812,0,1
1.517825,3.53812,0,1
1.5191,3.52914,0.11025,1
1.519009,3.47975,0,1
1.517551,3.74017,0,1
1.517961,3.47975,0,1
1.517779,3.38995,0,1
1.515957,3.60996,0,1
1.521515,3.65037,0,1
1.521515,3.57853,0,1
1.517506,3.56955,0,1
1.517847,3.66833,0,1
1.519055,3.61894,0,1
1.51762,3.53812,0,1
1.515706,3.46179,0,1
1.521014,4.49,0,1
1.518235,3.47975,0,1
1.517551,3.65935,0,1
1.51787,3.43036,0,1
1.516184,3.55159,0,1
1.522267,3.81201,0,1
1.519761,3.57853,0.68985,1
1.517209,3.5022,0,1
1.517209,3.47975,0,1
1.517779,2.81074,0,1
1.5191,3.73119,0,1
1.526663,3.69976,0,1
1.517415,3.61894,0,1
1.52197,3.84793,0,1
1.521515,3.65037,0,1
1.517437,3.60098,0,1
1.517688,3.52016,0,1
1.51967,3.74915,0,1
1.523201,3.72221,0,1
1.517847,3.48873,0,1
1.52172,3.74017,0,1
1.517346,3.53812,0,1
1.518371,2.84217,0,1
1.51762,3.592,0,1
1.51566,3.44832,0,1
1.517665,3.69078,0,1
1.517483,3.56057,0,1
1.517688,2.71196,0,1
1.517938,3.47975,0,1
1.51746,3.5022,0,1
1.517688,3.56057,0,1
1.520991,3.592,0,1
1.517938,3.5022,0,1
1.517528,3.47077,0,1
1.517551,3.60996,0,1
1.522996,3.57853,0,1
1.52213,3.82099,0,1
1.517551,3.60098,0,1
1.521765,1.01025,0,2
1.515911,3.52016,0,2
1.527255,3.15198,0,2
1.518485,3.87038,0,2
1.518189,0,0,2
1.516731,3.64139,0,2
1.527779,0,0,2
1.518394,3.66833,0,2
1.518052,3.79854,0,2
1.518462,3.96916,0,2
1.516526,3.56955,0,2
1.514089,3.08912,0,2
1.518121,2.95891,0.1386,2
1.518121,3.84793,0,2
1.517437,3.25076,0,2
1.515888,3.40791,0,2
1.518918,3.82997,0,2
1.515957,3.56057,0,2
1.517118,3.61894,0,2
1.52475,0,0,2
1.516458,3.48873,0,2
1.517096,3.47077,0,2
1.516868,3.53812,0,2
1.517301,2.72094,0,2
1.518713,3.65935,0,2
1.516594,3.17892,0,2
1.521765,3.6818,0,2
1.53393,0,0,2
1.516731,3.52016,0,2
1.515934,3.52016,0,2
1.515683,3.48873,0,2
1.516048,3.43934,0,2
1.518508,3.62792,0.09135,2
1.520672,2.08785,0.2709,2
1.520194,1.35149,0,2
1.516891,2.87809,0,2
1.515911,3.57853,0,2
1.518121,3.97814,0,2
1.516184,3.5022,0,2
1.52664,0,0,2
1.524089,2.90054,0,2
1.516253,3.57853,0,2
1.516891,3.53812,0,2
1.516731,3.56057,0,2
1.51844,3.75813,0,2
1.526139,0,0,2
1.520809,2.28092,0,2
1.518189,2.76135,0,2
1.516276,3.57853,0,2
1.515729,3.66833,0,2
1.515934,3.592,0,2
1.516549,2.85115,0.11025,2
1.518462,3.88834,0,2
1.516321,3.56955,0,2
1.516298,3.33158,0,2
1.51828,3.90181,0,2
1.516458,3.60996,0,2
1.518599,3.43036,0,2
1.516389,3.47975,0,2
1.527392,0,0,2
1.518007,3.92875,0,2
1.515934,3.44832,0,2
1.51664,3.53812,0,2
1.518417,3.61894,0,2
1.516617,3.51118,0.5985,2
1.515911,3.34056,0,2
1.516663,3.60996,0,2
1.518417,3.74017,0,2
1.51664,3.44832,0,3
1.517779,3.65037,0,3
1.518326,3.34056,0,3
1.521219,3.75813,0,3
1.516708,3.56955,0,3
1.516936,3.57853,0,3
1.522107,3.78058,0,3
1.517961,3.35852,0,3
1.517688,3.65935,0,3
1.516435,3.52016,0,3
1.516549,3.38995,0,3
1.519351,3.53812,0.1512,3
1.516458,3.39893,0,3
1.516093,3.52914,0,3
1.521264,3.90181,0,3
1.513155,0,0,5
1.519146,1.84988,0,5
1.519692,0,0,5
1.521196,0.32777,0,5
1.516663,0,0,5
1.519943,0,0,5
1.520421,0,0,5
1.521515,1.71069,0,5
1.5132,0,0,5
1.52172,1.88131,0,5
1.523679,0,0,5
1.519169,0,0,6
1.518872,0.78126,0,6
1.519374,2.41113,0,6
1.512995,1.74212,0,6
1.51115,0,0,6
1.519055,2.38868,0,6
1.51828,2.24051,0,6
1.518531,2.19112,0,6
1.516162,0,0.67095,7
1.517187,0,1.59075,7
1.517118,0,1.6695,7
1.516845,0,1.59075,7
1.516822,0,1.5687,7
1.515455,0,0.6111,7
1.516572,0,1.71045,7
1.51623,0,0.40005,7
1.51623,0,1.06155,7
1.517323,0,1.5498,7
1.511309,3.20137,1.1907,7
1.517278,0,0.6615,7
1.516025,0,0.63945,7
1.522472,2.2001,0,7
1.523155,3.34056,0,7
1.515569,0,0.80955,7
1.515137,0,0.5607,7
1.516503,0,1.5687,7
1.518371,3.25974,1.62855,7
1.520649,0,1.64115,7
1.515319,0,0.63945,7
1.518303,0,2.8791,7
1.516389,0,0.53865,7
1.515091,0,0.63,7
1.523656,1.83192,1.67895,7
1.516139,1.77804,0.75915,7
