@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R6,8-9'

@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.4275,0.27,12
0.3935,0.33,10
0.6055,0.46,15
0.0315,0.02,5
0.042,0.025,4
0.234,0.135,8
0.48,0.425,20
0.282,0.285,11
0.396,0.32,16
0.307,0.26,12
0.214,0.145,8
0.291,0.235,12
0.233,0.18,11
0.3465,0.31,9
0.7665,0.78,18
0.086,0.068,7
0.094,0.063,9
0.546,0.635,16
0.4215,0.34,13
0.53,0.28,13
0.621,0.46,12
0.092,0.15,8
0.254,0.285,13
0.0755,0.06,7
0.181,0.155,11
0.485,0.34,15
0.3,0.16,11
0.2185,0.255,9
0.3155,0.24,10
0.473,0.425,16
0.092,0.09,8
0.4215,0.355,19
0.585,0.6,19
0.207,0.145,10
0.252,0.18,10
0.3115,0.2,10
0.3685,0.24,12
0.518,0.505,14
0.405,0.255,11
0.115,0.075,11
0.567,0.41,13
0.4955,0.415,17
0.3485,0.235,11
0.033,0.03,5
0.099,0.085,10
0.3075,0.255,14
0.148,0.1175,8
0.1975,0.1175,14
0.5275,0.35,11
0.2085,0.1655,15
0.3845,0.265,21
0.1695,0.14,9
0.4305,0.42,16
0.1815,0.16,11
0.185,0.19,11
0.279,0.195,11
0.0345,0.025,5
0.1205,0.1105,12
0.0095,0.0085,4
0.3925,0.293,13
0.374,0.23,13
0.34,0.265,17
0.3485,0.278,17
0.2015,0.19,15
0.1915,0.1625,9
0.2875,0.155,10
0.2855,0.235,12
0.071,0.0535,7
0.653,0.3205,10
0.668,0.2715,9
0.7595,0.321,8
0.5905,0.453,15
0.784,0.455,12
0.833,0.475,11
0.05,0.043,4
0.053,0.04,8
0.0705,0.055,7
0.0665,0.045,5
0.1505,0.0795,7
0.157,0.1,7
0.1635,0.091,6
0.191,0.137,7
0.23,0.1095,6
0.3145,0.1565,6
0.367,0.23,8
0.5625,0.295,10
0.4955,0.29,9
0.5575,0.29,7
0.585,0.33,8
0.594,0.485,10
0.7645,0.553,12
1.1335,0.6,11
0.054,0.028,6
0.1165,0.0635,6
0.1255,0.088,6
0.162,0.1045,7
0.2485,0.131,6
0.2295,0.157,8
0.427,0.175,8
0.466,0.265,7
0.547,0.2295,8
0.481,0.24,8
0.5455,0.25,8
0.5315,0.2475,8
0.6415,0.4245,9
0.624,0.39,9
0.7945,0.3695,9
0.0945,0.07,7
0.0865,0.07,8
0.2065,0.115,8
0.1425,0.113,11
0.211,0.15,8
0.214,0.1495,8
0.2185,0.16,7
0.239,0.185,9
0.3265,0.16,7
0.337,0.205,13
0.233,0.18,10
0.428,0.2045,9
0.419,0.21,9
0.3745,0.223,11
0.3135,0.28,10
0.5565,0.2695,10
0.352,0.1685,11
0.397,0.2655,9
0.5315,0.2885,10
0.4455,0.295,11
0.6345,0.305,12
0.484,0.355,10
0.644,0.406,15
0.4865,0.4075,10
0.6165,0.3725,10
0.7465,0.4975,11
1.232,0.612,14
0.1325,0.0615,6
0.188,0.0825,6
0.1785,0.0855,8
0.2015,0.088,6
0.229,0.116,9
0.347,0.142,8
0.2485,0.1555,6
0.2695,0.17,8
0.4755,0.1835,9
0.417,0.38,9
0.477,0.275,8
0.6805,0.3245,10
0.5945,0.395,10
0.942,0.445,11
0.05,0.0415,6
0.09,0.055,5
0.1525,0.0835,8
0.1385,0.105,8
0.2455,0.173,8
0.282,0.225,9
0.419,0.269,10
0.3995,0.23,12
0.364,0.239,10
0.3475,0.25,9
0.377,0.235,8
0.575,0.305,9
0.7285,0.431,11
0.4835,0.28,10
0.6025,0.3085,12
0.6035,0.311,9
0.582,0.313,12
0.611,0.418,12
0.5885,0.3745,10
0.586,0.365,10
0.6045,0.3965,10
0.419,0.2365,9
0.5275,0.344,11
0.672,0.315,9
0.0235,0.018,4
0.114,0.11,7
0.1675,0.1135,11
0.156,0.105,8
0.181,0.191,8
0.2555,0.143,10
0.305,0.244,10
0.332,0.18,7
0.3975,0.255,9
0.3485,0.22,9
0.3665,0.269,9
0.37,0.3005,10
0.4315,0.223,10
0.4605,0.355,9
0.5635,0.3395,11
0.6195,0.497,11
0.675,0.535,13
1.0815,0.503,11
0.036,0.03,7
0.128,0.0805,7
0.1865,0.0985,7
0.2575,0.129,8
0.325,0.196,9
0.2635,0.185,9
0.4345,0.2475,9
0.1305,0.0725,8
0.25,0.1635,8
0.2925,0.209,11
0.5575,0.372,8
0.6835,0.28,10
0.416,0.365,14
0.1405,0.08,7
0.1685,0.15,8
0.2945,0.215,10
0.2,0.13,9
0.405,0.295,16
0.1685,0.125,9
0.61,0.41,12
0.414,0.3,9
0.0205,0.02,6
0.037,0.045,5
0.0905,0.07,11
0.175,0.13,7
0.4865,0.61,18
0.356,0.28,13
0.166,0.135,8
0.581,0.32,13
0.3465,0.295,13
0.6535,0.58,15
0.3305,0.195,10
0.3125,0.175,10
0.4305,0.285,10
0.2755,0.165,8
0.1145,0.095,10
0.5775,0.475,17
0.425,0.36,23
0.2765,0.216,12
0.548,0.42,18
0.4825,0.31,11
0.0085,0.01,3
0.145,0.11,12
