@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,9'

@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.35,7
0.49,11
0.55,14
0.4,7
0.485,10
0.47,10
0.505,7
0.595,13
0.605,13
0.6,15
0.6,10
0.605,12
0.49,11
0.405,8
0.56,11
0.49,10
0.46,10
0.61,12
0.53,7
0.51,10
0.45,9
0.42,8
0.37,7
0.49,10
0.11,3
0.16,5
0.33,8
0.35,8
0.36,7
0.515,14
0.495,17
0.565,12
0.57,10
0.685,13
0.47,12
0.545,10
0.54,12
0.45,8
0.605,14
0.62,15
0.56,21
0.57,18
0.36,7
0.395,10
0.565,18
0.665,17
0.64,15
0.585,12
0.52,11
0.465,9
0.605,19
0.31,6
0.27,6
0.325,4
0.365,9
0.47,12
0.255,8
0.66,12
0.66,13
0.515,13
0.625,11
0.46,13
0.66,19
0.385,10
0.325,9
0.345,10
0.34,10
0.47,9
0.355,8
0.38,7
0.51,13
0.445,11
0.38,12
0.54,12
0.45,23
0.5,10
0.415,10
0.16,3
0.49,17
0.505,13
0.52,15
0.535,14
0.53,20
0.66,17
0.535,14
0.59,13
0.47,15
0.515,9
0.44,10
0.325,7
0.335,6
0.35,6
0.365,7
0.395,6
0.45,8
0.495,9
0.555,9
0.595,10
0.595,8
0.68,11
0.415,6
0.425,6
0.43,7
0.445,7
0.465,7
0.48,6
0.48,8
0.53,7
0.595,11
0.595,9
0.625,9
0.64,10
0.645,11
0.71,11
0.25,5
0.34,5
0.445,7
0.475,6
0.54,10
0.575,10
0.58,9
0.58,9
0.61,9
0.635,9
0.67,9
0.71,11
0.715,10
0.725,12
0.755,11
0.185,6
0.33,5
0.335,7
0.34,6
0.385,5
0.39,7
0.395,8
0.4,5
0.44,9
0.46,8
0.505,8
0.525,9
0.535,8
0.55,9
0.55,9
0.56,9
0.57,10
0.575,9
0.595,10
0.6,10
0.61,10
0.615,10
0.615,10
0.63,11
0.65,11
0.65,11
0.655,13
0.705,11
0.41,5
0.43,6
0.53,9
0.56,8
0.57,8
0.58,9
0.63,11
0.64,9
0.66,10
0.72,12
0.21,5
0.46,7
0.515,8
0.525,8
0.53,10
0.535,7
0.545,8
0.55,8
0.575,10
0.575,9
0.61,9
0.62,12
0.62,9
0.625,12
0.63,9
0.635,9
0.645,10
0.665,12
0.67,12
0.685,11
0.705,11
0.75,11
0.49,8
0.615,10
0.665,11
0.34,6
0.475,9
0.545,9
0.555,9
0.6,11
0.6,10
0.6,11
0.615,12
0.655,9
0.685,10
0.695,13
0.28,6
0.335,6
0.505,12
0.545,11
0.56,9
0.625,14
0.4,7
0.44,9
0.415,7
0.375,9
0.455,9
0.415,9
0.445,10
0.62,17
0.165,4
0.595,10
0.595,14
0.625,21
0.495,14
0.58,11
0.275,6
0.455,10
0.535,8
0.57,14
0.6,13
0.435,11
0.51,12
0.59,14
0.6,18
0.58,11
0.47,13
0.435,13
0.49,14
0.395,8
0.415,10
0.475,13
0.525,15
0.56,13
0.505,11
0.59,19
0.6,15
0.72,16
0.415,12
0.31,7
0.42,9
0.53,10
0.34,9
0.635,18
0.61,11
0.52,15
0.33,9
0.285,5
0.475,10
0.545,11
0.595,10
0.6,8
0.625,10
0.69,9
0.225,4
0.28,5
0.44,7
0.53,8
0.57,9
0.6,8
0.49,8
0.55,8
0.6,10
0.63,10
0.63,8
0.7,13
0.725,11
0.25,4
0.36,5
0.375,7
0.405,7
0.42,8
0.445,9
0.46,8
0.475,7
0.485,8
0.49,10
0.56,11
0.575,9
0.58,9
0.585,9
0.595,10
0.6,9
0.625,10
0.63,10
0.33,7
0.455,7
0.54,9
0.59,9
0.645,8
0.72,10
0.52,8
0.55,8
0.59,10
0.6,11
0.61,11
0.615,9
0.62,10
0.625,11
0.635,8
0.645,12
0.49,8
0.61,9
0.655,10
0.435,8
0.495,7
0.575,10
0.585,11
0.62,11
0.63,10
0.355,7
0.495,10
0.52,11
0.425,7
0.56,8
0.46,8
0.2,4
0.55,13
0.71,12
0.47,11
0.43,9
0.47,6
0.565,20
0.31,7
0.62,11
0.42,10
0.555,15
0.3,6
0.525,12
0.69,24
0.605,16
0.57,16
0.485,9
0.66,15
0.685,16
0.43,14
0.39,6
0.74,13
0.605,13
0.39,7
0.56,9
0.59,8
0.6,11
0.64,10
0.325,6
0.37,6
0.465,7
0.48,8
0.49,9
0.52,7
0.62,9
0.4,6
0.55,8
0.56,8
0.6,8
0.625,9
0.48,9
0.57,8
0.595,10
0.625,9
0.65,12
0.735,12
0.175,4
0.455,8
0.615,9
0.47,8
0.59,8
0.595,10
0.61,9
0.645,12
0.67,11
0.505,7
0.615,9
0.53,8
0.535,10
0.575,10
0.615,10
0.465,8
0.455,11
0.63,14
0.525,10
0.56,9
0.515,16
0.525,12
0.635,16
0.55,17
0.235,5
0.505,11
0.55,20
0.475,16
0.42,8
0.44,6
0.45,7
0.565,8
0.485,8
0.275,6
0.58,8
0.41,7
0.555,8
0.565,9
0.615,11
0.625,11
0.7,10
0.72,11
0.65,9
0.35,7
0.455,9
0.615,9
0.65,11
0.28,6
0.5,9
