@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,5,9'

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.55,0.8945,19
0.55,0.7635,9
0.615,1.1615,10
0.605,0.9365,15
0.45,0.4115,7
0.31,0.151,6
0.615,1.1025,14
0.695,1.494,15
0.53,0.883,15
0.53,0.724,10
0.47,0.4205,9
0.515,0.766,14
0.17,0.03,4
0.575,0.994,13
0.52,0.776,8
0.315,0.125,5
0.58,0.927,14
0.4,0.315,9
0.55,0.8025,10
0.36,0.1975,9
0.53,0.8945,11
0.27,0.1205,6
0.455,0.4495,9
0.485,0.6295,14
0.295,0.128,6
0.36,0.217,6
0.47,0.472,10
0.55,0.7605,14
0.45,0.4585,8
0.265,0.0965,5
0.385,0.2845,11
0.265,0.1055,5
0.32,0.1755,7
0.5,0.5955,12
0.6,1.0875,14
0.61,1.2,14
0.585,0.8685,22
0.7,2.13,20
0.675,1.587,13
0.645,1.8085,18
0.745,2.499,17
0.685,1.768,16
0.675,1.7345,20
0.63,1.1775,11
0.485,0.663,10
0.44,0.365,7
0.63,1.005,16
0.545,0.625,13
0.605,1.098,12
0.675,1.4385,21
0.615,1.0385,11
0.62,1.1835,23
0.455,0.5185,10
0.44,0.415,11
0.57,0.9535,17
0.605,0.939,13
0.195,0.032,4
0.62,1.1785,13
0.48,0.777,9
0.295,0.129,7
0.58,1.3165,18
0.53,0.8115,19
0.37,0.2225,8
0.565,0.909,15
0.28,0.1165,5
0.25,0.0765,6
0.525,0.99,15
0.465,0.488,11
0.52,0.669,12
0.36,0.2065,8
0.485,0.556,10
0.28,0.1015,6
0.235,0.067,6
0.36,0.27,7
0.38,0.1375,7
0.395,0.319,7
0.47,0.5805,8
0.505,0.8275,8
0.55,0.875,10
0.575,0.958,9
0.59,1.102,12
0.625,1.3825,11
0.66,1.558,10
0.32,0.1575,5
0.345,0.2455,7
0.385,0.251,6
0.475,0.5915,6
0.495,0.6335,8
0.5,0.56,8
0.5,0.6725,7
0.505,0.642,9
0.51,0.7035,8
0.53,0.7585,8
0.595,1.121,11
0.595,1.213,9
0.66,1.5905,9
0.765,2.302,12
0.195,0.0375,3
0.245,0.071,4
0.28,0.1075,5
0.405,0.32,7
0.43,0.397,7
0.45,0.4925,6
0.51,0.6795,8
0.525,0.6455,8
0.525,0.7555,9
0.565,0.99,8
0.57,0.8775,8
0.575,1.0225,9
0.63,1.1325,8
0.63,1.2645,10
0.645,1.39,10
0.65,1.202,11
0.69,1.583,12
0.755,2.0065,10
0.33,0.2085,7
0.385,0.2615,9
0.42,0.328,6
0.48,0.5435,9
0.5,0.5695,7
0.52,0.663,9
0.53,0.694,9
0.535,0.7145,9
0.57,0.794,8
0.575,0.892,10
0.585,1.171,10
0.59,1.187,9
0.6,1.12,10
0.615,1.129,10
0.62,1.293,10
0.63,1.062,12
0.635,0.986,10
0.705,2.21,10
0.475,0.459,7
0.515,0.9365,8
0.55,0.84,8
0.58,1.165,9
0.59,1.151,9
0.595,1.04,9
0.62,1.049,10
0.63,1.1005,9
0.645,1.539,11
0.645,1.318,11
0.67,1.5265,10
0.74,1.8725,10
0.37,0.2175,6
0.39,0.2225,7
0.41,0.28,8
0.415,0.313,7
0.465,0.393,8
0.475,0.6325,8
0.475,0.4285,7
0.5,0.559,9
0.515,0.4745,10
0.53,0.8365,11
0.54,0.8195,9
0.56,0.7235,8
0.575,1.0305,8
0.61,1.2795,7
0.62,1.3255,12
0.62,1.266,12
0.625,1.0985,9
0.63,1.233,10
0.64,1.247,10
0.645,1.286,12
0.645,1.2415,9
0.66,1.6375,14
0.665,1.289,11
0.67,1.32,13
