@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,4,9'

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.125,10
I,0.08,7
I,0.095,8
F,0.15,20
F,0.1,10
M,0.09,9
M,0.12,9
I,0.07,6
M,0.1,7
M,0.135,15
M,0.075,6
I,0.09,6
I,0.085,8
M,0.16,19
F,0.11,9
I,0.08,9
M,0.145,15
F,0.21,18
M,0.19,14
I,0.04,5
M,0.18,14
F,0.15,11
M,0.185,16
I,0.11,8
M,0.14,9
I,0.085,7
I,0.135,12
I,0.08,13
I,0.075,7
F,0.16,13
I,0.06,4
M,0.2,16
M,0.225,15
M,0.215,22
M,0.205,20
M,0.125,9
M,0.165,15
M,0.195,26
F,0.175,13
I,0.095,6
F,0.12,8
F,0.18,12
M,0.14,13
F,0.15,12
M,0.145,11
F,0.165,16
F,0.17,14
I,0.1,10
F,0.12,9
F,0.135,13
I,0.07,8
I,0.11,10
F,0.21,17
F,0.185,29
M,0.145,14
M,0.04,4
M,0.095,9
F,0.11,9
F,0.16,12
I,0.12,13
F,0.15,11
I,0.125,12
I,0.15,11
F,0.175,17
I,0.175,18
I,0.18,13
M,0.085,6
M,0.085,7
M,0.13,9
I,0.13,11
I,0.18,18
F,0.115,7
I,0.02,4
M,0.105,12
F,0.105,9
I,0.08,7
I,0.055,7
M,0.12,18
M,0.125,10
F,0.17,13
F,0.165,11
I,0.14,8
M,0.175,15
M,0.165,12
M,0.125,10
M,0.13,9
I,0.1,7
F,0.13,21
I,0.1,6
I,0.1,7
M,0.175,11
I,0.07,7
I,0.1,7
F,0.11,6
I,0.12,6
F,0.12,8
M,0.12,7
M,0.125,8
M,0.135,7
M,0.14,11
M,0.155,10
F,0.16,9
M,0.15,11
F,0.165,11
F,0.165,8
F,0.185,11
M,0.185,12
M,0.2,10
F,0.175,10
M,0.175,10
I,0.1,6
M,0.125,7
I,0.125,8
M,0.135,7
F,0.15,8
M,0.145,9
M,0.15,8
M,0.17,8
M,0.14,9
F,0.21,11
I,0.075,6
I,0.09,8
I,0.085,7
I,0.095,7
I,0.09,6
I,0.09,7
I,0.115,8
I,0.14,9
I,0.15,10
M,0.14,9
I,0.145,9
M,0.135,10
M,0.155,9
M,0.165,10
F,0.165,12
M,0.17,9
F,0.17,9
M,0.175,10
F,0.215,9
I,0.135,7
I,0.09,5
I,0.09,5
