@relation abalone

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.585,1.2565,15
0.655,1.25,15
0.585,1.055,15
0.62,1.0325,15
0.565,0.995,15
0.695,1.5165,15
0.48,0.5825,15
0.42,0.2885,15
0.635,1.467,15
0.505,0.657,15
0.605,1.1405,15
0.7,1.773,15
0.495,0.6605,15
0.59,1.1045,15
0.665,1.3955,15
0.55,0.843,15
0.675,1.6885,15
0.45,0.525,15
0.555,1.092,15
0.655,1.2635,15
0.445,0.476,15
0.53,0.783,15
0.71,1.555,15
0.515,0.695,15
0.465,0.498,15
0.6,1.031,15
0.47,0.537,15
0.57,1.0615,15
0.505,0.6775,15
0.66,1.791,15
0.635,1.415,15
0.57,0.849,15
0.575,1.094,15
0.67,1.5415,15
0.66,1.6935,15
0.635,1.598,15
0.48,0.5885,15
0.485,0.605,15
0.61,1.1775,15
0.645,1.626,15
0.48,0.759,15
0.65,1.2425,15
0.565,0.8115,15
0.52,0.823,15
0.59,0.906,15
0.61,1.116,15
0.52,0.595,15
0.505,0.6515,15
0.65,1.676,15
0.52,0.6515,15
0.595,0.975,15
0.64,1.521,15
0.465,0.5555,15
0.64,1.221,15
0.64,1.194,15
0.555,0.858,15
0.565,1.0035,15
0.605,1.0185,15
0.52,0.6245,15
0.605,1.437,15
0.5,0.604,15
0.48,0.523,15
0.455,0.514,15
0.545,0.744,15
0.625,1.2415,15
0.6,1.0075,15
0.63,1.525,15
0.55,1.042,15
0.525,0.7995,15
0.52,0.829,15
0.605,1.114,15
0.535,0.72,15
0.695,2.033,15
0.56,0.922,15
0.59,1.053,15
0.66,1.3905,15
0.61,1.0675,15
0.56,1.011,15
0.495,0.7775,15
0.68,1.639,15
0.625,0.953,15
0.605,1.153,15
0.62,1.5145,15
0.62,1.208,15
0.465,0.5755,15
0.52,0.6765,15
0.62,1.115,15
0.535,0.8415,15
0.6,1.2415,15
0.56,1.106,15
0.5,0.6355,15
0.6,1.105,15
0.46,0.4605,7
0.375,0.2165,7
0.435,0.3685,7
0.39,0.2845,7
0.48,0.519,7
0.33,0.19,7
0.43,0.3645,7
0.52,0.6435,7
0.355,0.251,7
0.485,0.637,7
0.35,0.211,7
0.435,0.346,7
0.48,0.6015,7
0.525,0.7945,7
0.43,0.3855,7
0.535,0.7315,7
0.62,1.127,7
0.445,0.414,7
0.435,0.411,7
0.46,0.4675,7
0.475,0.5195,7
0.32,0.183,7
0.425,0.303,7
0.57,0.9035,7
0.325,0.1745,7
0.475,0.4545,7
0.4,0.258,7
0.5,0.6215,7
0.585,0.9555,7
0.545,0.7865,7
0.52,1.019,7
0.505,0.594,7
0.335,0.186,7
0.355,0.187,7
0.375,0.22,7
0.405,0.268,7
0.305,0.1485,7
0.36,0.2315,7
0.485,0.556,7
0.465,0.534,7
0.435,0.3245,7
0.495,0.5125,7
0.44,0.38,7
0.365,0.2215,7
0.435,0.3215,7
0.4,0.3415,7
0.385,0.343,7
0.275,0.1035,7
0.51,0.769,7
0.405,0.324,7
0.43,0.32,7
0.355,0.204,7
0.495,0.44,7
0.365,0.2225,7
0.32,0.129,7
0.365,0.213,7
0.505,0.583,7
0.525,0.7115,7
0.35,0.2965,7
0.43,0.3465,7
0.515,0.572,7
0.435,0.38,7
0.435,0.4335,7
0.28,0.1085,7
0.375,0.257,7
0.36,0.217,7
0.35,0.197,7
0.415,0.3045,7
0.46,0.3755,7
0.28,0.1135,7
0.35,0.2,7
0.35,0.1855,7
0.35,0.1765,7
0.525,0.65,7
0.325,0.173,7
0.46,0.449,7
0.425,0.3515,7
0.43,0.391,7
0.435,0.366,7
0.505,0.723,7
0.46,0.4155,7
