@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,9'

@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.37,9
0.38,14
0.32,9
0.28,11
0.55,13
0.355,8
0.295,7
0.4,8
0.355,9
0.43,11
0.395,9
0.32,9
0.41,11
0.28,6
0.515,12
0.48,12
0.48,13
0.485,12
0.405,12
0.435,13
0.35,11
0.38,10
0.215,7
0.425,17
0.45,14
0.525,22
0.435,10
0.435,17
0.21,4
0.22,5
0.455,14
0.46,12
0.49,18
0.375,9
0.44,12
0.325,7
0.45,11
0.485,18
0.47,20
0.55,14
0.55,12
0.415,10
0.48,12
0.465,13
0.45,11
0.5,17
0.5,15
0.485,17
0.205,5
0.385,10
0.35,11
0.305,11
0.39,11
0.425,10
0.42,12
0.43,9
0.445,16
0.39,12
0.405,12
0.18,5
0.38,15
0.39,21
0.37,10
0.405,16
0.335,13
0.25,11
0.225,7
0.355,10
0.505,13
0.43,15
0.385,15
0.41,13
0.385,12
0.405,15
0.41,11
0.34,10
0.185,5
0.25,6
0.325,6
0.32,7
0.385,8
0.45,10
0.435,10
0.455,9
0.505,12
0.5,9
0.175,3
0.24,6
0.31,7
0.34,6
0.345,7
0.335,7
0.37,9
0.425,8
0.4,8
0.43,9
0.4,8
0.445,8
0.455,10
0.455,9
0.505,10
0.5,11
0.525,10
0.57,10
0.525,11
0.165,4
0.22,5
0.22,6
0.29,7
0.34,7
0.35,7
0.445,9
0.46,10
0.515,10
0.515,11
0.5,9
0.525,9
0.55,10
0.565,8
0.185,5
0.225,5
0.23,5
0.315,8
0.33,8
0.4,9
0.435,8
0.445,8
0.445,8
0.435,11
0.475,10
0.475,10
0.5,9
0.545,13
0.58,11
0.365,7
0.385,9
0.4,8
0.46,8
0.515,9
0.475,8
0.56,10
0.225,6
0.26,7
0.325,8
0.35,7
0.36,8
0.4,8
0.425,10
0.4,9
0.42,8
0.425,9
0.435,8
0.46,11
0.465,8
0.435,8
0.445,10
0.475,10
0.485,10
0.5,8
0.5,13
0.51,10
0.505,11
0.57,12
0.55,13
0.36,7
0.37,9
0.35,9
0.365,10
0.38,7
0.425,8
0.45,10
0.43,10
0.465,9
0.495,11
0.215,7
0.27,6
0.275,7
0.31,6
0.4,10
0.42,10
0.415,9
0.405,8
0.435,10
0.45,9
0.435,10
0.44,10
0.46,8
0.445,11
0.52,11
0.55,12
0.13,4
0.215,6
0.21,5
0.25,7
0.375,10
0.455,9
0.46,9
0.465,10
0.515,9
0.315,6
0.38,8
0.42,8
0.55,11
0.39,11
0.38,19
0.385,11
0.48,10
0.55,15
0.36,9
0.35,11
0.425,12
0.425,9
0.24,7
0.37,10
0.585,18
0.5,12
0.28,6
0.45,12
0.45,14
0.325,13
0.19,6
0.55,21
0.405,19
0.495,13
0.525,13
0.28,7
0.36,8
0.28,11
0.46,10
0.525,20
0.33,9
0.305,7
0.3,9
0.415,10
0.325,7
0.415,23
0.24,7
0.44,11
0.475,14
0.385,14
0.355,16
0.46,10
0.255,13
0.38,11
0.355,9
0.285,9
0.47,20
0.47,14
0.36,14
0.51,11
0.305,9
0.24,6
0.4,8
0.425,9
0.455,9
0.535,15
0.525,10
0.57,10
0.15,4
0.18,5
0.21,5
0.35,8
0.345,6
0.34,9
0.38,7
0.395,9
0.435,8
0.5,10
0.47,8
0.49,9
0.5,9
0.285,6
0.335,7
0.375,8
0.435,8
0.46,9
0.475,10
0.49,9
0.14,3
0.335,7
0.34,8
0.385,8
0.44,8
0.51,9
0.49,10
0.24,6
0.395,7
0.49,9
0.31,7
0.4,9
0.38,8
0.445,11
0.475,9
0.48,10
0.53,9
0.575,11
0.52,15
0.525,12
0.54,10
0.505,10
0.58,13
0.38,8
0.4,8
0.615,12
0.185,4
0.3,6
0.335,7
0.38,8
0.47,8
0.49,9
0.52,11
0.51,10
0.31,7
0.48,9
0.135,5
0.44,9
0.405,13
0.355,9
0.38,12
0.575,16
0.46,14
0.495,14
0.505,14
0.525,16
0.455,11
0.48,15
0.35,9
0.35,6
0.465,12
0.425,17
0.385,12
0.44,11
0.405,9
0.525,11
0.485,13
0.265,10
0.415,12
0.48,16
0.305,10
0.34,11
0.38,13
0.38,12
0.345,11
0.48,13
0.405,19
0.375,10
0.35,8
0.43,10
0.25,7
0.355,8
0.335,6
0.385,8
0.44,7
0.505,8
0.48,9
0.31,6
0.315,6
0.34,8
0.37,7
0.475,9
0.485,9
0.5,9
0.325,7
0.465,10
0.365,8
0.405,10
0.41,10
0.49,11
0.505,9
0.6,11
0.395,8
0.48,10
0.315,6
0.33,7
0.4,9
0.43,9
0.48,11
0.495,9
0.52,13
0.54,12
0.535,10
0.52,11
0.475,9
0.5,18
0.385,9
0.44,15
0.36,12
0.375,10
0.445,11
0.4,10
0.515,16
0.18,6
0.4,11
0.44,10
0.22,6
0.295,6
0.41,7
0.465,10
0.35,7
0.49,8
0.55,11
0.46,11
0.535,11
0.515,11
0.375,8
0.435,9
0.47,9
0.525,9
0.51,11
0.565,9
0.35,7
0.365,8
0.385,8
0.53,10
0.37,8
0.475,11
0.43,10
