@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,8-9'

@attribute Sex {M,F,I}
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.155,10
I,0.055,7
I,0.12,8
F,0.33,20
F,0.185,10
M,0.09,9
M,0.14,9
I,0.045,6
M,0.11,7
M,0.255,15
M,0.07,6
I,0.07,6
I,0.08,8
M,0.54,19
F,0.117,9
I,0.042,9
M,0.325,15
F,1.005,18
M,0.725,14
I,0.015,5
M,0.295,14
F,0.21,11
M,0.465,16
I,0.12,8
M,0.205,9
I,0.07,7
I,0.125,12
I,0.05,13
I,0.045,7
F,0.295,13
I,0.026,4
M,0.37,16
M,0.45,15
M,0.585,22
M,0.43,20
M,0.19,9
M,0.315,15
M,0.375,26
F,0.335,13
I,0.06,6
F,0.095,8
F,0.17,12
M,0.18,13
F,0.34,12
M,0.265,11
F,0.415,16
F,0.42,14
I,0.105,10
F,0.175,9
F,0.2,13
I,0.035,8
I,0.085,10
F,0.625,17
F,0.475,29
M,0.285,14
M,0.005,4
M,0.085,9
F,0.11,9
F,0.23,12
I,0.155,13
F,0.2185,11
I,0.096,12
I,0.255,11
F,0.515,17
I,0.205,18
I,0.3,13
M,0.055,6
M,0.05,7
M,0.105,9
I,0.145,11
I,0.53,18
F,0.12,7
I,0.005,4
M,0.0875,12
F,0.123,9
I,0.063,7
I,0.0335,7
M,0.29,18
M,0.175,10
F,0.315,13
F,0.2965,11
I,0.17,8
M,0.2905,15
M,0.256,12
M,0.115,10
M,0.155,9
I,0.065,7
F,0.205,21
I,0.094,6
I,0.089,7
M,0.36,11
I,0.055,7
I,0.105,7
F,0.1195,6
I,0.1295,6
F,0.146,8
M,0.14,7
M,0.1695,8
M,0.144,7
M,0.17,11
M,0.343,10
F,0.249,9
M,0.3085,11
F,0.315,11
F,0.336,8
F,0.441,11
M,0.498,12
M,0.48,10
F,0.503,10
M,0.4135,10
I,0.065,6
M,0.141,7
I,0.167,8
M,0.156,7
F,0.223,8
M,0.234,9
M,0.265,8
M,0.24,8
M,0.274,9
F,0.545,11
I,0.09,6
I,0.0525,8
I,0.06,7
I,0.0735,7
I,0.075,6
I,0.08,7
I,0.132,8
I,0.195,9
I,0.2545,10
M,0.255,9
I,0.2165,9
M,0.204,10
M,0.235,9
M,0.295,10
F,0.3035,12
M,0.315,9
F,0.345,9
M,0.365,10
F,0.558,9
I,0.0605,7
I,0.0675,5
I,0.0765,5
I,0.1135,9
I,0.17,7
M,0.2335,8
M,0.377,8
M,0.4,10
M,0.239,8
I,0.143,8
I,0.169,8
I,0.1935,8
I,0.162,7
I,0.138,9
I,0.175,8
I,0.235,9
I,0.17,9
M,0.245,9
I,0.1825,12
I,0.254,10
I,0.235,9
M,0.309,10
M,0.2635,10
M,0.3105,10
M,0.317,9
F,0.415,12
M,0.495,10
M,0.4125,10
F,0.435,10
I,0.209,10
I,0.319,9
M,0.2105,8
F,0.2845,9
F,0.3345,10
I,0.253,8
M,0.3075,10
M,0.455,11
I,0.0975,6
I,0.115,8
I,0.165,8
I,0.183,9
M,0.26,11
F,0.35,9
M,0.2795,10
M,0.27,8
M,0.2685,9
M,0.3215,11
F,0.345,11
M,0.365,12
M,0.35,11
F,0.3255,11
F,0.474,16
I,0.3305,10
M,0.37,11
M,0.4115,11
F,0.4245,11
M,0.5,11
F,0.538,13
F,0.488,11
F,0.44,11
I,0.0735,9
M,0.1515,7
M,0.1455,8
F,0.2365,10
F,0.1845,9
F,0.238,9
M,0.479,11
F,0.115,10
M,0.295,9
M,0.285,14
F,0.885,17
I,0.01,5
F,0.34,15
M,0.17,12
M,0.47,18
M,0.385,17
F,0.39,14
F,0.25,9
F,0.15,9
F,0.315,12
M,0.285,13
F,0.3,17
M,0.255,12
F,0.425,19
I,0.065,6
M,0.085,7
M,0.34,16
M,0.27,17
M,0.12,11
M,0.445,13
M,0.245,11
F,0.25,11
I,0.025,6
I,0.008,6
F,0.315,12
M,0.5,19
I,0.105,8
I,0.2215,10
I,0.17,13
I,0.315,15
I,0.395,12
F,0.1475,12
M,0.03,6
F,0.06,9
I,0.022,6
M,0.19,14
F,0.24,13
F,0.2,12
I,0.105,6
F,0.135,8
I,0.172,7
M,0.335,9
I,0.0255,4
I,0.035,6
I,0.0365,6
I,0.047,7
I,0.08,7
I,0.095,7
I,0.11,6
I,0.125,7
F,0.3595,8
F,0.37,11
M,0.391,9
M,0.4325,8
F,0.4175,10
M,0.505,12
I,0.094,7
I,0.175,9
M,0.205,7
M,0.17,7
M,0.225,8
M,0.305,10
M,0.37,11
M,0.3755,10
M,0.47,10
F,0.471,12
I,0.1,8
M,0.1155,8
M,0.245,10
I,0.2435,9
M,0.274,10
F,0.225,8
M,0.34,12
F,0.475,9
I,0.1405,8
M,0.189,7
F,0.1965,8
M,0.31,9
M,0.26,10
M,0.337,10
I,0.058,5
I,0.072,7
I,0.088,8
I,0.174,8
I,0.1545,8
I,0.161,8
I,0.16,8
M,0.2525,10
M,0.305,10
M,0.345,9
M,0.3605,10
F,0.34,10
M,0.348,7
F,0.325,10
I,0.097,6
F,0.2925,9
F,0.41,11
F,0.354,9
F,0.363,11
M,0.3685,11
I,0.08,8
I,0.24,9
F,0.384,11
M,0.387,9
F,0.3015,11
F,0.455,11
I,0.016,5
M,0.188,11
I,0.101,7
M,0.323,10
M,0.316,11
M,0.3815,11
M,0.315,14
F,0.22,9
I,0.034,8
M,0.405,13
I,0.04,8
M,0.1,9
I,0.115,9
M,0.485,14
M,0.295,13
I,0.185,8
F,0.13,7
F,0.29,13
M,0.22,11
F,0.405,13
F,0.52,15
M,0.03,5
M,0.03,7
F,0.1595,15
M,0.104,11
M,0.035,5
I,0.315,20
M,0.09,9
M,0.22,14
M,0.41,19
M,0.265,9
M,0.5,13
I,0.065,6
I,0.075,8
F,0.2155,8
F,0.29,8
I,0.109,6
M,0.38,9
M,0.355,11
M,0.43,10
F,0.42,12
I,0.08,9
I,0.1205,8
I,0.14,7
I,0.2425,10
F,0.3205,9
F,0.31,10
M,0.371,14
M,0.228,9
F,0.315,9
M,0.48,10
I,0.035,5
I,0.135,9
I,0.1745,9
I,0.215,9
F,0.2575,10
F,0.3085,10
F,0.3825,10
M,0.4355,13
F,0.4165,9
F,0.425,9
M,0.462,11
M,0.345,10
F,0.407,12
I,0.034,5
M,0.22,9
M,0.275,10
M,0.2445,8
M,0.335,10
F,0.342,10
F,0.44,11
M,0.488,12
I,0.014,3
M,0.185,10
I,0.05,5
F,0.195,15
F,0.135,8
M,0.365,16
M,0.155,10
I,0.005,4
M,0.02,4
M,0.25,14
M,0.25,13
M,0.4505,10
M,0.5755,10
M,0.621,12
F,0.255,8
M,0.225,10
F,0.37,9
F,0.4715,10
I,0.0505,6
I,0.18,8
F,0.35,10
M,0.4545,11
I,0.0935,6
M,0.216,8
I,0.2615,8
M,0.3,11
M,0.251,11
F,0.347,10
M,0.355,11
F,0.249,11
