@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.4,0.17,15
F,0.48,0.34,15
M,0.52,0.47,15
M,0.495,0.455,15
F,0.475,0.28,15
M,0.35,0.19,15
M,0.39,0.1835,15
F,0.405,0.205,15
F,0.41,0.195,15
I,0.525,0.42,15
I,0.35,0.1655,15
M,0.46,0.335,15
M,0.44,0.255,15
M,0.47,0.385,15
F,0.54,0.47,15
F,0.515,0.36,15
M,0.53,0.415,15
M,0.42,0.225,15
I,0.455,0.3,15
M,0.57,0.685,15
M,0.365,0.15,15
F,0.47,0.36,15
F,0.415,0.3,15
F,0.54,0.39,15
M,0.435,0.255,15
M,0.48,0.42,15
M,0.345,0.1085,15
I,0.485,0.33,15
F,0.575,0.52,15
F,0.45,0.285,15
F,0.495,0.41,15
M,0.49,0.375,15
F,0.375,0.179,15
M,0.405,0.325,15
M,0.475,0.295,15
M,0.415,0.2905,15
F,0.53,0.49,15
F,0.4,0.165,15
M,0.425,0.255,15
F,0.46,0.345,15
M,0.44,0.25,15
M,0.475,0.315,15
F,0.36,0.195,15
M,0.4,0.19,15
F,0.44,0.355,15
F,0.545,0.495,15
M,0.44,0.4405,15
F,0.415,0.245,15
I,0.515,0.315,15
M,0.505,0.45,15
M,0.45,0.26,15
M,0.41,0.295,15
M,0.47,0.315,15
I,0.38,0.175,15
M,0.405,0.234,15
M,0.51,0.58,15
F,0.38,0.18,15
F,0.495,0.365,15
F,0.47,0.29,15
M,0.47,0.31,15
F,0.4,0.24,15
F,0.39,0.195,15
F,0.475,0.27,15
F,0.55,0.6,15
I,0.405,0.205,15
F,0.49,0.295,15
M,0.56,0.485,15
F,0.425,0.24,15
M,0.565,0.406,15
M,0.49,0.295,15
F,0.5,0.41,15
M,0.535,0.54,15
F,0.39,0.215,15
M,0.495,0.5195,15
F,0.5,0.305,15
I,0.415,0.26,15
M,0.43,0.31,15
M,0.435,0.29,15
M,0.53,0.453,15
F,0.48,0.42,15
F,0.37,0.1595,15
M,0.435,0.335,15
M,0.475,0.325,15
F,0.395,0.205,15
M,0.465,0.24,15
F,0.47,0.36,15
M,0.495,0.34,15
I,0.39,0.255,15
M,0.385,0.2,15
M,0.4,0.265,15
F,0.56,0.46,15
M,0.465,0.37,15
M,0.515,0.39,15
F,0.29,0.08,7
I,0.35,0.1325,7
I,0.29,0.0695,7
F,0.44,0.1915,7
I,0.355,0.1325,7
M,0.215,0.04,7
I,0.25,0.06,7
I,0.39,0.1895,7
I,0.23,0.046,7
F,0.395,0.255,7
I,0.27,0.07,7
I,0.355,0.123,7
F,0.375,0.15,7
F,0.46,0.29,7
I,0.29,0.0815,7
I,0.345,0.125,7
F,0.37,0.148,7
I,0.355,0.125,7
I,0.24,0.045,7
I,0.265,0.07,7
M,0.4,0.144,7
M,0.345,0.135,7
I,0.2,0.03,7
I,0.27,0.053,7
I,0.35,0.115,7
I,0.245,0.048,7
M,0.37,0.161,7
I,0.4,0.169,7
I,0.31,0.0855,7
I,0.28,0.07,7
I,0.28,0.0795,7
I,0.365,0.113,7
M,0.33,0.125,7
I,0.33,0.09,7
I,0.34,0.094,7
I,0.29,0.075,7
I,0.345,0.117,7
M,0.28,0.075,7
F,0.425,0.24,7
I,0.3,0.084,7
I,0.335,0.111,7
I,0.3,0.088,7
I,0.3,0.089,7
I,0.395,0.162,7
M,0.36,0.12,7
F,0.37,0.129,7
F,0.23,0.048,7
I,0.365,0.127,7
I,0.26,0.075,7
I,0.225,0.032,7
I,0.375,0.157,7
I,0.25,0.063,7
I,0.37,0.128,7
I,0.35,0.1375,7
F,0.37,0.1375,7
I,0.325,0.114,7
I,0.235,0.042,7
M,0.42,0.205,7
I,0.36,0.115,7
I,0.275,0.066,7
I,0.365,0.1165,7
I,0.25,0.05,7
I,0.295,0.08,7
I,0.265,0.065,7
M,0.385,0.1535,7
F,0.46,0.254,7
F,0.375,0.148,7
I,0.315,0.11,7
I,0.25,0.055,7
F,0.38,0.144,7
I,0.245,0.045,7
I,0.26,0.068,7
F,0.29,0.09,7
I,0.25,0.049,7
M,0.415,0.185,7
I,0.35,0.1195,7
I,0.3,0.08,7
I,0.355,0.139,7
I,0.225,0.035,7
M,0.17,0.0195,7
I,0.27,0.064,7
I,0.26,0.065,7
I,0.285,0.075,7
I,0.335,0.11,7
M,0.4,0.1825,7
F,0.295,0.1035,7
I,0.315,0.09,7
I,0.275,0.066,7
I,0.275,0.0625,7
F,0.41,0.18,7
M,0.335,0.1315,7
I,0.375,0.175,7
I,0.38,0.1325,7
F,0.365,0.273,7
M,0.255,0.06,7
I,0.265,0.06,7
M,0.195,0.036,7
M,0.46,0.214,7
I,0.2,0.03,7
I,0.335,0.0965,7
I,0.25,0.04,7
I,0.29,0.078,7
I,0.315,0.095,7
I,0.28,0.067,7
I,0.295,0.085,7
I,0.345,0.12,7
I,0.3,0.0875,7
I,0.305,0.086,7
M,0.465,0.265,7
I,0.385,0.185,7
M,0.385,0.1515,7
F,0.425,0.2185,7
I,0.285,0.0725,7
I,0.285,0.075,7
I,0.28,0.0615,7
I,0.325,0.1175,7
I,0.335,0.1095,7
I,0.215,0.035,7
I,0.4,0.17,7
M,0.24,0.049,7
I,0.24,0.0535,7
M,0.465,0.141,7
I,0.29,0.081,7
I,0.3,0.0735,7
I,0.325,0.109,7
M,0.465,0.263,7
I,0.3,0.08,7
I,0.34,0.105,7
M,0.265,0.085,7
I,0.335,0.1105,7
I,0.36,0.147,7
M,0.32,0.1,7
I,0.31,0.085,7
M,0.46,0.296,7
I,0.335,0.105,7
M,0.405,0.24,7
F,0.35,0.13,7
I,0.375,0.1585,7
F,0.27,0.1675,7
I,0.335,0.1135,7
M,0.265,0.07,7
M,0.45,0.259,7
I,0.195,0.025,7
I,0.325,0.095,7
I,0.325,0.105,7
I,0.295,0.075,7
M,0.37,0.165,7
I,0.345,0.11,7
M,0.36,0.112,7
I,0.325,0.095,7
I,0.27,0.06,7
I,0.34,0.101,7
I,0.26,0.056,7
M,0.365,0.14,7
F,0.4,0.175,7
M,0.225,0.05,7
I,0.29,0.08,7
M,0.41,0.2,7
I,0.335,0.105,7
I,0.38,0.16,7
I,0.35,0.1205,7
I,0.38,0.18,7
I,0.335,0.1,7
I,0.275,0.0605,7
I,0.385,0.154,7
M,0.39,0.156,7
I,0.345,0.1185,7
M,0.45,0.218,7
I,0.205,0.0335,7
I,0.31,0.08,7
F,0.38,0.185,7
F,0.295,0.0835,7
F,0.32,0.164,7
I,0.28,0.072,7
I,0.265,0.075,7
I,0.35,0.1175,7
F,0.46,0.265,7
I,0.28,0.067,7
I,0.29,0.065,7
I,0.265,0.0615,7
I,0.31,0.093,7
I,0.3,0.044,7
F,0.35,0.175,7
F,0.325,0.155,7
I,0.225,0.0425,7
I,0.35,0.14,7
I,0.23,0.04,7
I,0.345,0.13,7
I,0.2,0.028,7
I,0.24,0.05,7
I,0.35,0.1115,7
M,0.36,0.129,7
M,0.31,0.11,7
I,0.29,0.077,7
M,0.3,0.095,7
I,0.3,0.11,7
I,0.25,0.052,7
I,0.33,0.123,7
I,0.275,0.08,7
I,0.275,0.065,7
I,0.325,0.1045,7
M,0.405,0.186,7
I,0.255,0.055,7
I,0.385,0.165,7
M,0.345,0.13,7
I,0.4,0.175,7
I,0.375,0.1455,7
I,0.345,0.1265,7
M,0.395,0.2,7
I,0.355,0.1185,7
M,0.295,0.1,7
I,0.345,0.107,7
M,0.325,0.11,7
