@relation abalone-weka.filters.unsupervised.attribute.Remove-V-R8-9

@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.3,11
0.115,9
0.19,8
0.1,7
0.675,12
0.58,21
0.4,13
0.25,9
0.155,10
0.22,10
0.165,10
0.03,5
0.129,9
0.17,10
0.815,16
0.85,20
0.325,10
0.315,11
0.285,10
0.12,12
0.275,13
0.04,8
0.3,12
0.37,15
0.365,15
0.035,6
0.15,11
0.1,9
0.005,3
0.265,14
0.46,23
0.12,10
0.075,7
0.33,13
0.115,11
0.31,11
0.235,8
0.34,15
0.4,20
0.155,11
0.03,6
0.32,18
0.255,22
0.22,11
0.0995,10
0.365,15
0.25,11
0.21,10
0.025,5
0.005,3
0.179,11
0.1135,15
0.255,11
0.168,12
0.1275,16
0.345,10
0.095,13
0.0865,13
0.166,11
0.1515,12
0.148,13
0.195,18
0.14,15
0.1405,7
0.315,19
0.33,11
0.12,10
0.08,10
0.07,7
0.21,13
0.295,11
0.0765,10
0.0695,8
0.063,9
0.03,7
0.155,12
0.26,17
0.255,10
0.2885,11
0.285,12
0.172,9
0.166,9
0.265,10
0.3095,9
0.345,10
0.406,14
0.897,17
0.0135,6
0.021,5
0.02,4
0.0385,5
0.037,5
0.0425,6
0.067,6
0.09,6
0.1465,7
0.2195,8
0.27,8
0.295,9
0.349,10
0.3745,10
0.1825,9
0.0095,4
0.087,6
0.1035,7
0.12,7
0.0975,7
0.102,6
0.19,9
0.205,8
0.26,9
0.235,9
0.292,9
0.281,8
0.305,10
0.34,8
0.4375,10
0.5,11
0.586,11
0.038,5
0.055,6
0.0775,6
0.0945,8
0.17,7
0.115,8
0.1565,9
0.2065,9
0.196,9
0.192,10
0.229,9
0.2,9
0.225,9
0.225,8
0.202,10
0.275,9
0.274,10
0.23,9
0.315,10
0.3,9
0.39,10
0.315,12
0.345,11
0.3725,11
0.3745,10
0.595,11
0.0815,7
0.103,9
0.1025,8
0.1065,7
0.198,8
0.2765,11
0.415,10
0.3195,9
0.444,11
0.461,12
0.595,11
0.077,7
0.0955,8
0.1345,7
0.2645,10
0.231,9
0.27,9
0.215,9
0.21,8
0.25,9
0.265,10
0.26,11
0.3,8
0.24,8
0.26,9
0.305,10
0.335,9
0.353,11
0.3,11
0.465,11
0.438,11
0.512,15
0.435,7
0.578,12
0.117,7
0.211,8
0.1215,8
0.403,10
0.29,9
0.3185,9
0.31,8
0.4645,13
0.07,6
0.098,7
0.11,7
0.245,10
0.1875,9
0.23,6
0.225,9
0.335,12
0.4675,12
0.3385,11
0.436,12
0.4395,10
0.095,7
0.1365,8
0.1535,10
0.025,5
0.033,5
0.057,8
0.082,7
0.0805,7
0.12,8
0.135,8
0.1955,7
0.158,8
0.3375,10
0.6585,17
0.31,10
0.115,8
0.035,5
0.49,11
0.095,5
0.355,13
0.355,13
0.35,6
0.19,13
0.08,7
0.33,15
0.4,17
0.165,10
0.38,14
0.53,14
0.295,13
0.17,9
0.17,8
0.285,11
0.115,9
0.4,21
0.565,17
0.2515,16
0.4,13
0.48,15
0.069,10
0.36,8
0.04,11
0.555,16
0.49,16
0.145,13
0.18,12
0.105,9
0.31,14
0.38,18
0.21,12
0.275,14
0.113,7
0.225,12
0.25,15
0.0525,6
0.325,11
0.118,6
0.136,7
0.1485,7
0.202,7
0.2425,8
0.264,8
0.3185,9
0.3775,12
0.09,7
0.103,7
0.15,8
0.167,8
0.225,7
0.249,8
0.265,8
0.2345,9
0.2505,7
0.246,9
0.5085,9
0.053,6
0.058,7
0.081,7
0.085,7
0.165,9
0.275,10
0.265,10
0.365,9
0.021,4
0.056,8
0.0675,6
0.123,7
0.1985,9
0.307,10
0.331,11
0.3875,11
0.0455,6
0.17,8
0.15,8
0.21,8
0.2895,9
0.265,10
0.233,10
0.367,11
0.355,10
0.44,11
0.322,9
0.276,9
0.395,11
0.364,12
0.385,11
0.017,4
0.184,9
0.1345,9
0.221,8
0.103,8
0.094,7
0.1455,10
0.3105,10
0.185,9
0.19,10
0.48,20
0.3,10
0.035,7
0.29,11
0.16,11
0.06,9
0.125,10
0.4,12
0.42,13
0.395,14
0.44,13
0.37,12
0.33,14
0.305,13
0.345,14
0.22,14
0.0655,9
0.52,19
0.07,8
0.057,8
0.009,5
0.1945,12
0.2495,18
0.185,9
0.371,8
0.06,5
0.063,6
0.131,8
0.146,8
0.4375,9
0.23,8
0.225,8
0.32,11
0.056,6
0.12,8
0.285,8
0.432,11
0.325,10
0.365,10
0.3045,11
0.37,9
0.4305,10
0.5675,13
0.1,8
0.1355,9
0.217,9
0.35,10
0.2935,10
0.184,9
0.2475,9
0.3235,11
0.2695,9
0.2255,9
0.2875,13
0.306,12
0.354,12
0.1325,8
0.175,10
0.24,9
0.4285,11
0.453,14
0.37,12
0.19,14
0.285,19
0.17,9
0.25,12
0.05,9
0.045,9
0.35,16
0.07,6
0.26,19
0.225,10
0.33,13
0.155,8
0.18,12
0.655,10
0.07,10
0.019,6
0.515,11
0.585,10
0.082,6
0.097,8
0.1025,7
0.01,4
0.083,6
0.1555,8
0.245,9
0.0605,7
0.0655,6
0.355,9
0.36,10
0.278,10
0.19,8
0.3,10
0.39,12
0.1765,8
0.657,11
0.445,11
0.041,6
0.2845,11
0.308,9
0.296,10
