@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-2,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.55,19
F,0.55,9
F,0.615,10
M,0.605,15
M,0.45,7
I,0.31,6
F,0.615,14
M,0.695,15
M,0.53,15
M,0.53,10
F,0.47,9
F,0.515,14
I,0.17,4
F,0.575,13
F,0.52,8
I,0.315,5
M,0.58,14
I,0.4,9
M,0.55,10
I,0.36,9
M,0.53,11
M,0.27,6
F,0.455,9
M,0.485,14
I,0.295,6
M,0.36,6
F,0.47,10
M,0.55,14
I,0.45,8
I,0.265,5
M,0.385,11
I,0.265,5
I,0.32,7
M,0.5,12
M,0.6,14
M,0.61,14
F,0.585,22
M,0.7,20
M,0.675,13
F,0.645,18
M,0.745,17
F,0.685,16
F,0.675,20
M,0.63,11
M,0.485,10
I,0.44,7
F,0.63,16
M,0.545,13
M,0.605,12
M,0.675,21
F,0.615,11
F,0.62,23
F,0.455,10
F,0.44,11
F,0.57,17
I,0.605,13
M,0.195,4
I,0.62,13
M,0.48,9
M,0.295,7
I,0.58,18
F,0.53,19
F,0.37,8
M,0.565,15
M,0.28,5
I,0.25,6
M,0.525,15
M,0.465,11
M,0.52,12
F,0.36,8
F,0.485,10
I,0.28,6
I,0.235,6
I,0.36,7
I,0.38,7
I,0.395,7
M,0.47,8
M,0.505,8
F,0.55,10
F,0.575,9
M,0.59,12
F,0.625,11
M,0.66,10
I,0.32,5
I,0.345,7
I,0.385,6
F,0.475,6
M,0.495,8
I,0.5,8
M,0.5,7
M,0.505,9
M,0.51,8
F,0.53,8
F,0.595,11
M,0.595,9
M,0.66,9
M,0.765,12
I,0.195,3
I,0.245,4
I,0.28,5
I,0.405,7
M,0.43,7
I,0.45,6
I,0.51,8
I,0.525,8
M,0.525,9
M,0.565,8
F,0.57,8
M,0.575,9
M,0.63,8
M,0.63,10
M,0.645,10
M,0.65,11
M,0.69,12
M,0.755,10
I,0.33,7
I,0.385,9
I,0.42,6
I,0.48,9
I,0.5,7
I,0.52,9
I,0.53,9
F,0.535,9
I,0.57,8
M,0.575,10
M,0.585,10
M,0.59,9
I,0.6,10
M,0.615,10
F,0.62,10
M,0.63,12
M,0.635,10
M,0.705,10
I,0.475,7
M,0.515,8
F,0.55,8
F,0.58,9
F,0.59,9
F,0.595,9
M,0.62,10
M,0.63,9
M,0.645,11
F,0.645,11
M,0.67,10
M,0.74,10
I,0.37,6
I,0.39,7
I,0.41,8
I,0.415,7
I,0.465,8
I,0.475,8
M,0.475,7
I,0.5,9
I,0.515,10
I,0.53,11
I,0.54,9
I,0.56,8
F,0.575,8
F,0.61,7
F,0.62,12
M,0.62,12
M,0.625,9
M,0.63,10
M,0.64,10
M,0.645,12
F,0.645,9
M,0.66,14
M,0.665,11
F,0.67,13
M,0.7,10
M,0.71,11
M,0.72,10
F,0.74,12
I,0.535,8
I,0.545,8
M,0.6,11
F,0.675,10
I,0.185,5
I,0.41,7
I,0.445,8
I,0.465,7
I,0.47,8
I,0.495,8
I,0.5,9
M,0.515,8
I,0.54,8
M,0.555,8
I,0.56,9
M,0.565,7
I,0.565,10
M,0.57,13
M,0.575,10
I,0.575,10
I,0.575,11
M,0.58,9
I,0.605,10
F,0.605,9
F,0.61,11
M,0.615,10
M,0.62,11
F,0.64,10
M,0.64,9
F,0.65,10
F,0.655,10
I,0.21,5
I,0.29,6
I,0.35,7
I,0.36,6
I,0.43,8
F,0.6,10
F,0.455,8
M,0.46,7
I,0.49,8
F,0.585,11
F,0.62,9
F,0.705,10
M,0.53,10
M,0.425,7
M,0.665,27
M,0.385,7
M,0.55,10
M,0.69,19
F,0.55,9
I,0.19,6
M,0.445,9
M,0.645,15
F,0.65,13
M,0.42,8
F,0.625,16
M,0.555,13
M,0.6,13
F,0.645,11
F,0.72,13
F,0.52,14
F,0.67,13
I,0.485,8
M,0.475,10
F,0.52,10
M,0.53,12
F,0.45,9
M,0.585,17
I,0.435,12
F,0.44,11
I,0.625,14
I,0.555,15
M,0.5,11
M,0.51,16
F,0.59,12
M,0.39,8
M,0.49,15
I,0.415,7
I,0.415,6
I,0.42,8
M,0.54,9
I,0.37,6
I,0.38,6
F,0.46,6
M,0.48,8
F,0.62,10
F,0.62,9
F,0.635,11
I,0.475,7
I,0.5,8
F,0.545,9
M,0.565,9
M,0.595,9
F,0.605,10
F,0.625,9
M,0.625,10
M,0.65,9
I,0.37,7
I,0.385,8
I,0.405,8
I,0.405,6
I,0.43,7
M,0.48,11
F,0.66,11
I,0.5,8
M,0.665,11
F,0.72,12
M,0.735,10
I,0.315,4
I,0.335,7
I,0.425,8
I,0.505,9
I,0.575,9
M,0.575,8
I,0.605,10
M,0.61,11
M,0.67,9
M,0.69,13
M,0.745,12
F,0.51,9
M,0.535,13
M,0.56,9
M,0.64,9
I,0.455,9
I,0.47,8
I,0.52,11
I,0.52,11
I,0.535,9
I,0.55,11
F,0.57,10
M,0.6,12
F,0.64,9
F,0.625,9
M,0.54,7
F,0.34,6
M,0.5,11
F,0.545,18
F,0.62,17
F,0.635,17
F,0.6,10
M,0.41,12
F,0.61,12
M,0.695,14
F,0.69,15
F,0.61,15
M,0.505,9
F,0.655,12
M,0.41,11
I,0.6,16
M,0.44,16
I,0.375,12
I,0.54,17
I,0.47,10
I,0.435,10
F,0.475,13
M,0.515,13
M,0.545,18
M,0.365,9
M,0.455,13
M,0.37,8
I,0.415,6
M,0.61,9
F,0.63,11
I,0.25,4
M,0.64,9
F,0.665,11
M,0.72,11
I,0.47,7
I,0.47,7
I,0.475,8
F,0.53,8
F,0.585,9
M,0.61,10
F,0.72,11
I,0.36,7
I,0.45,8
M,0.505,8
M,0.6,11
F,0.625,10
M,0.625,11
M,0.715,12
F,0.51,7
M,0.655,10
I,0.27,6
I,0.295,5
I,0.37,6
I,0.53,9
M,0.545,9
I,0.55,9
F,0.6,10
I,0.625,11
M,0.67,11
I,0.36,7
F,0.485,7
I,0.51,10
M,0.625,9
I,0.285,5
I,0.475,8
F,0.575,9
F,0.62,11
F,0.675,11
M,0.695,13
M,0.425,9
F,0.61,12
I,0.35,8
F,0.68,10
F,0.71,12
F,0.46,14
F,0.425,7
M,0.52,8
F,0.53,9
I,0.37,6
M,0.445,9
I,0.335,9
M,0.655,16
F,0.56,12
I,0.565,11
M,0.375,10
F,0.475,13
F,0.54,15
M,0.55,14
F,0.465,13
F,0.61,9
I,0.27,4
I,0.58,6
F,0.645,10
F,0.67,11
I,0.245,5
M,0.52,10
M,0.585,9
M,0.66,8
I,0.54,10
I,0.55,11
F,0.575,12
F,0.695,10
I,0.5,8
M,0.56,11
M,0.63,11
F,0.57,9
I,0.58,11
M,0.63,11
F,0.655,13
I,0.39,7
I,0.475,10
M,0.56,8
