@relation abalone

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.18,15
M,0.19,15
M,0.155,15
M,0.23,15
M,0.165,15
M,0.14,15
F,0.13,15
M,0.2,15
M,0.12,15
F,0.14,15
M,0.175,15
M,0.095,15
M,0.115,15
F,0.14,15
F,0.15,15
F,0.185,15
I,0.18,15
M,0.15,15
M,0.16,15
M,0.175,15
F,0.185,15
F,0.12,15
F,0.165,15
F,0.19,15
M,0.195,15
I,0.145,15
I,0.16,15
M,0.15,15
F,0.145,15
M,0.145,15
M,0.185,15
F,0.145,15
F,0.16,15
I,0.17,15
F,0.17,15
F,0.15,15
F,0.17,15
F,0.145,15
I,0.105,15
F,0.185,15
F,0.195,15
M,0.21,15
I,0.14,15
M,0.155,15
I,0.17,15
F,0.2,15
F,0.19,15
M,0.19,15
M,0.185,15
M,0.2,15
M,0.115,15
M,0.135,15
M,0.225,15
F,0.15,15
F,0.16,15
M,0.195,15
M,0.165,15
F,0.225,15
F,0.125,15
F,0.175,15
M,0.12,15
M,0.135,15
F,0.16,15
F,0.135,15
F,0.14,15
M,0.13,15
M,0.18,15
M,0.175,15
I,0.145,15
M,0.165,15
F,0.185,15
F,0.18,15
F,0.175,15
M,0.14,15
F,0.185,15
F,0.145,15
M,0.16,15
M,0.145,15
M,0.16,15
M,0.12,15
M,0.14,15
M,0.16,15
F,0.175,15
F,0.145,15
F,0.15,15
M,0.145,15
I,0.125,15
M,0.17,15
F,0.225,15
M,0.125,15
M,0.175,15
M,0.175,15
M,0.14,15
I,0.11,7
I,0.115,7
M,0.125,7
M,0.09,7
I,0.075,7
I,0.075,7
I,0.09,7
I,0.1,7
I,0.09,7
I,0.08,7
M,0.11,7
I,0.11,7
I,0.085,7
I,0.11,7
I,0.11,7
F,0.135,7
I,0.095,7
I,0.08,7
F,0.12,7
I,0.105,7
M,0.16,7
I,0.11,7
M,0.14,7
I,0.095,7
I,0.115,7
F,0.105,7
I,0.115,7
I,0.12,7
M,0.125,7
I,0.09,7
I,0.085,7
I,0.095,7
I,0.09,7
I,0.11,7
I,0.085,7
I,0.115,7
I,0.105,7
M,0.08,7
I,0.12,7
M,0.115,7
I,0.09,7
I,0.075,7
I,0.11,7
M,0.09,7
F,0.15,7
I,0.105,7
M,0.155,7
I,0.075,7
I,0.085,7
M,0.075,7
M,0.12,7
I,0.135,7
I,0.09,7
F,0.11,7
F,0.12,7
I,0.09,7
I,0.085,7
I,0.125,7
I,0.095,7
I,0.095,7
M,0.095,7
I,0.08,7
I,0.09,7
I,0.09,7
I,0.1,7
M,0.105,7
I,0.065,7
F,0.125,7
M,0.075,7
I,0.095,7
M,0.045,7
I,0.105,7
I,0.13,7
I,0.12,7
I,0.1,7
I,0.085,7
I,0.08,7
M,0.095,7
I,0.115,7
I,0.115,7
M,0.075,7
I,0.105,7
I,0.095,7
F,0.09,7
M,0.14,7
I,0.1,7
F,0.125,7
M,0.125,7
I,0.145,7
I,0.1,7
I,0.125,7
I,0.11,7
I,0.1,7
I,0.09,7
I,0.115,7
