@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4,9'

@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.125,16
0.08,7
0.1,10
0.185,11
0.14,11
0.135,11
0.16,9
0.12,8
0.13,10
0.11,8
0.175,11
0.14,9
0.16,12
0.13,7
0.135,9
0.115,8
0.095,9
0.17,13
0.215,14
0.045,4
0.15,11
0.175,21
0.19,13
0.185,10
0.145,12
0.14,9
0.135,10
0.135,9
0.125,7
0.165,11
0.08,9
0.185,19
0.16,10
0.155,11
0.155,13
0.24,18
0.185,15
0.1,8
0.24,13
0.19,21
0.19,14
0.09,7
0.13,12
0.105,8
0.19,11
0.17,9
0.12,10
0.18,15
0.125,10
0.14,10
0.12,16
0.12,12
0.105,10
0.135,9
0.12,10
0.12,9
0.15,19
0.165,14
0.175,12
0.225,15
0.19,13
0.235,12
0.115,9
0.055,5
0.13,11
0.075,7
0.14,15
0.145,17
0.09,9
0.09,12
0.125,18
0.085,7
0.095,10
0.125,10
0.075,6
0.11,10
0.12,19
0.145,14
0.155,17
0.15,23
0.185,16
0.12,9
0.09,7
0.05,4
0.105,16
0.135,14
0.125,9
0.1,11
0.13,13
0.125,12
0.175,20
0.135,17
0.19,14
0.15,11
0.165,11
0.06,5
0.135,12
0.165,12
0.14,6
0.095,6
0.1,6
0.115,9
0.1,7
0.105,9
0.16,6
0.16,11
0.22,11
0.06,6
0.095,6
0.115,5
0.1,6
0.12,8
0.105,8
0.105,7
0.145,6
0.135,7
0.14,8
0.155,9
0.16,8
0.155,9
0.15,8
0.175,11
0.04,4
0.055,6
0.115,7
0.125,8
0.125,8
0.125,6
0.125,9
0.15,10
0.16,8
0.155,8
0.175,9
0.15,9
0.14,9
0.195,9
0.16,8
0.2,8
0.215,14
0.18,9
0.195,10
0.185,11
0.09,6
0.085,5
0.095,5
0.115,8
0.135,9
0.15,9
0.145,10
0.15,9
0.135,8
0.175,11
0.15,11
0.15,10
0.18,12
0.16,10
0.16,11
0.19,10
0.17,11
0.035,3
0.06,4
0.08,5
0.09,7
0.105,5
0.12,7
0.16,9
0.17,11
0.215,11
0.07,6
0.075,7
0.095,7
0.09,7
0.125,9
0.135,8
0.14,10
0.15,10
0.145,10
0.145,9
0.17,9
0.175,13
0.17,11
0.165,10
0.16,9
0.2,12
0.215,11
0.09,5
0.16,10
0.185,10
0.175,9
0.145,10
0.195,9
0.12,8
0.115,7
0.14,8
0.16,9
0.14,9
0.175,9
0.175,9
0.12,9
0.155,11
0.195,15
0.145,11
0.16,12
0.165,10
0.135,10
0.155,13
0.215,13
0.065,6
0.095,7
0.11,8
0.13,9
0.15,10
0.065,5
0.09,9
0.14,8
0.21,10
0.115,8
0.09,7
0.11,9
0.13,8
0.12,8
0.125,9
0.1,7
0.125,10
0.07,7
0.115,8
0.17,20
0.125,9
0.195,17
0.23,17
0.08,7
0.15,14
0.075,7
0.11,8
0.14,9
0.2,15
0.07,8
0.2,17
0.135,13
0.205,18
0.09,10
0.155,12
0.14,14
0.125,16
0.16,14
0.12,10
0.17,13
0.17,16
0.125,10
0.09,10
0.08,8
0.14,11
0.13,13
0.17,11
0.175,20
0.18,8
0.155,14
0.11,8
0.15,9
0.165,9
0.175,10
0.165,12
0.11,7
0.14,7
0.15,9
0.18,12
0.06,5
0.075,6
0.1,6
0.11,7
0.105,7
0.115,7
0.12,7
0.135,7
0.14,9
0.16,9
0.08,6
0.11,8
0.1,7
0.1,8
0.145,8
0.11,8
0.15,10
0.155,10
0.175,10
0.145,11
0.14,9
0.205,13
0.2,11
0.09,7
0.135,8
0.165,10
0.19,11
0.08,5
0.15,10
0.15,8
0.17,9
0.135,9
0.165,10
0.165,10
0.145,10
0.19,11
0.18,11
0.2,12
0.17,12
0.095,6
0.15,10
0.17,10
0.145,9
0.135,9
0.16,9
0.17,13
0.2,11
0.06,6
0.085,8
0.14,10
0.135,10
0.11,9
0.14,15
0.115,15
0.155,10
0.09,6
0.025,5
0.16,10
0.125,14
0.14,12
0.145,11
0.135,13
0.15,12
0.165,18
0.135,11
0.14,13
0.13,12
0.115,11
0.105,12
0.135,12
0.08,8
0.12,15
0.15,16
0.065,6
0.09,7
0.095,6
0.145,8
0.165,8
0.155,10
0.18,10
0.05,3
0.085,6
0.105,8
0.145,10
0.085,6
0.075,6
0.12,8
0.135,8
0.13,8
0.135,8
0.155,10
0.155,9
0.15,11
0.165,9
0.15,11
0.18,11
0.095,8
0.09,8
0.12,8
0.105,7
0.14,10
0.155,11
0.14,9
0.165,12
0.16,10
0.175,11
0.17,11
0.175,12
0.18,10
0.185,11
0.1,7
0.095,7
0.105,9
0.12,9
0.16,10
0.135,10
0.15,11
0.125,9
0.15,8
0.14,8
0.155,10
0.135,9
0.17,11
0.1,9
0.16,15
0.12,7
0.1,12
0.2,12
0.02,4
0.15,13
0.135,9
0.185,11
0.105,6
0.155,10
0.1,8
0.11,7
0.125,10
0.14,8
0.16,13
0.145,13
0.15,9
0.175,13
0.155,11
0.175,9
0.145,11
0.09,7
0.11,8
0.135,9
0.125,8
0.165,10
0.135,10
