@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,9'

@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.425,0.768,0.294,16
0.295,0.2555,0.097,7
0.275,0.2255,0.08,10
0.45,0.9955,0.3945,11
0.425,0.8635,0.393,11
0.445,0.883,0.381,11
0.425,0.8355,0.3545,9
0.35,0.4425,0.192,8
0.41,0.6965,0.302,10
0.32,0.353,0.1405,8
0.48,1.185,0.474,11
0.445,0.941,0.3845,9
0.45,0.9775,0.3135,12
0.37,0.5225,0.201,7
0.39,0.6335,0.231,9
0.33,0.406,0.1635,8
0.285,0.253,0.096,9
0.455,0.9075,0.374,13
0.55,1.9565,0.7125,14
0.16,0.0465,0.025,4
0.475,0.97,0.385,11
0.51,1.368,0.515,21
0.49,1.218,0.5455,13
0.5,1.383,0.54,10
0.4,0.63,0.234,12
0.34,0.482,0.186,9
0.36,0.501,0.1665,10
0.37,0.45,0.1715,9
0.29,0.3055,0.121,7
0.465,1.1015,0.404,11
0.225,0.124,0.0485,9
0.45,1.07,0.3805,19
0.46,0.8975,0.341,10
0.475,0.928,0.394,11
0.515,1.259,0.4105,13
0.5,1.642,0.532,18
0.415,0.8415,0.314,15
0.28,0.252,0.1065,8
0.515,1.5415,0.471,13
0.485,1.2435,0.4635,21
0.535,1.242,0.576,14
0.275,0.251,0.097,7
0.4,0.6435,0.27,12
0.295,0.241,0.0865,8
0.465,1.3415,0.5705,11
0.455,0.93,0.408,9
0.455,1.0735,0.479,10
0.47,1.1405,0.3755,15
0.375,0.593,0.277,10
0.395,0.7155,0.3165,10
0.485,0.911,0.39,16
0.44,0.8565,0.3475,12
0.325,0.3635,0.159,10
0.44,0.7835,0.313,9
0.405,0.646,0.2895,10
0.34,0.3575,0.151,9
0.46,0.9955,0.429,19
0.455,1.0595,0.44,14
0.52,1.248,0.4245,12
0.47,1.115,0.378,15
0.505,1.129,0.4385,13
0.46,0.8395,0.3325,12
0.29,0.2795,0.1115,9
0.14,0.035,0.0145,5
0.38,0.454,0.1895,11
0.23,0.1165,0.043,7
0.375,0.604,0.242,15
0.42,0.926,0.398,17
0.27,0.195,0.078,9
0.265,0.1775,0.0575,12
0.37,0.4775,0.185,18
0.24,0.17,0.0655,7
0.335,0.322,0.1205,10
0.365,0.467,0.1895,10
0.215,0.1145,0.045,6
0.28,0.2305,0.0945,10
0.355,0.412,0.1145,19
0.385,0.6175,0.235,14
0.38,0.655,0.2405,17
0.385,0.7865,0.241,23
0.405,0.8345,0.3175,16
0.29,0.283,0.1175,9
0.23,0.1285,0.043,7
0.105,0.0175,0.005,4
0.315,0.3515,0.1185,16
0.385,0.536,0.1895,14
0.3,0.417,0.191,9
0.3,0.2465,0.104,11
0.38,0.656,0.227,13
0.405,0.6435,0.2415,12
0.515,1.4805,0.5295,20
0.44,0.959,0.2385,17
0.51,1.613,0.6215,14
0.45,0.978,0.3365,11
0.41,0.732,0.189,11
0.155,0.0525,0.021,5
0.385,0.709,0.211,12
0.465,0.8875,0.309,12
0.275,0.2215,0.097,6
0.29,0.312,0.143,6
0.305,0.325,0.156,6
0.365,0.501,0.2435,9
0.335,0.4895,0.2745,7
0.355,0.498,0.2175,9
0.475,1.1405,0.547,6
0.505,1.3725,0.6285,11
0.56,1.834,0.8455,11
0.195,0.092,0.0345,6
0.23,0.1385,0.056,6
0.32,0.376,0.169,5
0.315,0.377,0.1645,6
0.325,0.3995,0.1815,8
0.355,0.4445,0.197,8
0.345,0.449,0.196,7
0.385,0.64,0.2925,6
0.385,0.6425,0.3195,7
0.415,0.724,0.3475,8
0.445,0.9905,0.544,9
0.47,1.206,0.479,8
0.475,1.161,0.572,9
0.48,1.1785,0.5185,8
0.49,1.375,0.623,11
0.135,0.0325,0.0135,4
0.235,0.151,0.065,6
0.345,0.418,0.222,7
0.365,0.462,0.2135,8
0.38,0.6245,0.3395,8
0.4,0.545,0.261,6
0.39,0.599,0.2595,9
0.425,0.8315,0.411,10
0.445,0.8965,0.42,8
0.44,0.6405,0.336,8
0.45,1.0095,0.447,9
0.46,1.0375,0.5415,9
0.435,0.8455,0.401,9
0.455,1.859,0.945,9
0.485,1.0145,0.5315,8
0.45,0.858,0.4285,8
0.54,1.7025,0.664,14
0.565,1.751,0.895,9
0.58,2.103,1.0265,10
0.585,2.124,0.952,11
0.195,0.1125,0.0545,6
