@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,8-9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.44,0.3,11
F,0.335,0.115,9
I,0.41,0.19,8
M,0.325,0.1,7
M,0.51,0.675,12
M,0.475,0.58,21
M,0.465,0.4,13
M,0.435,0.25,9
F,0.375,0.155,10
F,0.4,0.22,10
M,0.34,0.165,10
I,0.195,0.03,5
F,0.35,0.129,9
M,0.375,0.17,10
F,0.545,0.815,16
F,0.575,0.85,20
F,0.475,0.325,10
F,0.48,0.315,11
M,0.46,0.285,10
F,0.325,0.12,12
M,0.445,0.275,13
I,0.23,0.04,8
F,0.455,0.3,12
M,0.45,0.37,15
F,0.505,0.365,15
I,0.205,0.035,6
M,0.395,0.15,11
F,0.305,0.1,9
I,0.12,0.005,3
M,0.44,0.265,14
M,0.485,0.46,23
M,0.35,0.12,10
M,0.265,0.075,7
M,0.475,0.33,13
I,0.31,0.115,11
M,0.455,0.31,11
M,0.44,0.235,8
M,0.5,0.34,15
F,0.5,0.4,20
I,0.38,0.155,11
I,0.2,0.03,6
M,0.455,0.32,18
M,0.42,0.255,22
M,0.41,0.22,11
I,0.31,0.0995,10
M,0.455,0.365,15
M,0.435,0.25,11
F,0.38,0.21,10
F,0.195,0.025,5
M,0.11,0.005,3
I,0.405,0.179,11
M,0.325,0.1135,15
I,0.425,0.255,11
I,0.355,0.168,12
I,0.35,0.1275,16
I,0.475,0.345,10
F,0.31,0.095,13
F,0.3,0.0865,13
I,0.345,0.166,11
F,0.345,0.1515,12
M,0.345,0.148,13
I,0.38,0.195,18
I,0.36,0.14,15
F,0.34,0.1405,7
F,0.45,0.315,19
F,0.475,0.33,11
F,0.34,0.12,10
F,0.295,0.08,10
I,0.275,0.07,7
F,0.4,0.21,13
M,0.44,0.295,11
F,0.26,0.0765,10
M,0.265,0.0695,8
M,0.255,0.063,9
I,0.2,0.03,7
F,0.375,0.155,12
F,0.405,0.26,17
M,0.435,0.255,10
M,0.42,0.2885,11
M,0.405,0.285,12
I,0.365,0.172,9
M,0.4,0.166,9
M,0.45,0.265,10
M,0.475,0.3095,9
F,0.52,0.345,10
M,0.505,0.406,14
M,0.595,0.897,17
I,0.14,0.0135,6
I,0.175,0.021,5
I,0.18,0.02,4
I,0.23,0.0385,5
I,0.22,0.037,5
I,0.235,0.0425,6
I,0.29,0.067,6
I,0.315,0.09,6
I,0.355,0.1465,7
M,0.435,0.2195,8
F,0.455,0.27,8
F,0.49,0.295,9
F,0.475,0.349,10
M,0.525,0.3745,10
F,0.46,0.1825,9
I,0.13,0.0095,4
I,0.32,0.087,6
I,0.3,0.1035,7
I,0.33,0.12,7
I,0.33,0.0975,7
I,0.33,0.102,6
M,0.41,0.19,9
M,0.415,0.205,8
M,0.455,0.26,9
M,0.46,0.235,9
F,0.47,0.292,9
F,0.48,0.281,8
F,0.48,0.305,10
M,0.525,0.34,8
M,0.56,0.4375,10
M,0.565,0.5,11
F,0.63,0.586,11
I,0.215,0.038,5
I,0.255,0.055,6
I,0.275,0.0775,6
I,0.305,0.0945,8
I,0.335,0.17,7
I,0.355,0.115,8
I,0.38,0.1565,9
M,0.42,0.2065,9
I,0.41,0.196,9
I,0.42,0.192,10
I,0.42,0.229,9
F,0.405,0.2,9
I,0.425,0.225,9
F,0.45,0.225,8
I,0.44,0.202,10
M,0.435,0.275,9
M,0.46,0.274,10
I,0.445,0.23,9
M,0.49,0.315,10
M,0.48,0.3,9
M,0.51,0.39,10
M,0.495,0.315,12
M,0.51,0.345,11
F,0.53,0.3725,11
F,0.505,0.3745,10
F,0.6,0.595,11
I,0.29,0.0815,7
M,0.315,0.103,9
M,0.32,0.1025,8
I,0.335,0.1065,7
M,0.39,0.198,8
F,0.485,0.2765,11
F,0.515,0.415,10
F,0.5,0.3195,9
F,0.54,0.444,11
M,0.525,0.461,12
M,0.555,0.595,11
I,0.285,0.077,7
I,0.3,0.0955,8
I,0.335,0.1345,7
M,0.425,0.2645,10
I,0.42,0.231,9
F,0.44,0.27,9
M,0.44,0.215,9
F,0.45,0.21,8
I,0.435,0.25,9
I,0.45,0.265,10
I,0.46,0.26,11
F,0.46,0.3,8
F,0.48,0.24,8
I,0.465,0.26,9
F,0.49,0.305,10
F,0.495,0.335,9
M,0.525,0.353,11
M,0.52,0.3,11
F,0.54,0.465,11
F,0.565,0.438,11
F,0.535,0.512,15
F,0.525,0.435,7
M,0.63,0.578,12
M,0.32,0.117,7
I,0.325,0.211,8
I,0.345,0.1215,8
F,0.415,0.403,10
M,0.455,0.29,9
M,0.495,0.3185,9
F,0.475,0.31,8
F,0.545,0.4645,13
I,0.27,0.07,6
I,0.335,0.098,7
I,0.33,0.11,7
I,0.415,0.245,10
I,0.405,0.1875,9
I,0.45,0.23,6
F,0.45,0.225,9
M,0.485,0.335,12
F,0.51,0.4675,12
M,0.49,0.3385,11
M,0.515,0.436,12
F,0.535,0.4395,10
I,0.325,0.095,7
I,0.365,0.1365,8
M,0.385,0.1535,10
I,0.19,0.025,5
I,0.215,0.033,5
I,0.255,0.057,8
I,0.295,0.082,7
I,0.305,0.0805,7
I,0.32,0.12,8
M,0.35,0.135,8
F,0.38,0.1955,7
I,0.35,0.158,8
F,0.47,0.3375,10
M,0.57,0.6585,17
F,0.455,0.31,10
M,0.31,0.115,8
I,0.2,0.035,5
F,0.565,0.49,11
M,0.305,0.095,5
F,0.5,0.355,13
M,0.43,0.355,13
M,0.4,0.35,6
F,0.375,0.19,13
I,0.28,0.08,7
F,0.435,0.33,15
M,0.465,0.4,17
M,0.36,0.165,10
F,0.46,0.38,14
M,0.495,0.53,14
F,0.465,0.295,13
M,0.405,0.17,9
M,0.36,0.17,8
M,0.49,0.285,11
I,0.345,0.115,9
M,0.55,0.4,21
F,0.565,0.565,17
M,0.43,0.2515,16
M,0.47,0.4,13
M,0.545,0.48,15
M,0.29,0.069,10
F,0.5,0.36,8
M,0.235,0.04,11
F,0.515,0.555,16
I,0.5,0.49,16
M,0.355,0.145,13
M,0.38,0.18,12
M,0.325,0.105,9
M,0.49,0.31,14
M,0.485,0.38,18
M,0.4,0.21,12
F,0.415,0.275,14
M,0.325,0.113,7
M,0.36,0.225,12
M,0.4,0.25,15
I,0.255,0.0525,6
M,0.46,0.325,11
I,0.35,0.118,6
I,0.385,0.136,7
M,0.375,0.1485,7
M,0.415,0.202,7
F,0.445,0.2425,8
M,0.48,0.264,8
F,0.49,0.3185,9
M,0.5,0.3775,12
I,0.32,0.09,7
I,0.34,0.103,7
M,0.38,0.15,8
I,0.395,0.167,8
F,0.45,0.225,7
M,0.47,0.249,8
F,0.465,0.265,8
F,0.475,0.2345,9
M,0.45,0.2505,7
F,0.47,0.246,9
M,0.55,0.5085,9
I,0.245,0.053,6
I,0.255,0.058,7
I,0.3,0.081,7
I,0.305,0.085,7
I,0.38,0.165,9
