@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4,9'

@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.11,10
0.085,7
0.175,19
0.155,16
0.05,4
0.12,10
0.14,14
0.165,10
0.145,15
0.085,7
0.09,7
0.065,7
0.19,10
0.16,10
0.13,10
0.16,15
0.12,7
0.13,8
0.065,5
0.18,13
0.17,10
0.105,9
0.155,18
0.09,8
0.195,16
0.195,15
0.205,14
0.17,16
0.15,16
0.145,10
0.145,8
0.16,19
0.1,13
0.095,14
0.19,9
0.185,13
0.185,16
0.14,11
0.105,9
0.07,6
0.055,5
0.05,5
0.155,17
0.13,13
0.155,11
0.175,15
0.18,12
0.155,16
0.05,3
0.13,13
0.16,17
0.155,13
0.145,13
0.115,11
0.155,20
0.15,14
0.14,14
0.115,9
0.145,12
0.14,12
0.075,9
0.055,7
0.115,9
0.12,11
0.09,6
0.155,13
0.18,22
0.115,11
0.13,11
0.12,15
0.135,14
0.09,10
0.14,9
0.165,13
0.135,9
0.11,9
0.125,15
0.13,8
0.125,9
0.15,9
0.175,11
0.15,10
0.205,17
0.155,9
0.11,7
0.12,8
0.13,9
0.15,8
0.145,8
0.155,7
0.17,7
0.18,8
0.165,11
0.18,11
0.16,9
0.175,10
0.18,6
0.175,8
0.04,4
0.055,7
0.1,6
0.115,7
0.125,6
0.14,7
0.125,7
0.115,8
0.14,9
0.12,8
0.125,8
0.165,9
0.16,9
0.175,10
0.19,12
0.17,9
0.185,12
0.075,6
0.11,6
0.1,5
0.11,7
0.105,9
0.105,8
0.1,8
0.12,8
0.1,8
0.13,8
0.12,7
0.14,9
0.145,10
0.155,10
0.16,10
0.155,11
0.16,12
0.16,10
0.175,11
0.175,9
0.175,11
0.17,10
0.19,10
0.17,13
0.11,8
0.12,6
0.135,9
0.14,9
0.165,8
0.2,9
0.165,9
0.175,10
0.14,8
0.19,10
0.185,12
0.17,11
0.24,13
0.075,6
0.075,7
0.095,7
0.12,9
0.125,8
0.13,7
0.145,9
0.12,9
0.15,10
0.155,9
0.125,9
0.17,8
0.18,10
0.165,9
0.145,8
0.155,10
0.16,10
0.165,11
0.16,11
0.165,11
0.15,9
0.175,11
0.19,14
0.19,12
0.195,11
0.155,10
0.215,11
0.19,11
0.205,12
0.195,12
0.105,6
0.15,10
0.19,11
0.175,9
0.185,10
0.21,11
0.13,7
0.145,11
0.17,9
0.18,12
0.205,12
0.07,6
0.085,7
0.085,7
0.135,10
0.14,9
0.135,9
0.16,9
0.12,8
0.15,7
0.215,12
0.18,10
0.1,10
0.17,13
0.09,7
0.125,10
0.1,7
0.08,6
0.115,8
0.135,12
0.14,10
0.105,10
0.075,5
0.18,27
0.135,7
0.2,11
0.175,14
0.23,14
0.13,11
0.155,15
0.135,9
0.175,17
0.21,20
0.2,13
0.11,8
0.15,11
0.115,12
0.135,11
0.09,10
0.17,17
0.145,12
0.13,18
0.065,6
0.155,14
0.16,23
0.17,14
0.105,9
0.145,13
0.145,11
0.09,6
0.135,7
0.135,9
0.185,10
0.115,6
0.105,8
0.125,8
0.14,6
0.155,7
0.155,9
0.145,9
0.205,13
0.215,10
0.125,9
0.185,11
0.125,9
0.2,11
0.19,13
0.1,8
0.14,7
0.13,8
0.145,10
0.155,9
0.14,10
0.145,9
0.15,10
0.155,11
0.05,5
0.095,5
0.135,9
0.15,9
0.15,10
0.175,9
0.13,8
0.19,11
0.095,7
0.13,9
0.125,8
0.125,8
0.15,8
0.17,10
0.15,9
0.17,13
0.16,11
0.2,12
0.16,13
0.175,9
0.205,12
0.155,8
0.115,7
0.165,8
0.17,11
0.1,7
0.09,8
0.105,9
0.125,8
0.145,10
0.155,10
0.195,11
0.115,9
0.125,10
0.145,11
0.18,8
0.065,5
0.1,5
0.17,10
0.125,11
0.14,10
0.175,21
0.19,13
0.175,18
0.1,8
0.205,19
0.165,11
0.135,14
0.11,12
0.155,11
0.145,15
0.12,12
0.19,17
0.115,10
0.125,12
0.105,8
0.185,12
0.13,13
0.115,11
0.125,12
0.135,16
0.16,18
0.11,9
0.055,4
0.1,7
0.11,7
0.16,10
0.18,10
0.175,9
0.06,4
0.07,4
0.085,6
0.11,8
0.125,9
0.135,9
0.13,9
0.125,9
0.14,10
0.15,8
0.16,9
0.155,12
0.09,5
0.115,8
0.14,8
0.155,7
0.1,6
0.13,9
0.14,8
0.155,10
0.145,10
0.175,10
0.195,11
0.17,11
0.17,10
0.135,9
0.19,10
0.1,6
0.11,8
0.12,9
0.175,10
0.1,7
0.095,6
0.1,8
0.12,8
0.14,9
0.145,10
0.175,10
0.15,11
0.075,6
0.155,14
0.155,9
0.225,15
0.17,15
0.1,7
0.135,12
0.18,13
0.165,12
0.08,5
0.195,11
0.205,10
0.065,6
0.12,8
0.165,8
0,6
0.09,6
0.175,8
0.19,11
0.11,8
0.125,7
0.155,11
0.155,10
0.16,9
0.175,10
0.12,8
0.08,6
0.085,7
0.125,7
0.155,8
0.18,9
0.16,9
0.185,11
0.05,4
0.17,10
0.17,11
0.19,10
0.19,11
0.095,6
0.14,8
0.1,8
