@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6,8-9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.455,0.514,0.2245,0.15,15
I,0.205,0.042,0.0255,0.012,5
F,0.5,0.6615,0.2565,0.22,8
M,0.47,0.5895,0.2765,0.17,8
F,0.565,0.915,0.354,0.32,12
M,0.56,0.8645,0.3305,0.26,10
M,0.665,1.606,0.5755,0.48,14
I,0.36,0.2315,0.105,0.075,7
M,0.465,0.431,0.172,0.175,9
M,0.595,1.262,0.4835,0.41,17
F,0.305,0.156,0.0675,0.048,7
F,0.55,0.741,0.295,0.2665,10
M,0.65,1.3445,0.519,0.4465,16
F,0.605,1.1185,0.469,0.335,9
F,0.565,0.9885,0.387,0.31,12
F,0.575,1.124,0.2985,0.44,13
F,0.68,1.842,0.625,0.65,20
M,0.525,1.065,0.486,0.285,8
I,0.36,0.1785,0.0645,0.075,7
I,0.315,0.1435,0.053,0.05,8
F,0.56,1.0235,0.429,0.3,10
F,0.525,0.8325,0.2755,0.31,13
F,0.53,0.783,0.2935,0.245,15
I,0.075,0.002,0.001,0.0015,1
I,0.33,0.1715,0.0655,0.06,7
F,0.57,0.865,0.3675,0.27,12
M,0.62,1.219,0.3875,0.385,14
F,0.515,0.712,0.2665,0.25,11
F,0.565,1.013,0.342,0.35,19
F,0.62,1.2255,0.381,0.435,23
I,0.19,0.038,0.0165,0.015,4
M,0.62,1.274,0.579,0.32,12
I,0.34,0.2,0.08,0.055,6
F,0.62,1.186,0.4985,0.35,12
M,0.63,1.13,0.458,0.315,12
F,0.69,1.719,0.68,0.47,17
F,0.585,1.077,0.4995,0.25,10
F,0.455,0.4925,0.216,0.135,9
I,0.365,0.25,0.1075,0.08,9
M,0.515,0.7225,0.295,0.235,9
M,0.63,1.352,0.488,0.45,20
M,0.58,1.068,0.425,0.32,13
F,0.575,1.0475,0.3775,0.385,18
M,0.5,0.6885,0.249,0.25,13
F,0.675,1.41,0.592,0.42,16
F,0.525,0.7085,0.293,0.235,11
I,0.255,0.0735,0.0255,0.025,6
M,0.555,0.874,0.3275,0.305,10
M,0.6,1.105,0.4865,0.315,15
M,0.235,0.0545,0.0265,0.015,4
F,0.57,0.733,0.282,0.235,14
F,0.57,0.9715,0.3965,0.26,12
I,0.47,0.4985,0.2095,0.145,10
M,0.445,0.3615,0.1565,0.117,8
M,0.32,0.1555,0.0585,0.049,11
M,0.205,0.0425,0.017,0.0155,7
I,0.56,0.8,0.335,0.25,12
I,0.485,0.591,0.287,0.12,9
I,0.56,0.9175,0.4005,0.26,10
F,0.585,0.982,0.4055,0.27,10
F,0.645,1.4635,0.6615,0.435,19
M,0.37,0.228,0.0675,0.081,10
I,0.44,0.487,0.1965,0.16,14
M,0.33,0.1875,0.0735,0.06,7
F,0.555,0.97,0.336,0.295,17
I,0.535,0.781,0.3055,0.295,11
F,0.45,0.5425,0.1765,0.175,13
M,0.4,0.297,0.108,0.1,10
M,0.695,1.5165,0.578,0.39,15
F,0.605,1.437,0.469,0.41,15
F,0.55,0.946,0.313,0.335,16
F,0.61,1.153,0.403,0.32,14
M,0.385,0.2685,0.0975,0.085,8
M,0.49,0.6385,0.2305,0.195,13
F,0.425,0.3665,0.125,0.117,11
I,0.385,0.2895,0.1215,0.09,7
I,0.425,0.398,0.1185,0.0945,6
F,0.54,0.805,0.369,0.21,11
F,0.545,0.9185,0.429,0.2375,10
F,0.605,1.382,0.609,0.3985,10
F,0.615,1.377,0.5585,0.292,12
M,0.615,1.296,0.545,0.32,9
M,0.635,1.3555,0.619,0.39,9
M,0.65,1.4715,0.675,0.399,11
F,0.67,1.309,0.5445,0.413,10
I,0.255,0.083,0.0295,0.027,6
I,0.335,0.186,0.0945,0.0445,7
I,0.375,0.215,0.084,0.055,6
I,0.46,0.4635,0.2325,0.115,7
I,0.505,0.601,0.25,0.185,8
I,0.51,0.769,0.3655,0.18,7
M,0.535,0.7165,0.2855,0.2155,8
F,0.58,1.137,0.5585,0.29,8
M,0.61,1.168,0.554,0.3295,10
M,0.625,1.3325,0.5705,0.405,10
F,0.625,1.38,0.5845,0.401,9
M,0.645,1.561,0.709,0.4,8
F,0.645,1.2465,0.5475,0.3,10
F,0.645,1.212,0.515,0.385,10
M,0.67,1.6085,0.682,0.4005,11
F,0.705,1.685,0.693,0.4045,12
I,0.375,0.2345,0.1125,0.067,6
I,0.41,0.282,0.1255,0.0875,7
I,0.41,0.3245,0.132,0.106,6
M,0.47,0.544,0.27,0.129,7
I,0.5,0.519,0.2485,0.134,8
I,0.51,0.5575,0.2615,0.1525,9
I,0.515,0.6115,0.3175,0.15,8
M,0.545,0.82,0.4615,0.218,9
M,0.565,0.9595,0.4565,0.23,9
I,0.57,0.755,0.3425,0.224,8
I,0.575,0.805,0.3155,0.245,10
M,0.585,0.9555,0.4595,0.265,7
M,0.6,1.0165,0.512,0.225,10
F,0.615,1.027,0.447,0.285,9
F,0.625,1.3745,0.7335,0.332,9
M,0.625,1.2065,0.587,0.286,8
M,0.685,1.519,0.699,0.4,10
M,0.715,2.0045,1.0465,0.5075,12
I,0.245,0.0765,0.034,0.0215,4
I,0.365,0.1875,0.081,0.058,6
I,0.365,0.196,0.0825,0.06,7
I,0.375,0.2025,0.0825,0.065,8
I,0.385,0.2175,0.097,0.067,8
I,0.435,0.3685,0.1615,0.12,7
I,0.46,0.3705,0.1575,0.114,9
I,0.47,0.48,0.2055,0.1505,8
I,0.475,0.5035,0.2535,0.14,8
M,0.495,0.553,0.224,0.167,8
I,0.53,0.5745,0.2525,0.189,9
F,0.595,1.026,0.4645,0.305,12
F,0.6,1.04,0.4755,0.28,11
M,0.61,1.0265,0.435,0.3035,10
F,0.625,1.264,0.5715,0.321,9
M,0.635,1.1935,0.5205,0.3665,10
F,0.66,1.548,0.724,0.3925,10
M,0.685,1.7925,0.8145,0.461,9
F,0.7,1.556,0.6725,0.195,12
I,0.375,0.3155,0.187,0.067,7
I,0.405,0.304,0.1455,0.0805,6
I,0.47,0.4315,0.19,0.1175,6
I,0.48,0.542,0.2795,0.147,7
M,0.525,0.7205,0.3685,0.1735,8
M,0.53,0.7575,0.398,0.175,8
M,0.575,1.08,0.595,0.238,9
M,0.625,1.4105,0.691,0.3465,10
M,0.63,1.1315,0.481,0.305,9
M,0.67,1.7025,0.833,0.41,11
M,0.68,1.6115,0.8415,0.395,11
I,0.335,0.168,0.079,0.05,5
I,0.375,0.2165,0.0935,0.07,7
I,0.385,0.2365,0.1,0.076,8
I,0.435,0.3295,0.129,0.11,7
I,0.435,0.367,0.1595,0.105,6
I,0.455,0.457,0.2085,0.147,10
I,0.48,0.536,0.251,0.15,8
I,0.495,0.4715,0.2075,0.15,8
I,0.52,0.5545,0.2355,0.1895,7
I,0.525,0.654,0.305,0.169,7
I,0.54,0.836,0.3725,0.24,9
I,0.54,0.742,0.32,0.25,9
M,0.575,0.867,0.3765,0.268,8
M,0.575,0.9615,0.483,0.275,13
M,0.58,0.798,0.365,0.2285,10
F,0.595,0.9,0.4175,0.265,8
M,0.6,0.9165,0.4135,0.2725,9
F,0.605,0.9775,0.468,0.275,9
F,0.605,0.974,0.393,0.3345,9
I,0.62,0.8565,0.3595,0.295,9
M,0.645,1.4745,0.605,0.48,9
M,0.645,1.2215,0.5695,0.33,9
M,0.65,1.274,0.59,0.391,11
F,0.655,1.3485,0.5935,0.425,12
M,0.675,1.2835,0.572,0.3545,13
I,0.375,0.394,0.166,0.1125,6
M,0.39,0.564,0.3035,0.143,7
I,0.485,0.5205,0.195,0.182,8
M,0.515,1.007,0.472,0.252,8
F,0.61,1.1135,0.5195,0.3005,11
M,0.655,1.4245,0.6325,0.378,10
M,0.72,1.5865,0.691,0.4425,11
I,0.35,0.2,0.09,0.06,7
I,0.405,0.269,0.103,0.11,6
I,0.435,0.3215,0.13,0.1185,7
I,0.505,0.599,0.2245,0.225,11
I,0.52,0.5805,0.2445,0.165,9
I,0.525,0.596,0.2805,0.1695,9
M,0.57,1.0005,0.454,0.265,11
M,0.575,0.785,0.318,0.2265,9
M,0.62,1.309,0.587,0.325,9
M,0.625,1.1565,0.52,0.3535,10
F,0.625,1.354,0.4845,0.375,11
F,0.66,1.4415,0.5925,0.49,10
I,0.35,0.1605,0.0715,0.046,6
M,0.505,0.653,0.3315,0.167,9
F,0.55,0.9205,0.381,0.2675,10
M,0.605,0.982,0.4295,0.295,12
M,0.61,1.112,0.465,0.341,10
I,0.285,0.1075,0.051,0.027,6
I,0.325,0.152,0.0565,0.054,8
I,0.405,0.312,0.138,0.087,8
M,0.535,0.738,0.355,0.1795,8
F,0.61,0.909,0.438,0.22,8
F,0.69,1.2525,0.73,0.462,12
I,0.325,0.166,0.076,0.045,5
I,0.13,0.0105,0.005,0.0035,4
I,0.18,0.0275,0.0125,0.009,3
F,0.29,0.275,0.113,0.035,6
M,0.595,0.8915,0.359,0.245,12
M,0.68,1.496,0.5825,0.465,14
M,0.465,0.5205,0.2015,0.185,11
M,0.58,1.2275,0.473,0.435,16
F,0.37,0.2405,0.104,0.07,5
M,0.335,0.1545,0.066,0.045,6
M,0.285,0.1185,0.055,0.04,7
M,0.535,0.9195,0.3355,0.26,16
I,0.32,0.1485,0.064,0.045,6
F,0.575,1.0405,0.419,0.3,14
F,0.645,1.406,0.4265,0.51,25
F,0.43,0.445,0.165,0.155,8
F,0.515,0.764,0.276,0.25,13
F,0.56,0.903,0.3575,0.295,9
M,0.415,0.388,0.068,0.125,12
M,0.36,0.2225,0.083,0.075,6
M,0.585,0.955,0.3625,0.27,11
F,0.61,1.0675,0.391,0.42,15
I,0.405,0.347,0.1605,0.1,9
F,0.5,0.7145,0.3235,0.195,9
F,0.48,0.6375,0.277,0.21,10
M,0.515,0.769,0.2505,0.29,13
F,0.505,0.6515,0.2695,0.205,15
M,0.655,1.62,0.6275,0.485,17
I,0.56,0.9445,0.3545,0.3,12
F,0.5,0.5965,0.253,0.185,12
I,0.3,0.1425,0.057,0.043,7
I,0.62,1.208,0.4805,0.33,15
M,0.425,0.3525,0.1135,0.13,18
F,0.465,0.579,0.208,0.22,14
I,0.325,0.0995,0.0395,0.032,8
I,0.25,0.073,0.028,0.0225,5
I,0.2,0.036,0.0125,0.011,4
F,0.5,0.768,0.2625,0.27,13
F,0.37,0.227,0.093,0.07,8
M,0.57,1.008,0.377,0.34,13
F,0.515,0.7565,0.1905,0.3205,10
I,0.42,0.2865,0.115,0.085,8
M,0.64,1.647,0.7225,0.471,12
F,0.64,1.4995,0.593,0.431,11
F,0.695,2.0475,0.75,0.6095,14
F,0.455,0.4555,0.1945,0.1375,7
F,0.55,0.964,0.5475,0.215,8
F,0.6,0.9325,0.3985,0.248,8
M,0.6,1.247,0.5335,0.29,9
F,0.615,1.1575,0.5005,0.315,10
M,0.625,1.3555,0.671,0.3385,10
F,0.63,1.4255,0.659,0.38,11
M,0.63,1.286,0.604,0.35,8
I,0.22,0.049,0.0215,0.015,4
I,0.425,0.3265,0.1315,0.103,6
I,0.555,0.648,0.2835,0.2105,8
M,0.62,1.1,0.505,0.31,9
M,0.67,1.68,0.926,0.3935,13
M,0.68,1.529,0.7635,0.4025,11
M,0.735,1.88,0.9095,0.488,11
M,0.75,2.201,1.0615,0.5285,11
I,0.29,0.0985,0.0425,0.031,5
I,0.4,0.3415,0.176,0.0865,7
F,0.515,0.516,0.2015,0.162,9
F,0.62,1.0125,0.5325,0.324,10
M,0.63,1.1355,0.539,0.3115,12
M,0.64,1.098,0.5195,0.3175,10
M,0.64,1.042,0.515,0.175,10
M,0.725,2.3305,1.253,0.52,9
M,0.57,0.8745,0.416,0.25,8
M,0.58,0.984,0.49,0.27,9
M,0.63,1.243,0.623,0.3,10
I,0.54,0.619,0.2755,0.1765,10
I,0.545,0.7595,0.358,0.2055,8
I,0.56,0.777,0.354,0.222,9
I,0.59,0.755,0.334,0.238,9
M,0.595,1.1295,0.57,0.265,10
M,0.605,1.167,0.457,0.3745,9
F,0.61,1.2735,0.469,0.398,12
F,0.645,1.197,0.526,0.317,11
M,0.67,1.4405,0.6595,0.425,9
I,0.43,0.4295,0.212,0.109,8
F,0.525,0.7905,0.4065,0.177,8
M,0.645,1.463,0.592,0.416,10
M,0.68,1.7885,0.8345,0.437,13
I,0.375,0.2075,0.09,0.07,6
I,0.525,0.6275,0.3015,0.18,8
M,0.535,0.6835,0.3125,0.159,8
M,0.59,0.9765,0.4525,0.235,9
F,0.6,0.869,0.3425,0.291,11
M,0.615,0.9615,0.422,0.29,11
F,0.655,1.2895,0.587,0.3415,11
M,0.71,1.724,0.566,0.4625,13
I,0.29,0.1115,0.053,0.032,5
I,0.44,0.4995,0.2965,0.1185,6
F,0.47,0.4705,0.1635,0.1385,8
F,0.525,0.6995,0.3115,0.223,9
M,0.575,0.9215,0.354,0.2365,9
F,0.575,0.8285,0.362,0.236,10
M,0.615,1.2865,0.435,0.3245,11
F,0.63,1.1655,0.536,0.1625,10
M,0.46,0.5165,0.1885,0.185,9
I,0.335,0.1835,0.078,0.065,11
I,0.215,0.059,0.0265,0.0185,5
M,0.505,0.635,0.29,0.175,9
M,0.605,1.153,0.503,0.295,15
F,0.57,0.872,0.3245,0.285,14
I,0.51,0.61,0.229,0.235,11
F,0.51,0.632,0.282,0.17,8
M,0.55,0.9235,0.412,0.24,7
F,0.525,0.72,0.3105,0.2,14
M,0.335,0.1975,0.0795,0.07,9
F,0.555,0.868,0.33,0.21,13
M,0.675,1.402,0.483,0.465,16
I,0.42,0.3915,0.1575,0.115,9
M,0.635,1.156,0.428,0.315,18
M,0.48,0.6175,0.3,0.175,12
M,0.455,0.484,0.2155,0.165,7
M,0.565,0.9085,0.398,0.29,17
F,0.5,0.6735,0.265,0.25,18
F,0.62,1.1255,0.4985,0.315,14
F,0.495,0.597,0.2615,0.178,11
F,0.62,1.146,0.477,0.39,13
M,0.4,0.314,0.138,0.1,11
I,0.49,0.5425,0.198,0.175,11
F,0.545,0.6855,0.2905,0.225,10
I,0.44,0.4895,0.1735,0.2,13
F,0.49,0.59,0.215,0.1845,12
F,0.52,0.829,0.3535,0.205,15
F,0.455,0.4385,0.206,0.125,10
I,0.59,1.0885,0.3685,0.375,17
F,0.46,0.5325,0.2085,0.125,10
M,0.545,0.9955,0.3245,0.325,19
M,0.56,1.1115,0.5035,0.26,10
I,0.43,0.3855,0.192,0.1,7
F,0.595,1.148,0.444,0.37,10
I,0.485,0.513,0.219,0.13,7
M,0.52,0.6435,0.2885,0.161,7
M,0.55,0.9155,0.3645,0.25,8
F,0.61,1.2635,0.53,0.3455,10
M,0.625,1.437,0.5855,0.475,11
I,0.435,0.411,0.2025,0.1,7
F,0.555,0.812,0.4055,0.2215,9
F,0.595,1.0155,0.491,0.289,9
F,0.645,1.3345,0.667,0.355,10
F,0.7,1.6605,0.8605,0.398,11
M,0.715,1.7405,0.871,0.449,10
M,0.435,0.4385,0.2075,0.1315,7
M,0.535,0.78,0.3165,0.2365,8
F,0.565,1.2365,0.5305,0.308,10
I,0.57,0.7745,0.3535,0.2365,9
I,0.58,0.8295,0.3915,0.238,10
F,0.585,0.9355,0.4035,0.259,9
F,0.6,1.059,0.441,0.39,11
F,0.65,1.3875,0.58,0.3095,9
M,0.655,1.46,0.686,0.405,11
F,0.555,0.913,0.4585,0.2065,9
M,0.58,0.8675,0.3935,0.215,9
M,0.615,1.0735,0.4375,0.31,11
I,0.3,0.1345,0.057,0.044,5
I,0.36,0.1895,0.0725,0.055,6
I,0.53,0.6235,0.2975,0.195,11
I,0.555,0.783,0.345,0.247,9
I,0.575,0.983,0.486,0.239,8
M,0.62,1.3915,0.726,0.332,11
M,0.62,1.085,0.454,0.35,10
M,0.65,1.3655,0.6155,0.36,11
M,0.685,1.885,0.89,0.4895,10
M,0.685,1.432,0.637,0.46,11
I,0.235,0.1585,0.0685,0.0465,5
F,0.55,1.1655,0.502,0.311,9
I,0.51,0.5525,0.234,0.165,8
F,0.65,1.227,0.528,0.37,11
M,0.5,0.6335,0.2305,0.235,14
I,0.335,0.185,0.0795,0.055,8
M,0.5,0.62,0.255,0.205,11
M,0.575,0.955,0.44,0.27,16
M,0.385,0.3435,0.1645,0.1025,6
M,0.56,0.8255,0.2425,0.285,10
M,0.41,0.4405,0.19,0.135,8
F,0.57,1.018,0.447,0.265,9
F,0.565,1.058,0.439,0.3,10
M,0.54,0.817,0.2945,0.195,10
I,0.41,0.335,0.1525,0.11,7
I,0.435,0.4075,0.1535,0.165,9
M,0.455,0.4745,0.1865,0.168,13
I,0.52,0.6765,0.2865,0.205,15
M,0.295,0.125,0.042,0.043,8
F,0.67,1.597,0.6275,0.47,21
M,0.52,0.77,0.263,0.26,11
M,0.53,0.739,0.237,0.295,13
I,0.27,0.099,0.0445,0.03,5
I,0.315,0.164,0.0625,0.045,6
I,0.385,0.248,0.0935,0.07,6
M,0.685,1.4545,0.6315,0.3725,9
M,0.585,1.133,0.5515,0.305,12
I,0.33,0.1965,0.0915,0.055,7
I,0.435,0.366,0.174,0.109,7
I,0.52,0.5995,0.242,0.182,11
F,0.575,0.9575,0.4815,0.236,10
I,0.455,0.4055,0.175,0.1185,8
I,0.515,0.5805,0.2365,0.19,9
F,0.575,1.1,0.506,0.31,10
M,0.625,1.3705,0.645,0.3705,12
F,0.71,1.907,0.8725,0.475,11
I,0.42,0.3415,0.1645,0.086,7
M,0.51,1.2825,0.569,0.3795,9
I,0.56,0.837,0.414,0.2,8
F,0.64,1.3185,0.6185,0.3315,9
I,0.54,0.709,0.3195,0.185,9
I,0.55,0.7935,0.378,0.26,10
M,0.58,0.824,0.3465,0.263,10
F,0.595,0.914,0.3895,0.271,9
M,0.655,1.402,0.624,0.365,13
