@relation abalone

@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.315,15
0.28,15
0.5195,15
0.1085,15
0.42,15
0.175,15
0.295,15
0.37,15
0.325,15
0.39,15
0.295,15
0.3,15
0.495,15
0.195,15
0.2,15
0.255,15
0.205,15
0.305,15
0.36,15
0.27,15
0.1655,15
0.325,15
0.42,15
0.315,15
0.52,15
0.19,15
0.345,15
0.3,15
0.335,15
0.4405,15
0.255,15
0.47,15
0.685,15
0.215,15
0.34,15
0.2905,15
0.315,15
0.255,15
0.234,15
0.41,15
0.26,15
0.39,15
0.46,15
0.195,15
0.6,15
0.406,15
0.265,15
0.285,15
0.295,15
0.385,15
0.18,15
0.205,15
0.31,15
0.205,15
0.36,15
0.24,15
0.1835,15
0.42,15
0.49,15
0.365,15
0.455,15
0.24,15
0.24,15
0.355,15
0.225,15
0.26,15
0.58,15
0.19,15
0.245,15
0.453,15
0.165,15
0.15,15
0.17,15
0.54,15
0.45,15
0.41,15
0.36,15
0.1595,15
0.29,15
0.31,15
0.415,15
0.485,15
0.25,15
0.47,15
0.29,15
0.195,15
0.295,15
0.34,15
0.33,15
0.179,15
0.255,15
0.375,15
0.335,15
0.162,7
0.055,7
0.112,7
0.089,7
0.0775,7
0.143,7
0.165,7
0.123,7
0.115,7
0.165,7
0.08,7
0.125,7
0.0735,7
0.052,7
0.05,7
0.24,7
0.086,7
0.055,7
0.05,7
0.255,7
0.1405,7
0.1315,7
0.042,7
0.0445,7
0.18,7
0.1165,7
0.105,7
0.075,7
0.12,7
0.214,7
0.0595,7
0.161,7
0.0155,7
0.0965,7
0.0335,7
0.1375,7
0.093,7
0.1915,7
0.0615,7
0.17,7
0.165,7
0.133,7
0.121,7
0.14,7
0.04,7
0.065,7
0.03,7
0.035,7
0.1255,7
0.065,7
0.1175,7
0.095,7
0.105,7
0.15,7
0.144,7
0.2,7
0.141,7
0.115,7
0.065,7
0.09,7
0.185,7
0.13,7
0.045,7
0.11,7
0.1,7
0.135,7
0.065,7
0.07,7
0.095,7
0.128,7
0.1185,7
0.128,7
0.068,7
0.0745,7
0.136,7
0.129,7
0.07,7
0.075,7
0.11,7
0.077,7
0.063,7
0.1,7
0.19,7
0.11,7
0.106,7
0.08,7
0.109,7
0.072,7
0.0875,7
0.0835,7
0.218,7
0.259,7
0.1,7
0.044,7
0.0605,7
0.043,7
0.145,7
0.16,7
0.09,7
0.075,7
0.066,7
0.178,7
0.355,7
0.189,7
0.177,7
0.062,7
0.11,7
0.089,7
0.055,7
0.1325,7
0.04,7
0.06,7
0.1375,7
0.048,7
0.075,7
0.105,7
0.067,7
0.082,7
0.07,7
0.049,7
0.105,7
0.154,7
0.0605,7
0.0855,7
0.06,7
0.079,7
0.1805,7
0.08,7
0.127,7
0.263,7
0.175,7
0.185,7
0.0575,7
0.088,7
0.12,7
0.058,7
0.084,7
0.101,7
0.185,7
0.0355,7
0.05,7
0.025,7
0.13,7
0.046,7
0.058,7
0.081,7
0.148,7
0.09,7
0.1,7
0.0865,7
0.055,7
0.1195,7
0.265,7
0.09,7
0.13,7
0.125,7
0.0495,7
0.156,7
0.056,7
0.095,7
0.11,7
0.296,7
0.126,7
0.1105,7
0.03,7
0.0735,7
0.125,7
0.066,7
0.192,7
0.1185,7
0.1,7
0.147,7
0.157,7
0.075,7
0.129,7
0.08,7
0.111,7
0.1375,7
0.0535,7
0.18,7
0.04,7
0.093,7
0.085,7
0.119,7
0.09,7
0.1895,7
0.2,7
0.07,7
0.0985,7
0.16,7
0.16,7
0.169,7
0.29,7
0.139,7
0.14,7
0.028,7
0.265,7
0.07,7
0.085,7
0.078,7
0.075,7
0.115,7
0.064,7
0.036,7
0.11,7
0.1025,7
0.155,7
0.1825,7
0.06,7
0.126,7
0.045,7
0.036,7
0.04,7
0.105,7
0.1045,7
0.093,7
0.254,7
0.1675,7
0.065,7
0.105,7
0.09,7
0.1205,7
0.07,7
0.1335,7
0.048,7
0.08,7
0.1185,7
0.1035,7
0.06,7
0.0345,7
0.155,7
0.105,7
0.032,7
0.2185,7
0.035,7
0.055,7
0.04,7
0.175,7
0.1095,7
0.24,7
0.0935,7
0.048,7
0.12,7
0.075,7
0.1265,7
0.066,7
0.17,7
0.09,7
0.166,7
0.07,7
0.1455,7
0.0695,7
0.095,7
0.1425,7
0.1405,7
0.113,7
0.077,7
0.1325,7
0.05,7
0.0195,7
0.11,7
0.185,7
0.159,7
0.1135,7
0.114,7
0.0815,7
0.125,7
0.1115,7
0.109,7
0.09,7
0.1175,7
0.135,7
0.0625,7
0.06,7
0.113,7
0.144,7
0.053,7
0.17,7
0.141,7
0.117,7
0.13,7
0.03,7
0.15,7
0.143,7
0.1585,7
0.164,7
0.125,7
0.08,7
0.06,7
0.047,7
0.065,7
0.091,7
0.1,7
0.11,7
0.1535,7
0.1,7
0.05,7
0.1325,7
0.094,7
0.0605,7
0.106,7
0.073,7
0.348,7
0.123,7
0.0965,7
0.1135,7
0.12,7
0.11,7
0.08,7
0.0425,7
0.228,7
0.085,7
0.14,7
0.049,7
0.075,7
0.18,7
0.175,7
0.0795,7
0.0725,7
0.186,7
0.1035,7
0.175,7
0.1895,7
0.075,7
0.045,7
0.12,7
0.067,7
0.08,7
0.0585,7
0.0615,7
0.075,7
0.148,7
