@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,9'

@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.265,7
0.38,11
0.425,14
0.32,7
0.36,10
0.36,10
0.4,7
0.495,13
0.45,13
0.475,15
0.47,10
0.47,12
0.375,11
0.305,8
0.455,11
0.38,10
0.35,10
0.485,12
0.395,7
0.4,10
0.345,9
0.335,8
0.28,7
0.365,10
0.09,3
0.12,5
0.255,8
0.275,8
0.285,7
0.38,14
0.4,17
0.505,12
0.435,10
0.52,13
0.375,12
0.425,10
0.42,12
0.355,8
0.495,14
0.47,15
0.455,21
0.45,18
0.275,7
0.295,10
0.455,18
0.555,17
0.54,15
0.465,12
0.405,11
0.35,9
0.485,19
0.22,6
0.195,6
0.23,4
0.26,9
0.37,12
0.195,8
0.5,12
0.53,13
0.4,13
0.49,11
0.355,13
0.52,19
0.315,10
0.24,9
0.255,10
0.265,10
0.36,9
0.265,8
0.235,7
0.4,13
0.33,11
0.305,12
0.415,12
0.38,23
0.375,10
0.325,10
0.11,3
0.36,17
0.4,13
0.4,15
0.42,14
0.415,20
0.52,17
0.42,14
0.445,13
0.36,15
0.39,9
0.34,10
0.25,7
0.25,6
0.27,6
0.275,7
0.29,6
0.35,8
0.41,9
0.435,9
0.48,10
0.48,8
0.56,11
0.33,6
0.34,6
0.325,7
0.35,7
0.37,7
0.375,6
0.36,8
0.405,7
0.45,11
0.46,9
0.5,9
0.5,10
0.52,11
0.565,11
0.18,5
0.265,5
0.345,7
0.35,6
0.42,10
0.45,10
0.45,9
0.45,9
0.47,9
0.495,9
0.505,9
0.56,11
0.535,10
0.505,12
0.625,11
0.375,6
0.205,5
0.245,7
0.25,6
0.28,5
0.3,7
0.295,8
0.29,5
0.34,9
0.365,8
0.395,8
0.4,9
0.415,8
0.43,9
0.425,9
0.425,9
0.435,10
0.48,9
0.465,10
0.475,10
0.46,10
0.47,10
0.5,10
0.505,11
0.505,11
0.59,11
0.535,13
0.555,11
0.32,5
0.34,6
0.43,9
0.43,8
0.445,8
0.435,9
0.48,11
0.515,9
0.505,10
0.565,12
0.17,5
0.355,7
0.39,8
0.415,8
0.43,10
0.4,7
0.375,8
0.425,8
0.47,10
0.445,9
0.47,9
0.485,12
0.48,9
0.47,12
0.505,9
0.49,9
0.505,10
0.52,12
0.505,12
0.52,11
0.545,11
0.565,11
0.355,8
0.455,10
0.515,11
0.26,6
0.34,9
0.43,9
0.455,9
0.47,11
0.475,10
0.465,11
0.495,12
0.52,9
0.535,10
0.545,13
0.21,6
0.25,6
0.395,12
0.44,11
0.41,9
0.515,14
0.305,7
0.305,9
0.3,7
0.29,9
0.355,9
0.325,9
0.355,10
0.495,17
0.115,4
0.465,10
0.47,14
0.42,21
0.385,14
0.47,11
0.22,6
0.35,10
0.46,8
0.45,14
0.48,13
0.32,11
0.395,12
0.45,14
0.475,18
0.455,11
0.375,13
0.35,13
0.395,14
0.325,8
0.305,10
0.395,13
0.425,15
0.43,13
0.4,11
0.475,19
0.47,15
0.595,16
0.325,12
0.245,7
0.305,9
0.385,10
0.255,9
0.5,18
0.485,11
0.4,15
0.26,9
0.21,5
0.365,10
0.45,11
0.49,10
0.5,8
0.49,10
0.55,9
0.17,4
0.22,5
0.335,7
0.405,8
0.445,9
0.46,8
0.375,8
0.42,8
0.49,10
0.51,10
0.465,8
0.55,13
0.53,11
0.175,4
0.26,5
0.275,7
0.305,7
0.325,8
0.36,9
0.345,8
0.355,7
0.365,8
0.365,10
0.435,11
0.435,9
0.425,9
0.42,9
0.475,10
0.45,9
0.5,10
0.525,10
0.225,7
0.35,7
0.42,9
0.47,9
0.49,8
0.55,10
0.465,8
0.435,8
0.475,10
0.465,11
0.49,11
0.515,9
0.475,10
0.495,11
0.5,8
0.485,12
0.355,8
0.485,9
0.505,10
0.325,8
0.33,7
0.445,10
0.45,11
0.475,11
0.495,10
0.27,7
0.38,10
0.43,11
0.325,7
0.42,8
0.36,8
0.15,4
0.42,13
0.53,12
0.375,11
0.35,9
0.36,6
0.435,20
0.235,7
0.485,11
0.32,10
0.435,15
0.24,6
0.415,12
0.54,24
0.485,16
0.435,16
0.355,9
0.525,15
0.525,16
0.33,14
0.3,6
0.535,13
0.45,13
0.315,7
0.465,9
0.47,8
0.475,11
0.51,10
0.24,6
0.28,6
0.37,7
0.37,8
0.4,9
0.395,7
0.485,9
0.315,6
0.44,8
0.415,8
0.41,8
0.47,9
0.355,9
0.42,8
0.465,10
0.485,9
0.515,12
0.555,12
0.125,4
0.37,8
0.475,9
0.345,8
0.465,8
0.47,10
0.495,9
0.51,12
0.51,11
0.4,7
0.475,9
0.395,8
0.4,10
0.45,10
0.48,10
0.355,8
0.35,11
0.475,14
0.43,10
0.44,9
0.4,16
0.43,12
0.48,16
0.44,17
0.175,5
0.39,11
0.44,20
0.365,16
0.32,8
0.33,6
0.35,7
0.455,8
0.375,8
0.2,6
0.46,8
0.305,7
0.43,8
0.465,9
0.475,11
0.49,11
0.545,10
0.59,11
0.525,9
0.265,7
0.35,9
0.495,9
0.505,11
0.215,6
0.38,9
