@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.9285,0.3825,11
F,0.425,0.1865,9
I,0.595,0.2385,8
M,0.3785,0.1705,7
M,1.615,0.5105,12
M,1.3175,0.408,21
M,1.195,0.4825,13
M,0.725,0.269,9
F,0.5785,0.2775,10
F,0.6675,0.261,10
M,0.402,0.1305,10
I,0.073,0.0285,5
F,0.4035,0.175,9
M,0.5175,0.2075,10
F,1.752,0.5605,16
F,2.124,0.765,20
F,1.0165,0.4355,10
F,1.199,0.5265,11
M,0.922,0.3635,10
F,0.38,0.1595,12
M,0.836,0.336,13
I,0.1275,0.0435,8
F,1.0605,0.5135,12
M,1.011,0.3835,15
F,1.415,0.605,15
I,0.1105,0.045,6
M,0.549,0.2215,11
F,0.3485,0.1455,9
I,0.0215,0.007,3
M,0.971,0.443,14
M,1.3,0.4335,23
M,0.3675,0.1465,10
M,0.222,0.0935,7
M,1.325,0.6045,13
I,0.302,0.116,11
M,0.987,0.4355,11
M,0.827,0.3395,8
M,1.1045,0.4565,15
F,1.3135,0.5595,20
I,0.529,0.2165,11
I,0.092,0.037,6
M,0.9065,0.342,18
M,0.7505,0.2475,22
M,0.662,0.2815,11
I,0.2965,0.123,10
M,1.055,0.3815,15
M,0.889,0.36,11
F,0.6725,0.249,10
F,0.08,0.031,5
M,0.0155,0.0065,3
I,0.5775,0.2,11
M,0.2885,0.1,15
I,0.875,0.3695,11
I,0.581,0.245,12
I,0.474,0.21,16
I,0.9665,0.4145,10
F,0.3095,0.138,13
F,0.265,0.1075,13
I,0.4885,0.2005,11
F,0.4085,0.15,12
M,0.3865,0.128,13
I,0.673,0.2175,18
I,0.498,0.214,15
F,0.391,0.1555,7
F,0.9,0.358,19
F,0.9585,0.4145,11
F,0.3675,0.146,10
F,0.2245,0.078,10
I,0.2295,0.0885,7
F,0.8045,0.3345,13
M,0.9555,0.366,11
F,0.207,0.0775,10
M,0.201,0.069,8
M,0.1915,0.08,9
I,0.1035,0.0475,7
F,0.525,0.2185,12
F,0.8175,0.2795,17
M,0.8815,0.292,10
M,0.745,0.255,11
M,0.875,0.2665,12
I,0.5465,0.229,9
M,0.5975,0.27,9
M,1.0595,0.4735,10
M,1.077,0.4545,9
F,1.3435,0.629,10
M,1.26,0.4525,14
M,2.8255,1.1465,17
I,0.046,0.0165,6
I,0.0705,0.025,5
I,0.083,0.031,4
I,0.1625,0.065,5
I,0.141,0.062,5
I,0.1485,0.0585,6
I,0.249,0.1045,6
I,0.3435,0.157,6
I,0.5325,0.225,7
M,0.874,0.3735,8
F,1.107,0.54,8
F,1.1345,0.5265,9
F,1.1435,0.4755,10
M,1.4065,0.684,10
F,1.494,0.6895,9
I,0.029,0.012,4
I,0.348,0.194,6
I,0.316,0.1255,7
I,0.3705,0.1545,7
I,0.3715,0.1865,7
I,0.3685,0.16,6
M,0.793,0.434,9
M,0.852,0.43,8
M,0.907,0.4245,9
M,0.9335,0.478,9
F,1.1775,0.611,9
F,1.1125,0.5635,8
F,1.1345,0.528,10
M,1.363,0.629,8
M,1.74,0.885,10
M,1.931,0.896,11
F,2.657,1.488,11
I,0.1075,0.044,5
I,0.1945,0.0925,6
I,0.2465,0.11,6
I,0.284,0.1135,8
I,0.33,0.157,7
I,0.393,0.167,8
I,0.594,0.2945,9
M,0.6765,0.302,9
I,0.6615,0.2585,9
I,0.81,0.4725,10
I,0.7265,0.3205,9
F,0.651,0.2965,9
I,0.7905,0.3485,9
F,0.8495,0.4215,8
I,0.7665,0.347,10
M,0.8965,0.383,9
M,1.1135,0.5825,10
I,0.7715,0.328,9
M,0.9755,0.419,10
M,1.118,0.446,9
M,1.2815,0.5715,10
M,1.093,0.497,12
M,1.1835,0.556,11
F,1.5615,0.63,11
F,1.0145,0.4375,10
F,1.737,0.697,11
I,0.2825,0.112,7
M,0.3895,0.2015,9
M,0.4565,0.2435,8
I,0.501,0.274,7
M,0.6435,0.2945,8
F,0.9515,0.4535,11
F,1.546,0.7035,10
F,1.3825,0.702,9
F,1.5555,0.695,11
M,1.7825,0.9165,12
M,1.858,0.73,11
I,0.281,0.1275,7
I,0.304,0.129,8
I,0.4195,0.181,7
M,0.849,0.3265,10
I,0.743,0.31,9
F,0.863,0.435,9
M,0.802,0.3595,9
F,0.7805,0.3345,8
I,0.848,0.4,9
I,1.022,0.428,10
I,0.9015,0.419,11
F,0.9735,0.427,8
F,0.991,0.4735,8
I,0.9225,0.436,9
F,1.2435,0.5805,10
F,1.337,0.615,9
M,1.443,0.6635,11
M,1.39,0.711,11
F,1.619,0.74,11
F,1.638,0.7775,11
F,1.773,0.6805,15
F,1.445,0.631,7
M,2.7795,1.3485,12
M,0.414,0.199,7
I,0.82,0.4005,8
I,0.434,0.207,8
F,1.358,0.567,10
M,1.02,0.4805,9
M,1.254,0.5815,9
F,1.0725,0.4895,8
F,1.5395,0.6075,13
I,0.2215,0.095,6
I,0.3245,0.135,7
I,0.38,0.1515,7
I,0.7125,0.285,10
I,0.632,0.2715,9
I,0.804,0.3375,6
F,0.8265,0.4035,9
M,1.0295,0.425,12
F,1.6195,0.7815,12
M,1.32,0.6525,11
M,1.2695,0.5115,12
F,1.866,0.929,10
I,0.346,0.159,7
I,0.5185,0.268,8
M,0.4825,0.21,10
I,0.086,0.04,5
I,0.132,0.072,5
I,0.1745,0.072,8
I,0.293,0.14,7
I,0.336,0.165,7
I,0.378,0.152,8
M,0.4655,0.2075,8
F,0.689,0.3165,7
I,0.5465,0.2735,8
F,1.1345,0.492,10
M,2.032,0.735,17
F,0.966,0.391,10
M,0.3245,0.1305,8
I,0.1225,0.0545,5
F,1.817,0.785,11
M,0.3245,0.1395,5
F,1.1845,0.4805,13
M,0.9295,0.317,13
M,0.8085,0.2345,6
F,0.5885,0.2385,13
I,0.2235,0.0815,7
F,1.106,0.422,15
M,1.171,0.3905,17
M,0.5265,0.2105,10
F,1.1,0.4125,14
M,1.793,0.8005,14
F,1.1005,0.506,13
M,0.7175,0.3725,9
M,0.578,0.2825,8
M,1.008,0.422,11
I,0.3435,0.1515,9
M,1.247,0.472,21
F,1.7265,0.638,17
M,0.8645,0.376,16
M,1.1415,0.4515,13
M,1.2425,0.487,15
M,0.241,0.11,10
F,1.0705,0.371,8
M,0.12,0.0415,11
F,1.523,0.54,16
I,1.319,0.5485,16
M,0.5255,0.2025,13
M,0.5835,0.2295,12
M,0.3755,0.142,9
M,1.3,0.517,14
M,1.489,0.5915,18
M,0.8565,0.2745,12
F,0.8975,0.275,14
M,0.39,0.163,7
M,0.567,0.174,12
M,0.7775,0.2015,15
I,0.18,0.0745,6
M,1.145,0.48,11
I,0.4775,0.2235,6
I,0.5735,0.311,7
M,0.6215,0.274,7
M,0.7945,0.394,7
F,0.888,0.41,8
M,1.1495,0.564,8
F,1.127,0.477,9
M,1.5105,0.6735,12
I,0.3465,0.1635,7
I,0.407,0.209,7
M,0.554,0.2935,8
I,0.5395,0.2465,8
F,0.938,0.467,7
M,0.861,0.413,8
F,1.1005,0.5415,8
F,1.055,0.543,9
M,1.198,0.707,7
F,1.084,0.5885,9
M,1.51,0.8735,9
I,0.2015,0.1005,6
I,0.187,0.078,7
I,0.343,0.1705,7
I,0.268,0.1145,7
I,0.5385,0.2645,9
M,0.977,0.4625,10
F,1.0005,0.452,10
M,1.368,0.6185,9
I,0.0725,0.0285,4
I,0.232,0.12,8
I,0.2545,0.119,6
I,0.511,0.2365,7
M,0.872,0.4515,9
M,1.142,0.539,10
F,1.527,0.8485,11
F,1.719,0.8465,11
I,0.1585,0.075,6
I,0.5605,0.2255,8
M,0.521,0.25,8
I,0.664,0.2695,8
F,0.92,0.393,9
M,1.2015,0.492,10
