@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,9'

@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.565,12
0.58,10
0.68,15
0.24,5
0.245,4
0.475,8
0.595,20
0.555,11
0.52,16
0.555,12
0.47,8
0.52,12
0.53,11
0.56,9
0.71,18
0.35,7
0.345,9
0.645,16
0.605,13
0.605,13
0.645,12
0.355,8
0.5,13
0.335,7
0.445,11
0.6,15
0.46,11
0.47,9
0.535,10
0.59,16
0.375,8
0.63,19
0.68,19
0.46,10
0.47,10
0.515,10
0.525,12
0.67,14
0.565,11
0.38,11
0.655,13
0.665,17
0.54,11
0.28,5
0.38,10
0.525,14
0.44,8
0.45,14
0.61,11
0.45,15
0.53,21
0.475,9
0.615,16
0.455,11
0.5,11
0.525,11
0.255,5
0.395,12
0.18,4
0.555,13
0.545,13
0.53,17
0.53,17
0.465,15
0.47,9
0.515,10
0.52,12
0.315,7
0.6,10
0.635,9
0.64,8
0.66,15
0.675,12
0.685,11
0.3,4
0.315,8
0.335,7
0.34,5
0.37,7
0.41,7
0.41,6
0.45,7
0.465,6
0.5,6
0.515,8
0.57,10
0.575,9
0.58,7
0.615,8
0.66,10
0.675,12
0.735,11
0.275,6
0.37,6
0.42,6
0.425,7
0.5,6
0.52,8
0.55,8
0.575,7
0.58,8
0.59,8
0.6,8
0.62,8
0.65,9
0.69,9
0.69,9
0.375,7
0.38,8
0.43,8
0.465,11
0.475,8
0.495,8
0.495,7
0.5,9
0.515,7
0.515,13
0.52,10
0.525,9
0.53,9
0.55,11
0.555,10
0.56,10
0.565,11
0.57,9
0.585,10
0.6,11
0.61,12
0.615,10
0.64,15
0.64,10
0.645,10
0.695,11
0.75,14
0.37,6
0.4,6
0.405,8
0.425,6
0.47,9
0.475,8
0.485,6
0.515,8
0.56,9
0.605,9
0.62,8
0.63,10
0.665,10
0.75,11
0.3,6
0.35,5
0.385,8
0.45,8
0.5,8
0.525,9
0.54,10
0.55,12
0.575,10
0.575,9
0.595,8
0.6,9
0.605,11
0.61,10
0.61,12
0.615,9
0.62,12
0.635,12
0.645,10
0.655,10
0.675,10
0.485,9
0.625,11
0.645,9
0.24,4
0.41,7
0.42,11
0.435,8
0.495,8
0.52,10
0.545,10
0.555,7
0.565,9
0.575,9
0.575,9
0.58,10
0.595,10
0.62,9
0.635,11
0.655,11
0.7,13
0.72,11
0.28,7
0.405,7
0.425,7
0.45,8
0.53,9
0.53,9
0.565,9
0.385,8
0.485,8
0.55,11
0.61,8
0.71,10
0.595,14
0.375,7
0.47,8
0.52,10
0.44,9
0.57,16
0.46,9
0.64,12
0.61,9
0.215,6
0.26,5
0.37,11
0.42,7
0.66,18
0.59,13
0.43,8
0.62,13
0.545,13
0.635,15
0.525,10
0.495,10
0.58,10
0.495,8
0.4,10
0.665,17
0.61,23
0.515,12
0.7,18
0.635,11
0.18,3
0.405,12
0.36,10
0.155,5
0.5,9
0.41,10
0.335,9
0.475,9
0.445,11
0.35,7
0.25,5
0.355,8
0.505,12
0.465,8
0.46,7
0.505,7
0.53,6
0.54,9
0.585,8
0.55,8
0.57,9
0.645,9
0.65,10
0.68,11
0.21,4
0.345,6
0.375,8
0.485,8
0.505,9
0.525,9
0.55,10
0.585,10
0.6,11
0.61,10
0.64,10
0.65,12
0.66,9
0.705,9
0.45,7
0.59,9
0.625,9
0.31,6
0.37,7
0.46,9
0.465,8
0.5,8
0.615,11
0.625,11
0.645,12
0.655,11
0.68,11
0.555,9
0.64,11
0.73,14
0.42,6
0.46,8
0.475,9
0.515,7
0.59,9
0.635,9
0.655,11
0.66,10
0.665,10
0.73,14
0.755,11
0.545,11
0.375,7
0.38,7
0.62,9
0.645,13
0.7,24
0.655,10
0.505,15
0.61,12
0.325,5
0.49,9
0.385,6
0.665,15
0.63,16
0.52,8
0.485,13
0.655,14
0.3,5
0.465,11
0.655,18
0.535,15
0.605,14
0.565,12
0.45,9
0.505,17
0.535,16
0.49,13
0.475,8
0.58,19
0.41,9
0.54,10
0.28,5
0.31,6
0.575,10
0.62,13
0.35,6
0.395,7
0.74,13
0.465,7
0.555,8
0.6,9
0.625,11
0.625,10
0.715,10
0.4,6
0.505,8
0.52,8
0.6,12
0.7,11
0.215,3
0.335,6
0.35,7
0.365,7
0.5,9
0.585,9
0.6,10
0.655,8
0.64,12
0.66,10
0.285,7
0.44,8
0.465,9
0.53,9
0.535,7
0.55,10
0.62,10
0.625,14
0.65,10
0.65,11
0.66,10
0.725,11
0.38,7
0.515,9
0.635,9
0.695,13
0.485,8
0.52,10
0.535,9
0.555,10
0.565,9
0.65,10
0.665,14
0.305,6
0.525,8
0.17,4
0.375,7
0.55,12
0.485,11
0.33,5
0.5,13
0.76,14
0.615,17
0.565,10
0.445,15
0.395,12
0.5,20
0.58,14
0.525,13
0.53,13
0.49,9
0.515,12
0.375,6
0.475,7
0.375,6
0.555,9
0.585,11
0.625,10
0.72,11
0.575,10
0.62,11
0.625,9
0.645,9
0.545,8
0.595,10
0.48,8
0.56,9
0.605,10
0.555,8
0.57,10
0.44,6
0.39,7
0.405,7
