@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.768,0.294,16
M,0.2555,0.097,7
I,0.2255,0.08,10
F,0.9955,0.3945,11
M,0.8635,0.393,11
F,0.883,0.381,11
F,0.8355,0.3545,9
M,0.4425,0.192,8
F,0.6965,0.302,10
F,0.353,0.1405,8
M,1.185,0.474,11
F,0.941,0.3845,9
F,0.9775,0.3135,12
M,0.5225,0.201,7
F,0.6335,0.231,9
F,0.406,0.1635,8
M,0.253,0.096,9
F,0.9075,0.374,13
M,1.9565,0.7125,14
I,0.0465,0.025,4
M,0.97,0.385,11
M,1.368,0.515,21
M,1.218,0.5455,13
F,1.383,0.54,10
F,0.63,0.234,12
F,0.482,0.186,9
M,0.501,0.1665,10
F,0.45,0.1715,9
F,0.3055,0.121,7
F,1.1015,0.404,11
I,0.124,0.0485,9
M,1.07,0.3805,19
M,0.8975,0.341,10
F,0.928,0.394,11
M,1.259,0.4105,13
M,1.642,0.532,18
F,0.8415,0.314,15
M,0.252,0.1065,8
M,1.5415,0.471,13
F,1.2435,0.4635,21
F,1.242,0.576,14
I,0.251,0.097,7
M,0.6435,0.27,12
M,0.241,0.0865,8
M,1.3415,0.5705,11
M,0.93,0.408,9
F,1.0735,0.479,10
M,1.1405,0.3755,15
M,0.593,0.277,10
F,0.7155,0.3165,10
M,0.911,0.39,16
M,0.8565,0.3475,12
F,0.3635,0.159,10
F,0.7835,0.313,9
F,0.646,0.2895,10
I,0.3575,0.151,9
F,0.9955,0.429,19
F,1.0595,0.44,14
F,1.248,0.4245,12
F,1.115,0.378,15
F,1.129,0.4385,13
M,0.8395,0.3325,12
M,0.2795,0.1115,9
M,0.035,0.0145,5
I,0.454,0.1895,11
M,0.1165,0.043,7
F,0.604,0.242,15
I,0.926,0.398,17
M,0.195,0.078,9
M,0.1775,0.0575,12
I,0.4775,0.185,18
M,0.17,0.0655,7
F,0.322,0.1205,10
M,0.467,0.1895,10
M,0.1145,0.045,6
F,0.2305,0.0945,10
I,0.412,0.1145,19
M,0.6175,0.235,14
F,0.655,0.2405,17
F,0.7865,0.241,23
M,0.8345,0.3175,16
M,0.283,0.1175,9
I,0.1285,0.043,7
I,0.0175,0.005,4
F,0.3515,0.1185,16
F,0.536,0.1895,14
M,0.417,0.191,9
M,0.2465,0.104,11
M,0.656,0.227,13
F,0.6435,0.2415,12
M,1.4805,0.5295,20
F,0.959,0.2385,17
M,1.613,0.6215,14
M,0.978,0.3365,11
M,0.732,0.189,11
I,0.0525,0.021,5
M,0.709,0.211,12
F,0.8875,0.309,12
I,0.2215,0.097,6
I,0.312,0.143,6
M,0.325,0.156,6
I,0.501,0.2435,9
I,0.4895,0.2745,7
I,0.498,0.2175,9
F,1.1405,0.547,6
F,1.3725,0.6285,11
F,1.834,0.8455,11
I,0.092,0.0345,6
I,0.1385,0.056,6
I,0.376,0.169,5
I,0.377,0.1645,6
I,0.3995,0.1815,8
I,0.4445,0.197,8
I,0.449,0.196,7
M,0.64,0.2925,6
M,0.6425,0.3195,7
F,0.724,0.3475,8
F,0.9905,0.544,9
M,1.206,0.479,8
M,1.161,0.572,9
M,1.1785,0.5185,8
M,1.375,0.623,11
I,0.0325,0.0135,4
I,0.151,0.065,6
I,0.418,0.222,7
I,0.462,0.2135,8
I,0.6245,0.3395,8
F,0.545,0.261,6
I,0.599,0.2595,9
M,0.8315,0.411,10
M,0.8965,0.42,8
F,0.6405,0.336,8
F,1.0095,0.447,9
M,1.0375,0.5415,9
M,0.8455,0.401,9
M,1.859,0.945,9
M,1.0145,0.5315,8
M,0.858,0.4285,8
F,1.7025,0.664,14
M,1.751,0.895,9
F,2.103,1.0265,10
M,2.124,0.952,11
I,0.1125,0.0545,6
I,0.2005,0.105,5
I,0.213,0.096,5
F,0.4305,0.184,8
I,0.6025,0.2895,9
M,0.717,0.3475,9
F,0.8655,0.4315,10
F,0.8,0.3535,9
I,0.5945,0.27,8
I,0.8735,0.414,11
I,1.238,0.6315,11
M,0.871,0.407,10
M,1.2555,0.5765,12
M,1.101,0.534,10
M,1.5075,0.7455,11
F,1.3595,0.564,10
F,1.614,0.743,11
I,0.014,0.0055,3
I,0.0515,0.019,4
I,0.1985,0.0785,5
I,0.2815,0.1185,7
I,0.369,0.164,5
F,0.573,0.2655,7
M,0.793,0.343,9
F,1.1005,0.5125,11
M,1.7835,0.8885,11
I,0.121,0.047,6
I,0.2205,0.0985,7
I,0.257,0.119,7
I,0.252,0.1065,7
I,0.474,0.179,9
I,0.686,0.3475,8
M,0.7625,0.327,10
I,0.8225,0.3685,10
M,0.959,0.463,10
I,0.8025,0.379,9
M,1.1185,0.5225,9
M,1.221,0.535,13
M,1.1745,0.5255,11
F,1.2235,0.5215,10
M,1.3835,0.6385,9
F,1.569,0.687,12
M,1.747,0.7275,11
I,0.2315,0.096,5
M,1.3405,0.6325,10
M,1.025,0.5075,10
M,1.2525,0.5575,9
M,1.0865,0.511,10
F,2.073,1.0715,9
I,0.5155,0.2465,8
I,0.6645,0.3285,7
I,0.677,0.298,8
I,0.7245,0.321,9
I,1.0015,0.53,9
I,0.738,0.304,9
M,0.9415,0.3805,9
F,0.803,0.382,9
M,1.013,0.4685,11
M,1.5145,0.579,15
F,0.984,0.475,11
M,1.195,0.5435,12
M,1.229,0.5055,10
I,1.1,0.488,10
F,1.189,0.483,13
M,2.173,0.801,13
I,0.097,0.0375,6
I,0.3,0.158,7
I,0.316,0.1385,8
M,0.6875,0.3435,9
F,0.8295,0.3875,10
I,0.1065,0.0475,5
I,0.4325,0.2005,9
M,1.238,0.6165,8
F,1.644,0.818,10
F,0.66,0.3045,8
I,0.2825,0.114,7
I,0.315,0.124,9
M,0.7185,0.3265,8
F,0.608,0.2705,8
I,0.433,0.201,9
M,0.3295,0.1365,7
F,0.5065,0.222,10
M,0.106,0.0465,7
F,0.3025,0.1335,8
F,1.098,0.414,20
F,0.6865,0.295,9
M,1.142,0.387,17
M,1.539,0.5635,17
I,0.19,0.0765,7
M,0.853,0.3285,14
I,0.086,0.0305,7
I,0.444,0.225,8
M,0.5105,0.192,9
M,2.033,0.751,15
I,0.137,0.0545,8
M,1.407,0.566,17
M,0.9025,0.3805,13
F,1.3665,0.5005,18
M,0.2065,0.0725,10
I,0.6315,0.2745,12
F,0.6195,0.2595,14
F,0.4485,0.1585,16
I,1.2395,0.55,14
F,0.4765,0.192,10
I,0.9315,0.358,13
F,0.796,0.258,16
F,0.463,0.186,10
M,0.198,0.0725,10
M,0.413,0.144,8
F,0.6915,0.276,11
M,0.8245,0.272,13
M,1.1825,0.474,11
M,1.122,0.393,20
F,0.441,0.1525,8
F,0.742,0.2025,14
I,0.5555,0.25,8
F,0.983,0.4475,9
F,1.1405,0.587,9
M,1.201,0.5395,10
F,1.6225,0.6555,12
I,0.474,0.23,7
F,0.963,0.44,7
F,1.0765,0.491,9
M,2.398,1.128,12
I,0.1045,0.0415,5
I,0.163,0.0745,6
I,0.219,0.0925,6
I,0.3755,0.1525,7
I,0.442,0.2085,7
I,0.5205,0.233,7
I,0.512,0.233,7
M,0.723,0.377,7
F,0.832,0.4355,9
M,1.1845,0.506,9
