@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-7,9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.42,0.677,0.2565,0.1415,9
F,0.405,0.6845,0.2725,0.171,10
M,0.4,0.6645,0.258,0.133,12
F,0.34,0.451,0.188,0.087,10
M,0.445,0.931,0.356,0.234,12
M,0.525,1.338,0.5515,0.3575,18
F,0.355,0.5225,0.237,0.1165,8
F,0.375,0.4605,0.1775,0.11,7
M,0.405,0.625,0.305,0.16,9
M,0.425,0.7665,0.264,0.168,13
M,0.475,0.944,0.3625,0.189,9
F,0.465,1.295,0.339,0.2225,12
M,0.465,1.115,0.4015,0.254,13
M,0.395,0.5415,0.2375,0.1345,9
M,0.35,0.393,0.13,0.063,9
F,0.445,0.826,0.341,0.2055,10
I,0.13,0.0315,0.0105,0.0065,5
M,0.56,1.981,0.8175,0.3085,14
F,0.46,0.9325,0.365,0.271,9
F,0.395,0.66,0.2475,0.128,14
M,0.35,0.46,0.174,0.111,8
F,0.325,0.455,0.1785,0.1125,9
F,0.375,0.5755,0.22,0.144,9
M,0.44,0.9025,0.31,0.193,14
M,0.505,1.4455,0.496,0.287,22
I,0.1,0.013,0.0045,0.003,3
I,0.2,0.1,0.034,0.0245,5
I,0.26,0.174,0.0705,0.0345,10
I,0.27,0.2135,0.082,0.0545,7
F,0.46,1.094,0.4485,0.217,15
F,0.36,0.4995,0.2035,0.1,13
F,0.53,1.3485,0.493,0.245,12
I,0.145,0.037,0.0125,0.0095,4
M,0.455,1.3305,0.4595,0.3235,19
I,0.175,0.0705,0.0335,0.015,5
F,0.425,0.746,0.3005,0.152,8
F,0.42,0.756,0.2745,0.173,9
F,0.495,1.153,0.536,0.2905,8
F,0.525,1.4225,0.61,0.2995,20
F,0.565,1.7605,0.692,0.3265,16
M,0.465,0.995,0.3895,0.183,15
F,0.495,1.1085,0.3705,0.3135,12
M,0.42,0.609,0.239,0.1435,14
I,0.275,0.1995,0.0755,0.0535,6
M,0.475,0.945,0.41,0.2115,14
F,0.46,0.9935,0.4625,0.2385,11
M,0.3,0.3055,0.143,0.0645,9
I,0.26,0.192,0.0785,0.0585,8
F,0.425,0.85,0.275,0.1625,19
M,0.565,1.891,0.6975,0.4725,16
M,0.415,0.7395,0.261,0.1395,17
M,0.59,1.756,0.637,0.3405,21
M,0.545,1.32,0.5305,0.2635,16
M,0.465,0.849,0.3785,0.1765,15
F,0.515,1.2415,0.5235,0.3065,15
I,0.53,1.1095,0.439,0.245,10
F,0.25,0.203,0.078,0.059,6
F,0.27,0.1885,0.0845,0.0385,5
I,0.42,0.752,0.299,0.156,20
F,0.29,0.2705,0.093,0.066,10
F,0.355,0.5465,0.2005,0.126,14
M,0.255,0.179,0.0705,0.0385,10
M,0.21,0.1085,0.041,0.0265,7
F,0.41,0.8285,0.3095,0.1905,13
I,0.4,0.745,0.2865,0.1675,13
I,0.345,0.425,0.16,0.0795,13
I,0.37,0.458,0.181,0.113,10
F,0.385,0.6785,0.2945,0.138,12
F,0.385,0.498,0.1795,0.1095,17
F,0.305,0.2815,0.1255,0.0525,8
M,0.295,0.2105,0.066,0.0525,9
M,0.225,0.1345,0.054,0.024,7
M,0.4,0.6515,0.2455,0.1665,10
M,0.295,0.2765,0.0895,0.057,10
I,0.1,0.015,0.0045,0.004,2
M,0.44,1.092,0.416,0.212,15
M,0.44,0.835,0.32,0.2175,14
F,0.39,0.612,0.187,0.15,13
M,0.525,1.1375,0.367,0.236,20
M,0.44,1.116,0.4775,0.2315,13
M,0.405,1.2565,0.435,0.202,15
M,0.27,0.197,0.0665,0.05,9
F,0.43,0.785,0.289,0.227,11
M,0.38,0.7605,0.245,0.167,10
I,0.28,0.244,0.102,0.038,6
F,0.39,0.644,0.2475,0.2025,9
F,0.465,0.8935,0.3145,0.2575,10
M,0.465,1.0345,0.315,0.26,12
F,0.365,0.6395,0.2945,0.113,8
F,0.43,0.923,0.4035,0.175,8
F,0.465,1.113,0.5175,0.244,12
F,0.49,1.2085,0.465,0.162,11
M,0.52,1.4095,0.586,0.291,9
I,0.12,0.117,0.0455,0.029,4
I,0.265,0.196,0.0775,0.0305,6
I,0.345,0.4495,0.209,0.0835,6
I,0.325,0.35,0.148,0.067,7
I,0.365,0.467,0.2315,0.0925,7
F,0.37,0.4785,0.1995,0.0955,7
M,0.39,0.769,0.3935,0.1455,8
I,0.375,0.5785,0.238,0.1225,7
F,0.455,0.967,0.4525,0.207,9
M,0.49,1.1335,0.586,0.2565,9
M,0.465,1.136,0.5245,0.2615,11
F,0.455,1.063,0.5155,0.2445,8
F,0.48,1.3525,0.6235,0.278,10
M,0.485,1.278,0.637,0.275,8
F,0.5,1.5175,0.693,0.326,11
F,0.5,1.2205,0.6145,0.236,10
M,0.52,1.6785,0.6665,0.308,11
I,0.225,0.1415,0.0675,0.0295,6
I,0.32,0.3625,0.174,0.0635,7
I,0.33,0.413,0.2055,0.096,6
I,0.335,0.411,0.1985,0.0935,8
I,0.375,0.542,0.215,0.116,9
M,0.4,0.7765,0.3525,0.1845,9
F,0.46,1.019,0.523,0.1985,7
M,0.445,0.814,0.3775,0.1915,9
M,0.48,1.1835,0.582,0.2365,10
