@relation newthyroid

@attribute TSH_value numeric
@attribute class {3,2,1}

@data
53,3
25.9,3
38.6,3
8.2,3
22.2,3
11.5,3
48.8,3
1.4,3
19.6,3
4.5,3
14.4,3
24,3
6.7,3
6.3,3
8.4,3
2.9,3
5,3
21.6,3
12.6,3
14.4,3
5.7,3
2.2,3
40.8,3
56.3,3
8.8,3
4.7,3
19,3
-0.2,2
-0.1,2
0.4,2
-0.1,2
0.3,2
-0.1,2
-0.1,2
-0.1,2
-0.2,2
0.6,2
0.2,2
0.3,2
-0.2,2
0.2,2
0.1,2
-0.3,2
-0.2,2
0.3,2
0,2
0.1,2
-0.6,2
0.2,2
0,2
-0.2,2
-0.6,2
0.1,2
0.1,2
-0.3,2
-0.1,2
-0.2,2
0,2
-0.5,2
7,1
-0.1,1
1.3,1
3.1,1
4.3,1
3.8,1
4.3,1
2.5,1
6,1
-0.3,1
1,1
-0.1,1
-0.5,1
1.8,1
1,1
2.2,1
2.7,1
1.4,1
2.4,1
0.9,1
0.7,1
4.4,1
5.1,1
1.4,1
0.8,1
5.7,1
2.2,1
-0.1,1
0.5,1
3,1
1.1,1
1.7,1
1.6,1
0.5,1
3.8,1
4.2,1
0.9,1
1.5,1
2.9,1
1.6,1
0.5,1
1.5,1
3.5,1
3,1
3.5,1
1.6,1
0.8,1
3.6,1
2.1,1
2,1
3.2,1
3.5,1
4.6,1
4.3,1
2,1
1.9,1
4,1
1,1
0.5,1
-0.3,1
0.6,1
1.3,1
3.8,1
7.7,1
1.5,1
2.7,1
5.9,1
2.8,1
2.2,1
-0.3,1
3.3,1
4.1,1
1.6,1
2.3,1
0.1,1
4.4,1
2,1
6.4,1
1.9,1
1.9,1
0.8,1
4.4,1
3.1,1
2.3,1
1.1,1
2.2,1
4.1,1
5.7,1
0.8,1
3.9,1
1.9,1
6.8,1
-0.2,1
0.1,1
2.1,1
2.9,1
3.6,1
4.3,1
6.4,1
2.7,1
3.1,1
5.4,1
1.2,1
0.5,1
1.5,1
3.2,1
13.7,1
2.7,1
1.3,1
1.9,1
1.4,1
4.3,1
4.4,1
1.1,1
3.9,1
2.5,1
1,1
3,1
1.7,1
-0.2,1
3.9,1
1.5,1
1.7,1
3.9,1
2.3,1
-0.1,1
1.9,1
2.4,1
2,1
0,1
3.5,1
1.4,1
-0.7,1
1.9,1
4,1
