@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4,9'

@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.15,19
0.135,9
0.165,10
0.18,15
0.105,7
0.07,6
0.17,14
0.19,15
0.16,15
0.14,10
0.105,9
0.14,14
0.095,4
0.19,13
0.115,8
0.06,5
0.15,14
0.11,9
0.14,10
0.085,9
0.165,11
0.08,6
0.12,9
0.14,14
0.085,6
0.1,6
0.13,10
0.125,14
0.11,8
0.06,5
0.1,11
0.07,5
0.1,7
0.155,12
0.19,14
0.15,14
0.17,22
0.205,20
0.185,13
0.19,18
0.215,17
0.18,16
0.195,20
0.19,11
0.135,10
0.12,7
0.155,16
0.14,13
0.175,12
0.2,21
0.155,11
0.225,23
0.14,10
0.115,11
0.14,17
0.14,13
0.05,4
0.18,13
0.145,9
0.075,7
0.195,18
0.165,19
0.1,8
0.185,15
0.1,5
0.06,6
0.13,15
0.08,11
0.115,12
0.09,8
0.135,10
0.07,6
0.055,6
0.085,7
0.095,7
0.095,7
0.12,8
0.14,8
0.15,10
0.14,9
0.13,12
0.2,11
0.19,10
0.09,5
0.1,7
0.08,6
0.12,6
0.135,8
0.12,8
0.125,7
0.125,9
0.15,8
0.13,8
0.155,11
0.165,9
0.19,9
0.22,12
0.045,3
0.065,4
0.085,5
0.11,7
0.12,7
0.12,6
0.125,8
0.13,8
0.12,9
0.15,8
0.145,8
0.17,9
0.155,8
0.175,10
0.195,10
0.155,11
0.21,12
0.205,10
0.095,7
0.09,9
0.09,6
0.125,9
0.125,7
0.125,9
0.13,9
0.13,9
0.135,8
0.155,10
0.185,10
0.18,9
0.15,10
0.17,10
0.15,10
0.145,12
0.155,10
0.515,10
0.115,7
0.145,8
0.14,8
0.175,9
0.15,9
0.16,9
0.155,10
0.145,9
0.155,11
0.165,11
0.175,10
0.18,10
0.095,6
0.1,7
0.09,8
0.1,7
0.11,8
0.145,8
0.1,7
0.14,9
0.105,10
0.13,11
0.14,9
0.13,8
0.15,8
0.18,7
0.155,12
0.15,12
0.17,9
0.165,10
0.18,10
0.175,12
0.16,9
0.165,14
0.16,11
0.19,13
0.175,10
0.22,11
0.2,10
0.205,12
0.18,8
0.165,8
0.175,11
0.175,10
0.04,5
0.105,7
0.11,8
0.11,7
0.12,8
0.145,8
0.11,9
0.11,8
0.125,8
0.14,8
0.165,9
0.125,7
0.155,10
0.13,13
0.145,10
0.135,10
0.135,11
0.16,9
0.165,10
0.145,9
0.165,11
0.2,10
0.16,11
0.145,10
0.155,9
0.185,10
0.175,10
0.055,5
0.06,6
0.08,7
0.085,6
0.11,8
0.14,10
1.13,8
0.11,7
0.11,8
0.15,11
0.16,9
0.185,10
0.13,10
0.08,7
0.225,27
0.095,7
0.135,10
0.2,19
0.15,9
0.03,6
0.12,9
0.185,15
0.195,13
0.115,8
0.215,16
0.165,13
0.175,13
0.2,11
0.215,13
0.17,14
0.15,13
0.14,8
0.12,10
0.15,10
0.135,12
0.105,9
0.125,17
0.11,12
0.105,11
0.155,14
0.17,15
0.13,11
0.14,16
0.165,12
0.095,8
0.135,15
0.1,7
0.105,6
0.1,8
0.12,9
0.08,6
0.085,6
0.115,6
0.1,8
0.175,10
0.16,9
0.18,11
0.1,7
0.125,8
0.14,9
0.13,9
0.165,9
0.15,10
0.155,9
0.145,10
0.155,9
0.09,7
0.085,8
0.11,8
0.09,6
0.11,7
0.12,11
0.2,11
0.12,8
0.19,11
0.17,12
0.21,10
0.075,4
0.09,7
0.1,8
0.125,9
0.16,9
0.165,8
0.155,10
0.14,11
0.17,9
0.18,13
0.2,12
0.21,9
0.175,13
0.135,9
0.16,9
0.105,9
0.125,8
0.14,11
0.115,11
0.145,9
0.145,11
0.14,10
0.15,12
0.15,9
0.2,9
0.13,7
0.085,6
0.135,11
0.175,18
0.22,17
0.185,17
0.165,10
0.12,12
0.19,12
0.15,14
0.185,15
0.19,15
0.11,9
0.14,12
0.125,11
0.175,16
0.14,16
0.1,12
0.145,17
0.105,10
0.11,10
0.115,13
0.125,13
0.145,18
0.085,9
0.15,13
0.105,8
0.105,6
0.155,9
0.15,11
0.065,4
0.17,9
0.165,11
0.2,11
0.145,7
0.115,7
0.16,8
0.14,8
0.145,9
0.175,10
0.185,11
0.09,7
0.11,8
0.115,8
0.23,11
0.16,10
0.165,11
0.18,12
0.11,7
0.165,10
0.05,6
0.085,5
0.095,6
0.14,9
0.14,9
0.135,9
0.16,10
0.16,11
0.195,11
0.115,7
0.15,7
0.15,10
0.15,9
0.07,5
0.11,8
0.15,9
0.175,11
0.21,11
0.2,13
0.11,9
0.17,12
0.095,8
0.185,10
0.17,12
0.115,14
0.1,7
0.125,8
0.145,9
0.085,6
0.125,9
0.085,9
0.2,16
0.18,12
0.135,11
0.095,10
0.115,13
0.16,15
0.175,14
0.11,13
0.18,9
0.075,4
0.15,6
0.17,10
0.195,11
0.055,5
0.125,10
0.15,9
0.155,8
0.155,10
0.125,11
0.12,12
0.185,10
0.12,8
0.145,11
0.18,11
0.15,9
0.145,11
0.155,11
0.22,13
0.085,7
0.115,10
0.155,8
