@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,8-9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.265,0.2255,0.07,7
M,0.38,0.5415,0.19,11
F,0.425,0.8515,0.27,14
M,0.32,0.303,0.1,7
M,0.36,0.5415,0.16,10
F,0.36,0.4775,0.15,10
F,0.4,0.583,0.175,7
F,0.495,1.285,0.485,13
F,0.45,1.098,0.315,13
F,0.475,1.0075,0.28,15
F,0.47,0.922,0.305,10
M,0.47,1.1735,0.345,12
F,0.375,0.6125,0.22,11
M,0.305,0.2605,0.085,8
M,0.455,0.797,0.2425,11
F,0.38,0.549,0.174,10
M,0.35,0.515,0.1565,10
M,0.485,1.2445,0.345,12
F,0.395,0.775,0.255,7
F,0.4,0.8145,0.195,10
F,0.345,0.4165,0.135,9
M,0.335,0.369,0.12,8
I,0.28,0.2655,0.08,7
F,0.365,0.6345,0.22,10
I,0.09,0.008,0.003,3
I,0.12,0.021,0.005,5
I,0.255,0.1655,0.06,8
M,0.275,0.2925,0.0905,8
I,0.285,0.2415,0.075,7
M,0.38,0.9565,0.31,14
F,0.4,0.6445,0.205,17
F,0.505,1.2765,0.355,12
M,0.435,0.9055,0.275,10
M,0.52,1.343,0.4,13
M,0.375,0.5565,0.195,12
M,0.425,0.8445,0.235,10
M,0.42,0.7385,0.215,12
M,0.355,0.479,0.15,8
F,0.495,1.2385,0.39,14
F,0.47,1.0325,0.36,15
F,0.455,0.943,0.375,21
F,0.45,0.9555,0.295,18
I,0.275,0.217,0.09,7
I,0.295,0.2715,0.085,10
F,0.455,0.8205,0.26,18
F,0.555,1.4385,0.36,17
F,0.54,1.221,0.39,15
F,0.465,0.9915,0.265,12
F,0.405,0.627,0.181,11
F,0.35,0.421,0.1345,9
F,0.485,1.0105,0.3,19
M,0.22,0.146,0.045,6
M,0.195,0.1,0.03,6
M,0.23,0.147,0.045,4
I,0.26,0.218,0.07,9
I,0.37,0.4705,0.155,12
M,0.195,0.08,0.027,8
F,0.5,1.1905,0.37,12
F,0.53,1.326,0.44,13
I,0.4,0.659,0.17,13
F,0.49,1.233,0.365,11
I,0.355,0.4935,0.115,13
F,0.52,1.514,0.42,19
F,0.315,0.286,0.0835,10
M,0.24,0.155,0.06,9
M,0.255,0.169,0.054,10
M,0.265,0.1835,0.065,10
I,0.36,0.5225,0.165,9
M,0.265,0.168,0.063,8
M,0.235,0.258,0.08,7
F,0.4,0.5735,0.195,13
I,0.33,0.347,0.105,11
F,0.305,0.281,0.09,12
M,0.415,0.74,0.245,12
F,0.38,0.8165,0.265,23
M,0.375,0.636,0.19,10
M,0.325,0.417,0.144,10
I,0.11,0.018,0.005,3
F,0.36,0.5005,0.195,17
M,0.4,0.77,0.255,13
F,0.4,0.6515,0.165,15
F,0.42,0.7365,0.215,14
M,0.415,0.8425,0.265,20
F,0.52,1.676,0.45,17
M,0.42,0.8055,0.28,14
F,0.445,1.1325,0.32,13
F,0.36,0.537,0.195,15
F,0.39,0.5755,0.1845,9
F,0.34,0.4195,0.13,10
I,0.25,0.1735,0.049,7
I,0.25,0.183,0.0575,6
I,0.27,0.2055,0.062,6
I,0.275,0.24,0.0735,7
I,0.29,0.304,0.077,6
I,0.35,0.547,0.1405,8
F,0.41,0.7555,0.214,9
M,0.435,0.9685,0.2385,9
F,0.48,1.11,0.33,10
F,0.48,1.2095,0.32,8
F,0.56,1.7775,0.415,11
I,0.33,0.3595,0.09,6
I,0.34,0.382,0.1,6
I,0.325,0.425,0.095,7
I,0.35,0.4195,0.1195,7
I,0.37,0.534,0.143,7
M,0.375,0.6765,0.17,6
M,0.36,0.439,0.115,8
M,0.405,0.6515,0.186,7
F,0.45,1.114,0.25,11
F,0.46,1.0045,0.2515,9
F,0.5,1.288,0.315,9
F,0.5,1.394,0.4,10
M,0.52,1.636,0.432,11
M,0.565,2.198,0.5475,11
I,0.18,0.0685,0.0225,5
I,0.265,0.2015,0.055,5
I,0.345,0.409,0.117,7
I,0.35,0.4565,0.13,6
I,0.42,0.6665,0.1895,10
F,0.45,1.068,0.2575,10
M,0.45,0.9615,0.253,9
F,0.45,0.93,0.265,9
M,0.47,1.052,0.267,9
F,0.495,1.1565,0.2885,9
F,0.505,1.3645,0.353,9
F,0.56,1.652,0.4525,11
M,0.535,1.6755,0.42,10
M,0.505,1.978,0.4505,12
F,0.625,2.505,0.6785,11
I,0.375,0.4645,0.15,6
I,0.205,0.1595,0.0435,5
I,0.245,0.2015,0.048,7
I,0.25,0.179,0.055,6
I,0.28,0.228,0.0655,5
I,0.3,0.3265,0.089,7
I,0.295,0.2725,0.085,8
I,0.29,0.2675,0.0765,5
I,0.34,0.438,0.12,9
F,0.365,0.4785,0.141,8
I,0.395,0.551,0.171,8
I,0.4,0.6965,0.164,9
I,0.415,0.5765,0.225,8
M,0.43,0.8745,0.248,9
I,0.425,0.7305,0.215,9
I,0.425,0.8205,0.236,9
M,0.435,0.873,0.2705,10
F,0.48,1.078,0.306,9
F,0.465,0.98,0.2255,10
M,0.475,1.1315,0.309,10
M,0.46,1,0.275,10
M,0.47,1.128,0.34,10
M,0.5,1.054,0.295,10
I,0.505,1.272,0.315,11
F,0.505,1.16,0.349,11
F,0.59,1.662,0.435,11
M,0.535,1.6445,0.46,13
M,0.555,2.141,0.528,11
I,0.32,0.2905,0.073,5
I,0.34,0.4405,0.1075,6
I,0.43,0.7045,0.189,9
F,0.43,0.8745,0.22,8
M,0.445,0.9875,0.249,8
F,0.435,0.953,0.2095,9
M,0.48,1.271,0.31,11
F,0.515,1.5335,0.4025,9
M,0.505,1.374,0.345,10
M,0.565,2.1055,0.494,12
I,0.17,0.0475,0.013,5
I,0.355,0.4255,0.13,7
I,0.39,0.5705,0.185,8
M,0.415,0.845,0.2875,8
I,0.43,0.6255,0.2135,10
I,0.4,0.657,0.175,7
I,0.375,0.543,0.1725,8
I,0.425,0.7665,0.21,8
M,0.47,0.985,0.355,10
M,0.445,0.839,0.239,9
M,0.47,1.022,0.2945,9
I,0.485,1.154,0.315,12
F,0.48,1.0405,0.3,9
I,0.47,1.1955,0.3145,12
M,0.505,1.0915,0.3,9
F,0.49,1.2615,0.38,9
M,0.505,1.1605,0.335,10
M,0.52,1.3725,0.395,12
M,0.505,1.2585,0.308,12
M,0.52,1.3735,0.32,11
F,0.545,1.58,0.265,11
F,0.565,1.938,0.575,11
F,0.355,0.8795,0.2825,8
F,0.455,1.1155,0.315,10
F,0.515,1.3405,0.4375,11
I,0.26,0.1885,0.06,6
I,0.34,0.4535,0.1465,9
I,0.43,0.687,0.25,9
M,0.455,0.837,0.235,9
F,0.47,0.97,0.264,11
M,0.475,0.99,0.3105,10
F,0.465,1.133,0.298,11
F,0.495,1.255,0.3225,12
M,0.52,1.1445,0.348,9
M,0.535,1.3845,0.4075,10
M,0.545,1.5715,0.4505,13
I,0.21,0.1195,0.03,6
I,0.25,0.1695,0.0495,6
M,0.395,0.5915,0.185,12
M,0.44,0.8395,0.2385,11
F,0.41,0.8215,0.253,9
F,0.515,1.3485,0.3925,14
F,0.305,0.368,0.105,7
I,0.305,0.379,0.11,9
M,0.3,0.3355,0.095,7
M,0.29,0.276,0.085,9
I,0.355,0.452,0.125,9
F,0.325,0.3455,0.11,9
M,0.355,0.4415,0.1505,10
M,0.495,1.806,0.725,17
I,0.115,0.0145,0.005,4
M,0.465,0.799,0.23,10
F,0.47,1.283,0.445,14
F,0.42,1.0595,0.445,21
M,0.385,0.6335,0.26,14
M,0.47,0.927,0.315,11
I,0.22,0.1365,0.042,6
F,0.35,0.5725,0.175,10
F,0.46,0.7875,0.2,8
F,0.45,0.903,0.295,14
M,0.48,1.229,0.415,13
F,0.32,0.3785,0.125,11
M,0.395,0.6185,0.24,12
I,0.45,0.893,0.345,14
F,0.475,1.162,0.32,18
F,0.455,0.94,0.265,11
M,0.375,0.5795,0.195,13
F,0.35,0.384,0.125,13
M,0.395,0.5545,0.215,14
I,0.325,0.306,0.095,8
F,0.305,0.3605,0.1,10
M,0.395,0.592,0.2,13
F,0.425,0.7995,0.24,15
F,0.43,0.8025,0.263,13
M,0.4,0.764,0.2175,11
M,0.475,0.9455,0.27,19
F,0.47,1.031,0.29,15
F,0.595,1.969,0.66,16
I,0.325,0.3285,0.106,12
M,0.245,0.15,0.048,7
I,0.305,0.28,0.0955,9
F,0.385,0.6695,0.18,10
M,0.255,0.213,0.07,9
F,0.5,1.312,0.485,18
F,0.485,1.087,0.38,11
F,0.4,0.6245,0.17,15
F,0.26,0.2,0.07,9
