@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,9'

@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.55,19
0.55,9
0.615,10
0.605,15
0.45,7
0.31,6
0.615,14
0.695,15
0.53,15
0.53,10
0.47,9
0.515,14
0.17,4
0.575,13
0.52,8
0.315,5
0.58,14
0.4,9
0.55,10
0.36,9
0.53,11
0.27,6
0.455,9
0.485,14
0.295,6
0.36,6
0.47,10
0.55,14
0.45,8
0.265,5
0.385,11
0.265,5
0.32,7
0.5,12
0.6,14
0.61,14
0.585,22
0.7,20
0.675,13
0.645,18
0.745,17
0.685,16
0.675,20
0.63,11
0.485,10
0.44,7
0.63,16
0.545,13
0.605,12
0.675,21
0.615,11
0.62,23
0.455,10
0.44,11
0.57,17
0.605,13
0.195,4
0.62,13
0.48,9
0.295,7
0.58,18
0.53,19
0.37,8
0.565,15
0.28,5
0.25,6
0.525,15
0.465,11
0.52,12
0.36,8
0.485,10
0.28,6
0.235,6
0.36,7
0.38,7
0.395,7
0.47,8
0.505,8
0.55,10
0.575,9
0.59,12
0.625,11
0.66,10
0.32,5
0.345,7
0.385,6
0.475,6
0.495,8
0.5,8
0.5,7
0.505,9
0.51,8
0.53,8
0.595,11
0.595,9
0.66,9
0.765,12
0.195,3
0.245,4
0.28,5
0.405,7
0.43,7
0.45,6
0.51,8
0.525,8
0.525,9
0.565,8
0.57,8
0.575,9
0.63,8
0.63,10
0.645,10
0.65,11
0.69,12
0.755,10
0.33,7
0.385,9
0.42,6
0.48,9
0.5,7
0.52,9
0.53,9
0.535,9
0.57,8
0.575,10
0.585,10
0.59,9
0.6,10
0.615,10
0.62,10
0.63,12
0.635,10
0.705,10
0.475,7
0.515,8
0.55,8
0.58,9
0.59,9
0.595,9
0.62,10
0.63,9
0.645,11
0.645,11
0.67,10
0.74,10
0.37,6
0.39,7
0.41,8
0.415,7
0.465,8
0.475,8
0.475,7
0.5,9
0.515,10
0.53,11
0.54,9
0.56,8
0.575,8
0.61,7
0.62,12
0.62,12
0.625,9
0.63,10
0.64,10
0.645,12
0.645,9
0.66,14
0.665,11
0.67,13
0.7,10
0.71,11
0.72,10
0.74,12
0.535,8
0.545,8
0.6,11
0.675,10
0.185,5
0.41,7
0.445,8
0.465,7
0.47,8
0.495,8
0.5,9
0.515,8
0.54,8
0.555,8
0.56,9
0.565,7
0.565,10
0.57,13
0.575,10
0.575,10
0.575,11
0.58,9
0.605,10
0.605,9
0.61,11
0.615,10
0.62,11
0.64,10
0.64,9
0.65,10
0.655,10
0.21,5
0.29,6
0.35,7
0.36,6
0.43,8
0.6,10
0.455,8
0.46,7
0.49,8
0.585,11
0.62,9
0.705,10
0.53,10
0.425,7
0.665,27
0.385,7
0.55,10
0.69,19
0.55,9
0.19,6
0.445,9
0.645,15
0.65,13
0.42,8
0.625,16
0.555,13
0.6,13
0.645,11
0.72,13
0.52,14
0.67,13
0.485,8
0.475,10
0.52,10
0.53,12
0.45,9
0.585,17
0.435,12
0.44,11
0.625,14
0.555,15
0.5,11
0.51,16
0.59,12
0.39,8
0.49,15
0.415,7
0.415,6
0.42,8
0.54,9
0.37,6
0.38,6
0.46,6
0.48,8
0.62,10
0.62,9
0.635,11
0.475,7
0.5,8
0.545,9
0.565,9
0.595,9
0.605,10
0.625,9
0.625,10
0.65,9
0.37,7
0.385,8
0.405,8
0.405,6
0.43,7
0.48,11
0.66,11
0.5,8
0.665,11
0.72,12
0.735,10
0.315,4
0.335,7
0.425,8
0.505,9
0.575,9
0.575,8
0.605,10
0.61,11
0.67,9
0.69,13
0.745,12
0.51,9
0.535,13
0.56,9
0.64,9
0.455,9
0.47,8
0.52,11
0.52,11
0.535,9
0.55,11
0.57,10
0.6,12
0.64,9
0.625,9
0.54,7
0.34,6
0.5,11
0.545,18
0.62,17
0.635,17
0.6,10
0.41,12
0.61,12
0.695,14
0.69,15
0.61,15
0.505,9
0.655,12
0.41,11
0.6,16
0.44,16
0.375,12
0.54,17
0.47,10
0.435,10
0.475,13
0.515,13
0.545,18
0.365,9
0.455,13
0.37,8
0.415,6
0.61,9
0.63,11
0.25,4
0.64,9
0.665,11
0.72,11
0.47,7
0.47,7
0.475,8
0.53,8
0.585,9
0.61,10
0.72,11
0.36,7
0.45,8
0.505,8
0.6,11
0.625,10
0.625,11
0.715,12
0.51,7
0.655,10
0.27,6
0.295,5
0.37,6
0.53,9
0.545,9
0.55,9
0.6,10
0.625,11
0.67,11
0.36,7
0.485,7
0.51,10
0.625,9
0.285,5
0.475,8
0.575,9
0.62,11
0.675,11
0.695,13
0.425,9
0.61,12
0.35,8
0.68,10
0.71,12
0.46,14
0.425,7
0.52,8
0.53,9
0.37,6
0.445,9
0.335,9
0.655,16
0.56,12
0.565,11
0.375,10
0.475,13
0.54,15
0.55,14
0.465,13
0.61,9
0.27,4
0.58,6
0.645,10
0.67,11
0.245,5
0.52,10
0.585,9
0.66,8
0.54,10
0.55,11
0.575,12
0.695,10
0.5,8
0.56,11
0.63,11
0.57,9
0.58,11
0.63,11
0.655,13
0.39,7
0.475,10
0.56,8
